date,population,active,rate,new,band
2022/1/1,117768,512,434.8,59,7
2022/1/2,117768,505,428.8,58,7
2022/1/3,117768,543,461.1,85,7
2022/1/4,117768,484,411,76,7
2022/1/5,117768,479,406.7,81,7
2022/1/6,117768,486,412.7,70,7
2022/1/7,117768,503,427.1,89,7
2022/1/8,117768,522,443.2,72,7
2022/1/9,117768,561,476.4,110,7
2022/1/10,117768,589,500.1,103,7
2022/1/11,117768,612,519.7,112,7
2022/1/12,117768,684,580.8,152,7
2022/1/13,117768,727,617.3,170,7
2022/1/14,117768,882,748.9,156,7
2022/1/15,117768,1041,883.9,174,5
2022/1/16,117768,825,700.5,114,5
2022/1/17,117768,823,698.8,111,5
2022/1/18,117768,826,701.4,143,5
2022/1/19,117768,889,754.9,181,5
2022/1/20,117768,907,770.2,184,5
2022/1/21,117768,959,814.3,197,5
2022/1/22,117768,702,860.2,182,5
2022/1/23,117768,673,857.6,120,5
2022/1/24,117768,657,869.5,148,5
2022/1/25,117768,631,883.9,174,5
2022/1/26,117768,601,888.2,216,5
2022/1/27,117768,511,900.9,225,5
2022/1/28,117768,520,897.5,153,5
2022/1/29,117768,557,900.9,147,5
2022/1/30,117768,525,332,52,5
2022/1/31,117768,372,315.9,41,5
2022/2/1,117768,307,260.7,36,5
2022/2/2,117768,412,349.8,172,5
2022/2/3,117768,290,246.2,65,5
2022/2/4,117768,569,483.2,96,5
2022/2/5,117768,702,596.1,101,6
2022/2/6,117768,673,571.5,84,6
2022/2/7,117768,657,557.9,82,6
2022/2/8,117768,631,535.8,96,6
2022/2/9,117768,601,510.3,97,6
2022/2/10,117768,569,483.2,96,5
2022/2/11,117768,583,495,100,5
2022/2/12,117768,579,491.6,74,5
2022/2/13,117768,575,488.2,84,5
2022/2/14,117768,565,479.8,73,5
2022/2/15,117768,511,433.9,63,5
2022/2/16,117768,520,441.5,110,5
2022/2/17,117768,557,473,110,5
2022/2/18,117768,525,445.8,59,5
2022/2/19,117768,519,440.7,65,5
2022/2/20,117768,512,434.8,59,5
2022/2/21,117768,505,428.8,58,5
2022/2/22,117768,543,461.1,85,5
2022/2/23,117768,484,411,76,5
2022/2/24,117768,479,406.7,81,5
2022/2/25,117768,486,412.7,70,5
2022/2/26,117768,503,427.1,89,5
2022/2/27,117768,522,443.2,72,5
2022/2/28,117768,561,476.4,110,5
2022/3/1,117768,589,500.1,103,6
2022/3/2,117768,612,519.7,112,6
2022/3/3,117768,684,580.8,152,6
2022/3/4,117768,716,608,116,6
2022/3/5,117768,716,608,116,6
2022/3/6,117768,698,592.7,96,6
2022/3/7,117768,690,585.9,95,6
2022/3/8,117768,778,660.6,132,6
2022/3/9,117768,710,602.9,132,6
2022/3/10,117768,727,617.3,170,6
2022/3/11,117768,882,748.9,156,6
2022/3/12,117768,1041,883.9,174,6
2022/3/13,117768,825,700.5,114,6
2022/3/14,117768,823,698.8,111,6
2022/3/15,117768,826,701.4,143,6
2022/3/16,117768,889,754.9,181,6
2022/3/17,117768,907,770.2,184,6
2022/3/18,117768,959,814.3,197,6
2022/3/19,117768,1013,860.2,182,6
2022/3/20,117768,1010,857.6,120,6
2022/3/21,117768,1024,869.5,148,6
2022/3/22,117768,1041,883.9,174,6
2022/3/23,117768,1046,888.2,216,6
2022/3/24,117768,1061,900.9,225,6
2022/3/25,117768,1057,897.5,153,6
2022/3/26,117768,1061,900.9,147,6
2022/3/27,117768,1073,911.1,140,6
2022/3/28,117768,1075,912.8,159,6
2022/3/29,117768,1088,923.9,200,6
2022/3/30,117768,1068,906.9,217,6
2022/3/31,117768,1070,908.6,209,6
2022/4/1,117768,1096,930.6,183,6
2022/4/2,117768,1118,949.3,159,6
2022/4/3,117768,1136,964.6,164,6
2022/4/4,117768,1135,963.8,161,6
2022/4/5,117768,1095,929.8,190,6
2022/4/6,117768,1027,872.1,161,6
2022/4/7,117768,1072,910.3,216,6
2022/4/8,117768,1088,923.9,190,6
2022/4/9,117768,1104,937.4,164,6
2022/4/10,117768,1112,944.2,150,6
2022/4/11,117768,1101,934.9,140,6
2022/4/12,117768,1082,918.8,188,6
2022/4/13,117768,1037,880.5,186,6
2022/4/14,117768,1026,871.2,192,6
2022/4/15,117768,1032,876.3,185,6
2022/4/16,117768,1027,872.1,161,6
2022/4/17,117768,1025,870.4,119,6
2022/4/18,117768,981,833,135,6
2022/4/19,117768,911,773.6,126,6
2022/4/20,117768,866,735.3,152,6
2022/4/21,117768,865,734.5,192,6
2022/4/22,117768,882,748.9,183,6
2022/4/23,117768,907,770.2,158,6
