date,population,active,rate,new,band
2022/1/1,10781,50,463.8,1,5
2022/1/2,10781,39,361.7,3,5
2022/1/3,10781,47,436,12,5
2022/1/4,10781,45,417.4,8,5
2022/1/5,10781,37,343.2,2,5
2022/1/6,10781,37,343.2,10,5
2022/1/7,10781,39,361.7,3,5
2022/1/8,10781,45,417.4,7,5
2022/1/9,10781,47,436,6,5
2022/1/10,10781,39,361.7,7,5
2022/1/11,10781,43,398.8,7,5
2022/1/12,10781,46,426.7,7,5
2022/1/13,10781,61,565.8,20,5
2022/1/14,10781,61,565.8,20,5
2022/1/15,10781,58,538,6,5
2022/1/16,10781,64,593.6,11,5
2022/1/17,10781,65,602.9,3,5
2022/1/18,10781,47,510.2,4,5
2022/1/19,10781,45,445.2,9,5
2022/1/20,10781,37,222.6,6,5
2022/1/21,10781,37,556.5,9,5
2022/1/22,10781,39,519.4,8,5
2022/1/23,10781,45,547.3,7,5
2022/1/24,10781,47,547.3,6,5
2022/1/25,10781,39,565.8,10,5
2022/1/26,10781,43,463.8,1,5
2022/1/27,10781,46,361.7,3,5
2022/1/28,10781,61,436,12,5
2022/1/29,10781,61,417.4,8,5
2022/1/30,10781,58,343.2,2,4
2022/1/31,10781,64,343.2,10,4
2022/2/1,10781,65,361.7,3,4
2022/2/2,10781,45,417.4,7,5
2022/2/3,10781,47,436,6,4
2022/2/4,10781,39,361.7,7,6
2022/2/5,10781,43,398.8,7,6
2022/2/6,10781,84,779.1,11,6
2022/2/7,10781,86,797.7,10,6
2022/2/8,10781,84,779.1,14,6
2022/2/9,10781,83,769.9,16,6
2022/2/10,10781,70,649.3,3,6
2022/2/11,10781,61,565.8,7,6
2022/2/12,10781,62,575.1,9,6
2022/2/13,10781,66,612.2,10,6
2022/2/14,10781,71,658.6,14,6
2022/2/15,10781,60,556.5,9,6
2022/2/16,10781,56,519.4,8,6
2022/2/17,10781,59,547.3,7,6
2022/2/18,10781,59,547.3,6,6
2022/2/19,10781,61,565.8,10,6
2022/2/20,10781,50,463.8,1,5
2022/2/21,10781,39,361.7,3,5
2022/2/22,10781,47,436,12,5
