date,population,active,rate,new,band
2022/1/1,33456,322,962.5,41,6
2022/1/2,33456,299,893.7,54,6
2022/1/3,33456,289,863.8,50,6
2022/1/4,33456,288,860.8,47,6
2022/1/5,33456,282,842.9,43,6
2022/1/6,33456,273,816,32,6
2022/1/7,33456,268,801.1,27,6
2022/1/8,33456,259,774.2,38,6
2022/1/9,33456,234,699.4,25,6
2022/1/10,33456,220,657.6,32,6
2022/1/11,33456,225,672.5,41,6
2022/1/12,33456,217,648.6,26,6
2022/1/13,33456,211,630.7,84,6
2022/1/14,33456,211,630.7,71,6
2022/1/15,33456,177,529.1,25,6
2022/1/16,33456,217,648.6,31,6
2022/1/17,33456,212,633.7,29,6
2022/1/18,33456,213,636.7,34,6
2022/1/19,33456,248,741.3,43,6
2022/1/20,33456,216,645.6,43,6
2022/1/21,33456,245,732.3,61,6
2022/1/22,33456,298,890.7,54,6
2022/1/23,33456,364,1088,66,6
2022/1/24,33456,288,860.8,38,6
2022/1/25,33456,287,857.8,37,6
2022/1/26,33456,280,836.9,49,6
2022/1/27,33456,220,657.6,32,6
2022/1/28,33456,225,672.5,41,6
2022/1/29,33456,177,529.1,25,6
2022/1/30,33456,195,582.9,32,6
2022/1/31,33456,182,544,14,6
2022/2/1,33456,164,490.2,18,5
2022/2/2,33456,187,558.9,53,6
2022/2/3,33456,153,457.3,39,5
2022/2/4,33456,289,863.8,50,6
2022/2/5,33456,354,1058.1,47,7
2022/2/6,33456,346,1034.2,36,7
2022/2/7,33456,341,1019.2,50,7
2022/2/8,33456,322,962.5,41,6
2022/2/9,33456,299,893.7,54,6
2022/2/10,33456,289,863.8,50,6
2022/2/11,33456,288,860.8,47,6
2022/2/12,33456,282,842.9,43,6
2022/2/13,33456,273,816,32,6
2022/2/14,33456,268,801.1,27,6
2022/2/15,33456,259,774.2,38,6
2022/2/16,33456,234,699.4,25,6
2022/2/17,33456,220,657.6,32,6
2022/2/18,33456,225,672.5,41,6
2022/2/19,33456,217,648.6,26,6
2022/2/20,33456,212,633.7,24,6
2022/2/21,33456,197,588.8,24,6
2022/2/22,33456,195,582.9,18,6
2022/2/23,33456,182,544,28,6
2022/2/24,33456,183,547,29,6
2022/2/25,33456,169,505.1,25,6
2022/2/26,33456,176,526.1,35,6
2022/2/27,33456,172,514.1,22,6
2022/2/28,33456,184,550,30,6
2022/3/1,33456,192,573.9,41,6
2022/3/2,33456,201,600.8,32,6
2022/3/3,33456,219,654.6,49,6
2022/3/4,33456,217,648.6,31,6
2022/3/5,33456,217,648.6,31,6
2022/3/6,33456,212,633.7,29,6
2022/3/7,33456,213,636.7,34,6
2022/3/8,33456,248,741.3,43,6
2022/3/9,33456,216,645.6,43,6
2022/3/10,33456,245,732.3,61,6
2022/3/11,33456,298,890.7,54,6
2022/3/12,33456,364,1088,66,7
2022/3/13,33456,288,860.8,38,6
2022/3/14,33456,287,857.8,37,6
2022/3/15,33456,280,836.9,49,6
2022/3/16,33456,304,908.7,64,6
2022/3/17,33456,311,929.6,65,6
2022/3/18,33456,331,989.4,68,6
2022/3/19,33456,348,1040.2,75,7
2022/3/20,33456,341,1019.2,43,7
2022/3/21,33456,342,1022.2,44,7
2022/3/22,33456,364,1088,66,7
2022/3/23,33456,350,1046.2,62,7
2022/3/24,33456,395,1180.7,96,7
2022/3/25,33456,391,1168.7,76,7
2022/3/26,33456,405,1210.5,57,7
2022/3/27,33456,414,1237.4,69,7
2022/3/28,33456,432,1291.2,68,7
2022/3/29,33456,427,1276.3,85,7
2022/3/30,33456,468,1398.9,120,7
2022/3/31,33456,477,1425.8,96,7
2022/4/1,33456,496,1482.5,88,7
2022/4/2,33456,520,1554.3,77,7
2022/4/3,33456,541,1617,92,7
2022/4/4,33456,510,1524.4,64,7
2022/4/5,33456,505,1509.4,99,7
2022/4/6,33456,424,1267.3,81,7
2022/4/7,33456,480,1434.7,106,7
