date,population,active,rate,new,band
2022/1/1,20649,175,847.5,42,5
2022/1/2,20649,193,934.7,21,5
2022/1/3,20649,182,881.4,19,5
2022/1/4,20649,165,799.1,24,5
2022/1/5,20649,169,818.4,31,5
2022/1/6,20649,172,833,33,5
2022/1/7,20649,175,847.5,42,5
2022/1/8,20649,238,1152.6,75,5
2022/1/9,20649,247,1196.2,45,5
2022/1/10,20649,259,1254.3,32,5
2022/1/11,20649,103,498.8,15,5
2022/1/12,20649,103,498.8,15,5
2022/1/13,20649,93,450.4,5,5
2022/1/14,20649,84,406.8,13,5
2022/1/15,20649,111,537.6,31,5
2022/1/16,20649,112,542.4,27,5
2022/1/17,20649,129,624.7,28,5
2022/1/18,20649,160,774.9,31,5
2022/1/19,20649,206,997.6,40,5
2022/1/20,20649,145,702.2,17,5
2022/1/21,20649,152,736.1,25,5
2022/1/22,20649,167,808.8,41,5
2022/1/23,20649,206,997.6,40,5
2022/1/24,20649,192,929.8,28,5
2022/1/25,20649,177,857.2,31,5
2022/1/26,20649,168,813.6,26,5
2022/1/27,20649,174,842.7,28,5
2022/1/28,20649,162,784.5,23,5
2022/1/29,20649,166,803.9,25,5
2022/1/30,20649,168,813.6,35,5
2022/1/31,20649,169,818.4,24,5
2022/2/1,20649,112,542.4,4,5
2022/2/2,20649,129,624.7,13,5
2022/2/3,20649,160,774.9,2,4
2022/2/4,20649,175,847.5,42,6
2022/2/5,20649,193,934.7,21,6
2022/2/6,20649,182,881.4,19,6
2022/2/7,20649,165,799.1,24,6
2022/2/8,20649,169,818.4,31,6
2022/2/9,20649,172,833,33,6
2022/2/10,20649,175,847.5,42,6
2022/2/11,20649,238,1152.6,75,7
2022/2/12,20649,247,1196.2,45,7
2022/2/13,20649,259,1254.3,32,7
2022/2/14,20649,269,1302.7,47,7
2022/2/15,20649,282,1365.7,49,7
2022/2/16,20649,230,1113.9,44,7
2022/2/17,20649,232,1123.5,30,7
2022/2/18,20649,238,1152.6,41,7
2022/2/19,20649,243,1176.8,30,7
2022/2/20,20649,247,1196.2,26,7
2022/2/21,20649,229,1109,34,7
2022/2/22,20649,229,1109,34,7
2022/2/23,20649,196,949.2,26,6
2022/2/24,20649,177,857.2,20,6
2022/2/25,20649,163,789.4,24,6
2022/2/26,20649,144,697.4,12,6
2022/2/27,20649,130,629.6,14,6
2022/2/28,20649,117,566.6,23,6
2022/3/1,20649,112,542.4,16,6
2022/3/2,20649,107,518.2,14,6
2022/3/3,20649,105,508.5,14,6
2022/3/4,20649,103,498.8,15,5
2022/3/5,20649,103,498.8,15,5
2022/3/6,20649,93,450.4,5,5
2022/3/7,20649,84,406.8,13,5
2022/3/8,20649,111,537.6,31,6
2022/3/9,20649,112,542.4,27,6
2022/3/10,20649,129,624.7,28,6
2022/3/11,20649,160,774.9,31,6
2022/3/12,20649,206,997.6,40,6
2022/3/13,20649,145,702.2,17,6
2022/3/14,20649,152,736.1,25,6
2022/3/15,20649,167,808.8,41,6
2022/3/16,20649,173,837.8,44,6
2022/3/17,20649,182,881.4,40,6
2022/3/18,20649,189,915.3,27,6
2022/3/19,20649,206,997.6,27,6
2022/3/20,20649,215,1041.2,30,7
2022/3/21,20649,211,1021.8,24,7
2022/3/22,20649,206,997.6,40,6
2022/3/23,20649,192,929.8,28,6
2022/3/24,20649,177,857.2,31,6
2022/3/25,20649,168,813.6,26,6
2022/3/26,20649,174,842.7,28,6
2022/3/27,20649,162,784.5,23,6
2022/3/28,20649,166,803.9,25,6
2022/3/29,20649,168,813.6,35,6
2022/3/30,20649,169,818.4,24,6
2022/3/31,20649,172,833,32,6
2022/4/1,20649,181,876.6,33,6
2022/4/2,20649,182,881.4,39,6
2022/4/3,20649,178,862,17,6
2022/4/4,20649,181,876.6,29,6
2022/4/5,20649,188,910.5,41,6
2022/4/6,20649,164,794.2,21,6
2022/4/7,20649,217,1050.9,46,7
2022/4/8,20649,223,1080,34,7
2022/4/9,20649,222,1075.1,38,7
2022/4/10,20649,226,1094.5,24,7
2022/4/11,20649,211,1021.8,29,7
2022/4/12,20649,213,1031.5,34,7
2022/4/13,20649,201,973.4,35,6
2022/4/14,20649,178,862,31,6
2022/4/15,20649,183,886.2,32,6
2022/4/16,20649,164,794.2,21,6
2022/4/17,20649,165,799.1,18,6
2022/4/18,20649,154,745.8,17,6
2022/4/19,20649,137,663.5,17,6
2022/4/20,20649,127,615,24,6
2022/4/21,20649,121,586,21,6
2022/4/22,20649,118,571.5,19,6
2022/4/23,20649,113,547.2,23,6
2022/4/24,20649,107,518.2,8,6
2022/4/25,20649,112,542.4,19,6
2022/4/26,20649,110,532.7,25,6
2022/4/27,20649,112,542.4,18,6
2022/4/28,20649,106,513.3,20,6
2022/4/29,20649,111,537.6,20,6
2022/4/30,20649,117,566.6,25,6
2022/5/1,20649,111,537.6,9,6
2022/5/2,20649,153,741,34,6
2022/5/3,20649,121,586,27,6
2022/5/4,20649,122,590.8,19,6
2022/5/5,20649,123,595.7,23,6
2022/5/6,20649,137,663.5,32,6
2022/5/7,20649,137,663.5,24,6
2022/5/8,20649,146,707.1,19,6
2022/5/9,20649,141,682.8,22,6
2022/5/10,20649,155,750.6,34,6
2022/5/11,20649,184,891.1,30,6
2022/5/12,20649,153,741,34,6
2022/5/13,20649,173,837.8,22,6
2022/5/14,20649,160,774.9,31,6
2022/5/15,20649,168,813.6,30,6
2022/5/16,20649,137,663.5,32,6
2022/5/17,20649,172,833,28,6
2022/5/18,20649,141,682.8,19,6
2022/5/19,20649,181,876.6,37,6
2022/5/20,20649,187,905.6,31,6
2022/5/21,20649,184,891.1,30,6
2022/5/22,20649,173,837.8,20,6
2022/5/23,20649,173,837.8,22,6
2022/5/24,20649,160,774.9,31,6
2022/5/25,20649,170,823.3,26,6
2022/5/26,20649,137,663.5,32,6
2022/5/27,20649,152,736.1,27,6
2022/5/28,20649,141,682.8,19,6
2022/5/29,20649,134,648.9,12,6
2022/5/30,20649,132,639.3,19,6
2022/5/31,20649,122,590.8,22,6
2022/6/1,20649,117,566.6,11,6
2022/6/2,20649,113,547.2,15,6
2022/6/3,20649,88,426.2,12,5
2022/6/4,20649,88,426.2,10,5
2022/6/5,20649,88,426.2,12,5
2022/6/6,20649,77,372.9,16,5
2022/6/7,20649,87,421.3,26,5
2022/6/8,20649,84,406.8,14,5
2022/6/9,20649,87,421.3,10,5
2022/6/10,20649,103,498.8,12,5
2022/6/11,20649,104,503.7,10,6
2022/6/12,20649,83,402,11,5
2022/6/13,20649,81,392.3,17,5
2022/6/14,20649,89,431,23,5
2022/6/15,20649,78,377.7,15,5
2022/6/16,20649,77,372.9,16,5
2022/6/17,20649,83,402,14,5
2022/6/18,20649,84,406.8,14,5
2022/6/19,20649,87,421.3,10,5
2022/6/20,20649,90,435.9,9,5
2022/6/21,20649,87,421.3,20,5
2022/6/22,20649,83,402,11,5
2022/6/23,20649,81,392.3,17,5
2022/6/24,20649,89,431,23,5
2022/6/25,20649,82,397.1,9,5
2022/6/26,20649,76,368.1,5,5
2022/6/27,20649,69,334.2,7,5
2022/6/28,20649,87,421.3,30,5
2022/6/29,20649,97,469.8,26,5
2022/6/30,20649,93,450.4,23,5
2022/7/1,20649,95,460.1,17,5
2022/7/2,20649,101,489.1,13,5
2022/7/3,20649,114,552.1,20,6
2022/7/4,20649,122,590.8,22,6
2022/7/5,20649,115,556.9,22,6
2022/7/6,20649,120,581.1,24,6
2022/7/7,20649,132,639.3,30,6
2022/7/8,20649,133,644.1,19,6
2022/7/9,20649,137,663.5,24,6
2022/7/10,20649,158,765.2,27,6
2022/7/11,20649,138,668.3,15,6
2022/7/12,20649,184,891.1,42,6
2022/7/13,20649,195,944.4,35,6
2022/7/14,20649,141,682.8,27,6
2022/7/15,20649,140,678,20,6
2022/7/16,20649,141,682.8,23,6
2022/7/17,20649,141,682.8,21,6
2022/7/18,20649,149,721.6,30,6
2022/7/19,20649,151,731.3,27,6
2022/7/20,20649,158,765.2,27,6
2022/7/21,20649,171,828.1,39,6
2022/7/22,20649,184,891.1,42,6
2022/7/23,20649,195,944.4,35,6
2022/7/24,20649,201,973.4,31,6
2022/7/25,20649,183,886.2,14,6
2022/7/26,20649,188,910.5,22,6
2022/7/27,20649,141,682.8,21,6
2022/7/28,20649,194,939.5,30,6
2022/7/29,20649,173,837.8,30,6
2022/7/30,20649,156,755.5,13,6
2022/7/31,20649,151,731.3,20,6
2022/8/1,20649,148,716.7,19,6
2022/8/2,20649,104,503.7,18,6
2022/8/3,20649,137,663.5,17,6
2022/8/4,20649,123,595.7,10,6
2022/8/5,20649,111,537.6,15,6
2022/8/6,20649,73,353.5,14,5
2022/8/7,20649,73,353.5,12,5
2022/8/8,20649,90,435.9,17,5
2022/8/9,20649,87,421.3,21,5
2022/8/10,20649,98,474.6,21,5
2022/8/11,20649,52,251.8,3,5
2022/8/12,20649,104,503.7,18,6
2022/8/13,20649,48,232.5,8,5
2022/8/14,20649,51,247,11,5
2022/8/15,20649,80,387.4,9,5
2022/8/16,20649,73,353.5,14,5
2022/8/17,20649,73,353.5,12,5
2022/8/18,20649,46,222.8,10,5
2022/8/19,20649,53,256.7,6,5
2022/8/20,20649,57,276,12,5
2022/8/21,20649,52,251.8,3,5
2022/8/22,20649,54,261.5,8,5
2022/8/23,20649,48,232.5,8,5
2022/8/24,20649,51,247,11,5
2022/8/25,20649,45,217.9,7,5
2022/8/26,20649,43,208.2,6,5
2022/8/27,20649,43,208.2,11,5
2022/8/28,20649,46,222.8,10,5
2022/8/29,20649,49,237.3,7,5
2022/8/30,20649,57,276,12,5
2022/8/31,20649,54,261.5,8,5
2022/9/1,20649,55,266.4,8,5
2022/9/2,20649,58,280.9,11,5
2022/9/3,20649,43,208.2,8,5
2022/9/4,20649,44,213.1,5,5
2022/9/5,20649,43,208.2,9,5
2022/9/6,20649,40,193.7,7,4
2022/9/7,20649,43,208.2,11,5
2022/9/8,20649,46,222.8,6,5
2022/9/9,20649,43,208.2,8,5
2022/9/10,20649,43,208.2,8,5
2022/9/11,20649,43,208.2,8,5
2022/9/12,20649,43,208.2,8,5
2022/9/13,20649,43,208.2,8,5
2022/9/14,20649,43,208.2,8,5
2022/9/15,20649,43,208.2,8,5
2022/9/16,20649,21,101.7,1,4
