date,population,active,rate,new,band
2022/1/1,6040,31,513.2,8,5
2022/1/2,6040,30,496.7,5,5
2022/1/3,6040,27,447,3,5
2022/1/4,6040,37,612.6,12,5
2022/1/5,6040,37,612.6,5,5
2022/1/6,6040,32,529.8,4,5
2022/1/7,6040,40,662.3,9,5
2022/1/8,6040,35,579.5,2,5
2022/1/9,6040,36,596,4,5
2022/1/10,6040,36,596,2,5
2022/1/11,6040,23,380.8,2,5
2022/1/12,6040,21,347.7,3,5
2022/1/13,6040,34,562.9,6,5
2022/1/14,6040,38,629.1,8,5
2022/1/15,6040,32,529.8,3,4
2022/1/16,6040,31,513.2,4,4
2022/1/17,6040,23,380.8,2,4
2022/1/18,6040,25,413.9,4,4
2022/1/19,6040,27,447,4,4
2022/1/20,6040,12,198.7,1,4
2022/1/21,6040,8,132.5,3,4
2022/1/22,6040,9,149,1,4
2022/1/23,6040,30,496.7,5,4
2022/1/24,6040,28,463.6,4,4
2022/1/25,6040,28,463.6,4,4
2022/1/26,6040,28,463.6,4,4
2022/1/27,6040,32,529.8,4,4
2022/1/28,6040,40,662.3,9,4
2022/1/29,6040,35,579.5,2,4
2022/1/30,6040,36,596,4,4
2022/1/31,6040,36,596,2,4
2022/2/1,6040,23,380.8,2,4
2022/2/2,6040,21,347.7,3,4
2022/2/3,6040,22,364.2,5,4
2022/2/4,6040,17,281.5,3,5
2022/2/5,6040,28,463.6,4,5
2022/2/6,6040,28,463.6,4,5
2022/2/7,6040,28,463.6,4,5
2022/2/8,6040,28,463.6,2,5
2022/2/9,6040,31,513.2,8,6
2022/2/10,6040,30,496.7,5,5
2022/2/11,6040,27,447,3,5
2022/2/12,6040,37,612.6,12,6
2022/2/13,6040,37,612.6,5,6
2022/2/14,6040,32,529.8,4,6
2022/2/15,6040,40,662.3,9,6
2022/2/16,6040,35,579.5,2,6
2022/2/17,6040,36,596,4,6
2022/2/18,6040,36,596,2,6
2022/2/19,6040,23,380.8,2,5
2022/2/20,6040,21,347.7,3,5
2022/2/21,6040,22,364.2,5,5
2022/2/22,6040,17,281.5,3,5
2022/2/23,6040,14,231.8,1,5
2022/2/24,6040,13,215.2,1,5
2022/2/25,6040,12,198.7,1,4
2022/2/26,6040,14,231.8,3,5
2022/2/27,6040,12,198.7,2,4
2022/2/28,6040,10,165.6,2,4
2022/3/1,6040,15,248.3,7,5
2022/3/2,6040,22,364.2,7,5
2022/3/3,6040,27,447,6,5
2022/3/4,6040,31,513.2,5,6
2022/3/5,6040,31,513.2,5,6
2022/3/6,6040,43,711.9,8,6
2022/3/7,6040,46,761.6,8,6
2022/3/8,6040,55,910.6,9,6
2022/3/9,6040,49,811.3,8,6
2022/3/10,6040,47,778.1,5,6
2022/3/11,6040,54,894,7,6
2022/3/12,6040,34,562.9,6,6
2022/3/13,6040,44,728.5,6,6
2022/3/14,6040,38,629.1,4,6
2022/3/15,6040,38,629.1,5,6
2022/3/16,6040,38,629.1,1,6
2022/3/17,6040,40,662.3,8,6
2022/3/18,6040,43,711.9,9,6
2022/3/19,6040,42,695.4,8,6
2022/3/20,6040,37,612.6,4,6
2022/3/21,6040,36,596,3,6
2022/3/22,6040,34,562.9,6,6
2022/3/23,6040,38,629.1,8,6
2022/3/24,6040,32,529.8,3,6
2022/3/25,6040,31,513.2,4,6
2022/3/26,6040,23,380.8,2,5
2022/3/27,6040,25,413.9,4,5
2022/3/28,6040,27,447,4,5
2022/3/29,6040,23,380.8,6,5
2022/3/30,6040,32,529.8,12,6
2022/3/31,6040,33,546.4,6,6
2022/4/1,6040,35,579.5,5,6
2022/4/2,6040,37,612.6,6,6
2022/4/3,6040,36,596,2,6
2022/4/4,6040,34,562.9,5,6
2022/4/5,6040,32,529.8,6,6
2022/4/6,6040,48,794.7,9,6
2022/4/7,6040,34,562.9,4,6
2022/4/8,6040,38,629.1,10,6
2022/4/9,6040,41,678.8,6,6
2022/4/10,6040,43,711.9,6,6
2022/4/11,6040,47,778.1,8,6
2022/4/12,6040,48,794.7,10,6
2022/4/13,6040,47,778.1,12,6
2022/4/14,6040,48,794.7,7,6
2022/4/15,6040,45,745,4,6
2022/4/16,6040,48,794.7,9,6
2022/4/17,6040,50,827.8,4,6
2022/4/18,6040,46,761.6,2,6
2022/4/19,6040,39,645.7,9,6
2022/4/20,6040,39,645.7,11,6
2022/4/21,6040,39,645.7,12,6
2022/4/22,6040,41,678.8,9,6
2022/4/23,6040,40,662.3,5,6
2022/4/24,6040,36,596,3,6
2022/4/25,6040,33,546.4,3,6
2022/4/26,6040,27,447,4,5
2022/4/27,6040,28,463.6,7,5
2022/4/28,6040,32,529.8,11,6
2022/4/29,6040,35,579.5,7,6
2022/4/30,6040,36,596,6,6
2022/5/1,6040,40,662.3,6,6
2022/5/2,6040,60,993.4,15,6
2022/5/3,6040,33,546.4,5,6
2022/5/4,6040,39,645.7,14,6
2022/5/5,6040,41,678.8,6,6
2022/5/6,6040,40,662.3,7,6
2022/5/7,6040,42,695.4,7,6
2022/5/8,6040,43,711.9,6,6
2022/5/9,6040,47,778.1,11,6
2022/5/10,6040,51,844.4,7,6
2022/5/11,6040,103,1705.3,19,7
2022/5/12,6040,60,993.4,15,6
2022/5/13,6040,102,1688.7,11,7
2022/5/14,6040,62,1026.5,13,7
2022/5/15,6040,64,1059.6,13,7
2022/5/16,6040,40,662.3,7,6
2022/5/17,6040,76,1258.3,15,7
2022/5/18,6040,64,1059.6,8,7
2022/5/19,6040,89,1473.5,21,7
2022/5/20,6040,100,1655.6,17,7
2022/5/21,6040,103,1705.3,19,7
2022/5/22,6040,106,1755,14,7
2022/5/23,6040,102,1688.7,11,7
2022/5/24,6040,62,1026.5,13,7
2022/5/25,6040,82,1357.6,11,7
2022/5/26,6040,40,662.3,7,6
2022/5/27,6040,70,1158.9,12,7
2022/5/28,6040,64,1059.6,8,7
2022/5/29,6040,62,1026.5,10,7
2022/5/30,6040,59,976.8,2,6
