date,population,active,rate,new,band
2022/1/1,29187,286,979.9,44,6
2022/1/2,29187,271,928.5,46,6
2022/1/3,29187,262,897.7,40,6
2022/1/4,29187,264,904.5,51,6
2022/1/5,29187,276,945.6,46,6
2022/1/6,29187,270,925.1,33,6
2022/1/7,29187,272,931.9,38,6
2022/1/8,29187,284,973,52,6
2022/1/9,29187,306,1048.4,69,6
2022/1/10,29187,301,1031.3,39,6
2022/1/11,29187,307,1051.8,47,6
2022/1/12,29187,224,767.5,37,6
2022/1/13,29187,243,832.6,38,6
2022/1/14,29187,243,832.6,38,6
2022/1/15,29187,215,736.6,25,5
2022/1/16,29187,229,784.6,37,5
2022/1/17,29187,297,1017.6,73,5
2022/1/18,29187,283,969.6,52,5
2022/1/19,29187,284,973,53,5
2022/1/20,29187,332,1137.5,48,5
2022/1/21,29187,256,877.1,56,5
2022/1/22,29187,284,973,53,5
2022/1/23,29187,332,1137.5,48,5
2022/1/24,29187,256,877.1,56,5
2022/1/25,29187,250,856.5,43,5
2022/1/26,29187,241,825.7,41,5
2022/1/27,29187,249,853.1,43,5
2022/1/28,29187,239,818.9,29,5
2022/1/29,29187,234,801.7,31,5
2022/1/30,29187,231,791.4,34,5
2022/1/31,29187,215,736.6,44,5
2022/2/1,29187,272,294.7,10,5
2022/2/2,29187,284,322.1,20,5
2022/2/3,29187,306,311.8,12,5
2022/2/4,29187,301,897.7,40,6
2022/2/5,29187,278,952.5,30,6
2022/2/6,29187,273,935.3,30,6
2022/2/7,29187,299,1024.4,43,7
2022/2/8,29187,286,979.9,44,6
2022/2/9,29187,271,928.5,46,6
2022/2/10,29187,262,897.7,40,6
2022/2/11,29187,264,904.5,51,6
2022/2/12,29187,276,945.6,46,6
2022/2/13,29187,270,925.1,33,6
2022/2/14,29187,272,931.9,38,6
2022/2/15,29187,284,973,52,6
2022/2/16,29187,306,1048.4,69,7
2022/2/17,29187,301,1031.3,39,7
2022/2/18,29187,307,1051.8,47,7
2022/2/19,29187,318,1089.5,58,7
2022/2/20,29187,306,1048.4,26,7
2022/2/21,29187,305,1045,36,7
2022/2/22,29187,308,1055.3,38,7
2022/2/23,29187,259,887.4,31,6
2022/2/24,29187,275,942.2,55,6
2022/2/25,29187,240,822.3,22,6
2022/2/26,29187,234,801.7,37,6
2022/2/27,29187,232,794.9,27,6
2022/2/28,29187,222,760.6,25,6
2022/3/1,29187,227,777.7,45,6
2022/3/2,29187,231,791.4,36,6
2022/3/3,29187,224,767.5,37,6
2022/3/4,29187,243,832.6,38,6
2022/3/5,29187,243,832.6,38,6
2022/3/6,29187,215,736.6,25,6
2022/3/7,29187,229,784.6,37,6
2022/3/8,29187,297,1017.6,73,7
2022/3/9,29187,283,969.6,52,6
2022/3/10,29187,284,973,53,6
2022/3/11,29187,332,1137.5,48,7
2022/3/12,29187,256,877.1,56,6
2022/3/13,29187,289,990.2,22,6
2022/3/14,29187,287,983.3,41,6
2022/3/15,29187,271,928.5,42,6
2022/3/16,29187,272,931.9,58,6
2022/3/17,29187,263,901.1,54,6
2022/3/18,29187,256,877.1,23,6
2022/3/19,29187,265,907.9,44,6
2022/3/20,29187,255,873.7,28,6
2022/3/21,29187,258,884,36,6
2022/3/22,29187,256,877.1,56,6
2022/3/23,29187,250,856.5,43,6
2022/3/24,29187,241,825.7,41,6
2022/3/25,29187,249,853.1,43,6
2022/3/26,29187,239,818.9,29,6
2022/3/27,29187,234,801.7,31,6
2022/3/28,29187,231,791.4,34,6
2022/3/29,29187,215,736.6,44,6
2022/3/30,29187,254,870.3,61,6
2022/3/31,29187,240,822.3,31,6
2022/4/1,29187,225,770.9,31,6
2022/4/2,29187,211,722.9,15,6
2022/4/3,29187,199,681.8,21,6
2022/4/4,29187,178,609.9,16,6
2022/4/5,29187,178,609.9,45,6
2022/4/6,29187,272,931.9,39,6
2022/4/7,29187,190,651,44,6
2022/4/8,29187,213,729.8,46,6
2022/4/9,29187,229,784.6,34,6
2022/4/10,29187,232,794.9,30,6
2022/4/11,29187,254,870.3,51,6
2022/4/12,29187,248,849.7,46,6
2022/4/13,29187,260,890.8,56,6
2022/4/14,29187,281,962.8,65,6
2022/4/15,29187,279,955.9,38,6
2022/4/16,29187,272,931.9,39,6
2022/4/17,29187,269,921.6,31,6
2022/4/18,29187,273,935.3,45,6
2022/4/19,29187,265,907.9,49,6
2022/4/20,29187,279,955.9,61,6
2022/4/21,29187,269,921.6,60,6
2022/4/22,29187,297,1017.6,59,7
2022/4/23,29187,298,1021,42,7
2022/4/24,29187,294,1007.3,34,7
2022/4/25,29187,299,1024.4,48,7
2022/4/26,29187,285,976.5,49,6
2022/4/27,29187,294,1007.3,54,7
2022/4/28,29187,277,949.1,41,6
2022/4/29,29187,268,918.2,45,6
2022/4/30,29187,251,860,19,6
2022/5/1,29187,214,733.2,18,6
2022/5/2,29187,324,1110.1,64,7
2022/5/3,29187,192,657.8,33,6
2022/5/4,29187,183,627,32,6
2022/5/5,29187,180,616.7,38,6
2022/5/6,29187,174,596.2,30,6
2022/5/7,29187,192,657.8,38,6
2022/5/8,29187,203,695.5,31,6
2022/5/9,29187,233,798.3,52,6
2022/5/10,29187,258,884,63,6
2022/5/11,29187,411,1408.2,56,7
2022/5/12,29187,324,1110.1,64,7
2022/5/13,29187,398,1363.6,56,7
2022/5/14,29187,370,1267.7,78,7
2022/5/15,29187,376,1288.2,50,7
2022/5/16,29187,174,596.2,30,6
2022/5/17,29187,399,1367,62,7
2022/5/18,29187,340,1164.9,31,7
2022/5/19,29187,410,1404.7,70,7
2022/5/20,29187,427,1463,77,7
2022/5/21,29187,411,1408.2,56,7
2022/5/22,29187,406,1391,59,7
2022/5/23,29187,398,1363.6,56,7
2022/5/24,29187,370,1267.7,78,7
2022/5/25,29187,399,1367,58,7
2022/5/26,29187,174,596.2,30,6
2022/5/27,29187,361,1236.9,42,7
2022/5/28,29187,340,1164.9,31,7
2022/5/29,29187,315,1079.2,70,7
2022/5/30,29187,317,1086.1,50,7
2022/5/31,29187,291,997,47,6
2022/6/1,29187,288,986.7,48,6
2022/6/2,29187,273,935.3,47,6
2022/6/3,29187,276,945.6,31,6
2022/6/4,29187,284,973,41,6
2022/6/5,29187,276,945.6,31,6
2022/6/6,29187,237,812,41,6
2022/6/7,29187,280,959.3,59,6
2022/6/8,29187,203,695.5,20,6
2022/6/9,29187,180,616.7,8,6
2022/6/10,29187,267,914.8,45,6
2022/6/11,29187,267,914.8,38,6
2022/6/12,29187,149,510.5,25,6
2022/6/13,29187,147,503.6,35,6
2022/6/14,29187,154,527.6,27,6
2022/6/15,29187,251,860,37,6
2022/6/16,29187,237,812,41,6
2022/6/17,29187,230,788,32,6
2022/6/18,29187,203,695.5,20,6
2022/6/19,29187,180,616.7,8,6
2022/6/20,29187,157,537.9,23,6
2022/6/21,29187,154,527.6,33,6
2022/6/22,29187,149,510.5,25,6
2022/6/23,29187,147,503.6,35,6
2022/6/24,29187,154,527.6,27,6
2022/6/25,29187,150,513.9,22,6
2022/6/26,29187,153,524.2,17,6
2022/6/27,29187,170,582.5,34,6
2022/6/28,29187,156,534.5,23,6
2022/6/29,29187,155,531.1,26,6
2022/6/30,29187,160,548.2,35,6
2022/7/1,29187,157,537.9,28,6
2022/7/2,29187,149,510.5,18,6
2022/7/3,29187,152,520.8,23,6
2022/7/4,29187,166,568.7,36,6
2022/7/5,29187,173,592.7,33,6
2022/7/6,29187,175,599.6,27,6
2022/7/7,29187,197,675,58,6
2022/7/8,29187,196,671.5,31,6
2022/7/9,29187,209,716.1,38,6
2022/7/10,29187,284,973,56,6
2022/7/11,29187,222,760.6,35,6
2022/7/12,29187,312,1069,48,7
2022/7/13,29187,320,1096.4,48,7
2022/7/14,29187,210,719.5,35,6
2022/7/15,29187,223,764,43,6
2022/7/16,29187,232,794.9,42,6
2022/7/17,29187,233,798.3,37,6
2022/7/18,29187,257,880.5,51,6
2022/7/19,29187,274,938.8,53,6
2022/7/20,29187,284,973,56,6
2022/7/21,29187,311,1065.5,64,7
2022/7/22,29187,312,1069,48,7
2022/7/23,29187,320,1096.4,48,7
2022/7/24,29187,299,1024.4,25,7
2022/7/25,29187,296,1014.2,45,7
2022/7/26,29187,279,955.9,52,6
2022/7/27,29187,233,798.3,37,6
2022/7/28,29187,311,1065.5,61,7
2022/7/29,29187,316,1082.7,47,7
2022/7/30,29187,311,1065.5,45,7
2022/7/31,29187,297,1017.6,22,7
2022/8/1,29187,289,990.2,35,6
2022/8/2,29187,144,493.4,21,5
2022/8/3,29187,251,860,43,6
2022/8/4,29187,244,836,54,6
2022/8/5,29187,234,801.7,38,6
2022/8/6,29187,145,496.8,26,5
2022/8/7,29187,140,479.7,24,5
2022/8/8,29187,209,716.1,20,6
2022/8/9,29187,197,675,29,6
2022/8/10,29187,177,606.4,28,6
2022/8/11,29187,124,424.8,12,5
2022/8/12,29187,144,493.4,21,5
2022/8/13,29187,110,376.9,20,5
2022/8/14,29187,109,373.5,21,5
2022/8/15,29187,145,496.8,23,5
2022/8/16,29187,145,496.8,26,5
2022/8/17,29187,140,479.7,24,5
2022/8/18,29187,101,346,11,5
2022/8/19,29187,148,507.1,21,6
2022/8/20,29187,90,308.4,16,5
2022/8/21,29187,124,424.8,12,5
2022/8/22,29187,122,418,20,5
2022/8/23,29187,110,376.9,20,5
2022/8/24,29187,109,373.5,21,5
2022/8/25,29187,103,352.9,19,5
2022/8/26,29187,101,346,16,5
2022/8/27,29187,73,250.1,15,5
2022/8/28,29187,101,346,11,5
2022/8/29,29187,93,318.6,10,5
2022/8/30,29187,90,308.4,16,5
2022/8/31,29187,86,294.7,14,5
2022/9/1,29187,78,267.2,15,5
2022/9/2,29187,81,277.5,12,5
2022/9/3,29187,67,229.6,11,5
2022/9/4,29187,73,250.1,12,5
2022/9/5,29187,75,257,12,5
2022/9/6,29187,72,246.7,13,5
2022/9/7,29187,73,250.1,15,5
2022/9/8,29187,68,233,8,5
2022/9/9,29187,67,229.6,11,5
2022/9/10,29187,67,229.6,11,5
2022/9/11,29187,67,229.6,11,5
2022/9/12,29187,67,229.6,11,5
2022/9/13,29187,67,229.6,11,5
2022/9/14,29187,67,229.6,11,5
2022/9/15,29187,67,229.6,11,5
2022/9/16,29187,43,147.3,6,4
