date,population,active,rate,new,band
2022/1/1,35181,373,1060.2,54,6
2022/1/2,35181,351,997.7,42,6
2022/1/3,35181,307,872.6,38,6
2022/1/4,35181,293,832.8,40,6
2022/1/5,35181,270,767.5,37,6
2022/1/6,35181,239,679.3,25,6
2022/1/7,35181,217,616.8,30,6
2022/1/8,35181,210,596.9,35,6
2022/1/9,35181,214,608.3,39,6
2022/1/10,35181,213,605.4,38,6
2022/1/11,35181,196,557.1,23,6
2022/1/12,35181,163,679.3,25,6
2022/1/13,35181,288,616.8,30,6
2022/1/14,35181,148,596.9,35,6
2022/1/15,35181,146,608.3,39,5
2022/1/16,35181,158,392.3,19,5
2022/1/17,35181,137,389.4,19,5
2022/1/18,35181,125,355.3,17,5
2022/1/19,35181,129,366.7,27,5
2022/1/20,35181,142,378,28,5
2022/1/21,35181,138,378,28,5
2022/1/22,35181,137,451.9,30,5
2022/1/23,35181,163,463.3,23,5
2022/1/24,35181,288,818.6,45,5
2022/1/25,35181,148,420.7,17,5
2022/1/26,35181,146,415,16,5
2022/1/27,35181,158,449.1,33,5
2022/1/28,35181,159,451.9,42,5
2022/1/29,35181,177,503.1,46,5
2022/1/30,35181,189,537.2,30,5
2022/1/31,35181,123,349.6,7,5
2022/2/1,35181,103,292.8,14,5
2022/2/2,35181,102,289.9,21,5
2022/2/3,35181,102,289.9,18,5
2022/2/4,35181,307,872.6,38,6
2022/2/5,35181,411,1168.2,69,7
2022/2/6,35181,408,1159.7,45,7
2022/2/7,35181,408,1159.7,54,7
2022/2/8,35181,373,1060.2,54,7
2022/2/9,35181,351,997.7,42,6
2022/2/10,35181,307,872.6,38,6
2022/2/11,35181,293,832.8,40,6
2022/2/12,35181,270,767.5,37,6
2022/2/13,35181,239,679.3,25,6
2022/2/14,35181,217,616.8,30,6
2022/2/15,35181,210,596.9,35,6
2022/2/16,35181,214,608.3,39,6
2022/2/17,35181,213,605.4,38,6
2022/2/18,35181,196,557.1,23,6
2022/2/19,35181,197,560,29,6
2022/2/20,35181,188,534.4,15,6
2022/2/21,35181,185,525.9,29,6
2022/2/22,35181,186,528.7,25,6
2022/2/23,35181,165,469,23,5
2022/2/24,35181,162,460.5,30,5
2022/2/25,35181,151,429.2,18,5
2022/2/26,35181,153,434.9,19,5
2022/2/27,35181,142,403.6,13,5
2022/2/28,35181,138,392.3,19,5
2022/3/1,35181,137,389.4,19,5
2022/3/2,35181,125,355.3,17,5
2022/3/3,35181,129,366.7,27,5
2022/3/4,35181,133,378,28,5
2022/3/5,35181,133,378,28,5
2022/3/6,35181,159,451.9,30,5
2022/3/7,35181,163,463.3,23,5
2022/3/8,35181,180,511.6,26,6
2022/3/9,35181,171,486.1,32,5
2022/3/10,35181,163,463.3,27,5
2022/3/11,35181,188,534.4,25,6
2022/3/12,35181,288,818.6,45,6
2022/3/13,35181,148,420.7,17,5
2022/3/14,35181,146,415,16,5
2022/3/15,35181,158,449.1,33,5
2022/3/16,35181,159,451.9,42,5
2022/3/17,35181,177,503.1,46,6
2022/3/18,35181,189,537.2,30,6
