date,population,active,rate,new,band
2022/1/1,44380,415,935.1,39,6
2022/1/2,44380,425,957.6,62,6
2022/1/3,44380,424,955.4,35,6
2022/1/4,44380,392,883.3,40,6
2022/1/5,44380,399,899.1,55,6
2022/1/6,44380,340,766.1,69,6
2022/1/7,44380,329,741.3,49,6
2022/1/8,44380,322,725.6,46,6
2022/1/9,44380,303,682.7,39,6
2022/1/10,44380,315,709.8,41,6
2022/1/11,44380,307,691.8,37,6
2022/1/12,44380,289,651.2,47,6
2022/1/13,44380,266,599.4,36,6
2022/1/14,44380,250,563.3,34,6
2022/1/15,44380,238,536.3,32,5
2022/1/16,44380,238,536.3,32,5
2022/1/17,44380,209,470.9,27,5
2022/1/18,44380,210,473.2,38,5
2022/1/19,44380,198,446.1,41,5
2022/1/20,44380,206,464.2,35,5
2022/1/21,44380,203,457.4,27,5
2022/1/22,44380,218,491.2,34,5
2022/1/23,44380,198,446.1,31,5
2022/1/24,44380,174,392.1,17,5
2022/1/25,44380,200,450.7,30,5
2022/1/26,44380,179,403.3,39,5
2022/1/27,44380,192,432.6,48,5
2022/1/28,44380,231,520.5,39,5
2022/1/29,44380,236,531.8,45,5
2022/1/30,44380,166,374,21,5
2022/1/31,44380,165,371.8,1,5
2022/2/1,44380,119,268.1,3,5
2022/2/2,44380,122,274.9,26,5
2022/2/3,44380,119,268.1,28,5
2022/2/4,44380,416,937.4,72,6
2022/2/5,44380,406,914.8,67,6
2022/2/6,44380,423,953.1,66,6
2022/2/7,44380,424,955.4,48,6
2022/2/8,44380,419,944.1,76,6
2022/2/9,44380,413,930.6,84,6
2022/2/10,44380,416,937.4,72,6
2022/2/11,44380,453,1020.7,100,7
2022/2/12,44380,434,977.9,57,6
2022/2/13,44380,447,1007.2,55,7
2022/2/14,44380,454,1023,56,7
2022/2/15,44380,412,928.3,55,6
2022/2/16,44380,446,1005,103,7
2022/2/17,44380,451,1016.2,82,7
2022/2/18,44380,415,935.1,39,6
2022/2/19,44380,425,957.6,62,6
2022/2/20,44380,424,955.4,35,6
2022/2/21,44380,392,883.3,40,6
2022/2/22,44380,399,899.1,55,6
2022/2/23,44380,340,766.1,69,6
2022/2/24,44380,329,741.3,49,6
2022/2/25,44380,322,725.6,46,6
2022/2/26,44380,303,682.7,39,6
2022/2/27,44380,315,709.8,41,6
2022/2/28,44380,307,691.8,37,6
2022/3/1,44380,289,651.2,47,6
2022/3/2,44380,266,599.4,36,6
2022/3/3,44380,250,563.3,34,6
2022/3/4,44380,238,536.3,32,6
2022/3/5,44380,238,536.3,32,6
2022/3/6,44380,198,446.1,31,5
2022/3/7,44380,174,392.1,17,5
2022/3/8,44380,200,450.7,30,5
2022/3/9,44380,179,403.3,39,5
2022/3/10,44380,192,432.6,48,5
2022/3/11,44380,231,520.5,39,6
2022/3/12,44380,236,531.8,45,6
2022/3/13,44380,208,468.7,30,5
2022/3/14,44380,218,491.2,33,5
2022/3/15,44380,209,470.9,27,5
2022/3/16,44380,210,473.2,38,5
2022/3/17,44380,198,446.1,41,5
2022/3/18,44380,206,464.2,35,5
2022/3/19,44380,203,457.4,27,5
2022/3/20,44380,218,491.2,34,5
2022/3/21,44380,216,486.7,32,5
2022/3/22,44380,236,531.8,45,6
2022/3/23,44380,225,507,38,6
2022/3/24,44380,238,536.3,63,6
2022/3/25,44380,258,581.3,47,6
2022/3/26,44380,269,606.1,48,6
2022/3/27,44380,285,642.2,44,6
2022/3/28,44380,304,685,49,6
2022/3/29,44380,307,691.8,49,6
2022/3/30,44380,324,730.1,76,6
2022/3/31,44380,327,736.8,54,6
2022/4/1,44380,353,795.4,70,6
2022/4/2,44380,344,775.1,49,6
2022/4/3,44380,372,838.2,64,6
2022/4/4,44380,396,892.3,67,6
2022/4/5,44380,389,876.5,68,6
2022/4/6,44380,478,1077.1,91,7
2022/4/7,44380,431,971.2,100,6
2022/4/8,44380,453,1020.7,91,7
2022/4/9,44380,484,1090.6,77,7
2022/4/10,44380,505,1137.9,84,7
2022/4/11,44380,488,1099.6,63,7
2022/4/12,44380,489,1101.8,87,7
2022/4/13,44380,505,1137.9,106,7
2022/4/14,44380,472,1063.5,73,7
2022/4/15,44380,461,1038.8,83,7
2022/4/16,44380,478,1077.1,91,7
2022/4/17,44380,488,1099.6,61,7
2022/4/18,44380,467,1052.3,54,7
2022/4/19,44380,442,995.9,78,6
2022/4/20,44380,462,1041,103,7
2022/4/21,44380,443,998.2,72,6
2022/4/22,44380,442,995.9,82,6
2022/4/23,44380,442,995.9,71,6
2022/4/24,44380,436,982.4,55,6
2022/4/25,44380,430,968.9,56,6
2022/4/26,44380,426,959.9,83,6
2022/4/27,44380,398,896.8,69,6
2022/4/28,44380,421,948.6,88,6
2022/4/29,44380,434,977.9,79,6
2022/4/30,44380,412,928.3,48,6
2022/5/1,44380,406,914.8,57,6
2022/5/2,44380,441,993.7,70,6
2022/5/3,44380,425,957.6,100,6
2022/5/4,44380,422,950.9,84,6
2022/5/5,44380,430,968.9,78,6
2022/5/6,44380,454,1023,87,7
2022/5/7,44380,451,1016.2,61,7
2022/5/8,44380,464,1045.5,69,7
2022/5/9,44380,467,1052.3,62,7
2022/5/10,44380,454,1023,86,7
2022/5/11,44380,587,1322.7,97,7
2022/5/12,44380,441,993.7,70,6
2022/5/13,44380,612,1379,83,7
2022/5/14,44380,448,1009.5,70,7
2022/5/15,44380,458,1032,69,7
2022/5/16,44380,454,1023,87,7
2022/5/17,44380,478,1077.1,112,7
2022/5/18,44380,587,1322.7,89,7
2022/5/19,44380,542,1221.3,99,7
2022/5/20,44380,566,1275.3,95,7
2022/5/21,44380,587,1322.7,97,7
2022/5/22,44380,614,1383.5,94,7
2022/5/23,44380,612,1379,83,7
2022/5/24,44380,448,1009.5,70,7
2022/5/25,44380,574,1293.4,101,7
2022/5/26,44380,454,1023,87,7
2022/5/27,44380,588,1324.9,96,7
2022/5/28,44380,587,1322.7,89,7
2022/5/29,44380,544,1225.8,44,7
2022/5/30,44380,523,1178.5,68,7
2022/5/31,44380,479,1079.3,81,7
2022/6/1,44380,488,1099.6,91,7
2022/6/2,44380,493,1110.9,101,7
2022/6/3,44380,466,1050,64,7
2022/6/4,44380,472,1063.5,54,7
2022/6/5,44380,466,1050,64,7
2022/6/6,44380,328,739.1,58,6
2022/6/7,44380,425,957.6,70,6
2022/6/8,44380,313,705.3,47,6
2022/6/9,44380,308,694,47,6
2022/6/10,44380,467,1052.3,58,7
2022/6/11,44380,442,995.9,58,6
2022/6/12,44380,310,698.5,53,6
2022/6/13,44380,323,727.8,53,6
2022/6/14,44380,316,712,42,6
2022/6/15,44380,337,759.4,57,6
2022/6/16,44380,328,739.1,58,6
2022/6/17,44380,320,721,49,6
2022/6/18,44380,313,705.3,47,6
2022/6/19,44380,308,694,47,6
2022/6/20,44380,338,761.6,144,6
2022/6/21,44380,319,718.8,61,6
2022/6/22,44380,310,698.5,53,6
2022/6/23,44380,323,727.8,53,6
2022/6/24,44380,316,712,42,6
2022/6/25,44380,299,673.7,48,6
2022/6/26,44380,304,685,34,6
2022/6/27,44380,303,682.7,46,6
2022/6/28,44380,303,682.7,62,6
2022/6/29,44380,317,714.3,74,6
2022/6/30,44380,299,673.7,49,6
2022/7/1,44380,280,630.9,40,6
2022/7/2,44380,264,594.9,29,6
2022/7/3,44380,265,597.1,38,6
2022/7/4,44380,257,579.1,43,6
2022/7/5,44380,242,545.3,39,6
2022/7/6,44380,270,608.4,75,6
2022/7/7,44380,285,642.2,64,6
2022/7/8,44380,294,662.5,47,6
2022/7/9,44380,304,685,48,6
2022/7/10,44380,346,779.6,80,6
2022/7/11,44380,311,700.8,38,6
2022/7/12,44380,373,840.5,65,6
2022/7/13,44380,402,905.8,70,6
2022/7/14,44380,344,775.1,60,6
2022/7/15,44380,357,804.4,67,6
2022/7/16,44380,364,820.2,50,6
2022/7/17,44380,369,831.5,55,6
2022/7/18,44380,358,806.7,46,6
2022/7/19,44380,353,795.4,57,6
2022/7/20,44380,346,779.6,80,6
2022/7/21,44380,374,842.7,90,6
2022/7/22,44380,373,840.5,65,6
2022/7/23,44380,402,905.8,70,6
2022/7/24,44380,423,953.1,62,6
2022/7/25,44380,419,944.1,50,6
2022/7/26,44380,442,995.9,93,6
2022/7/27,44380,369,831.5,55,6
2022/7/28,44380,441,993.7,74,6
2022/7/29,44380,440,991.4,70,6
2022/7/30,44380,400,901.3,50,6
2022/7/31,44380,396,892.3,51,6
2022/8/1,44380,361,813.4,31,6
2022/8/2,44380,196,441.6,25,5
2022/8/3,44380,322,725.6,54,6
2022/8/4,44380,317,714.3,65,6
2022/8/5,44380,304,685,40,6
2022/8/6,44380,143,322.2,30,5
2022/8/7,44380,160,360.5,39,5
2022/8/8,44380,257,579.1,25,6
2022/8/9,44380,233,525,32,6
2022/8/10,44380,211,475.4,29,5
2022/8/11,44380,157,353.8,13,5
2022/8/12,44380,196,441.6,25,5
2022/8/13,44380,148,333.5,26,5
2022/8/14,44380,123,277.2,16,5
2022/8/15,44380,150,338,15,5
2022/8/16,44380,143,322.2,30,5
2022/8/17,44380,160,360.5,39,5
2022/8/18,44380,121,272.6,16,5
2022/8/19,44380,152,342.5,24,5
2022/8/20,44380,119,268.1,26,5
2022/8/21,44380,157,353.8,13,5
2022/8/22,44380,150,338,17,5
2022/8/23,44380,148,333.5,26,5
2022/8/24,44380,123,277.2,16,5
2022/8/25,44380,123,277.2,22,5
2022/8/26,44380,119,268.1,19,5
2022/8/27,44380,91,205,20,5
2022/8/28,44380,121,272.6,16,5
2022/8/29,44380,122,274.9,16,5
2022/8/30,44380,119,268.1,26,5
2022/8/31,44380,123,277.2,23,5
2022/9/1,44380,126,283.9,23,5
2022/9/2,44380,130,292.9,19,5
2022/9/3,44380,83,187,14,4
2022/9/4,44380,111,250.1,11,5
2022/9/5,44380,109,245.6,14,5
2022/9/6,44380,93,209.6,10,5
2022/9/7,44380,91,205,20,5
2022/9/8,44380,86,193.8,13,4
2022/9/9,44380,83,187,14,4
2022/9/10,44380,83,187,14,4
2022/9/11,44380,83,187,14,4
2022/9/12,44380,83,187,14,4
2022/9/13,44380,83,187,14,4
2022/9/14,44380,83,187,14,4
2022/9/15,44380,83,187,14,4
2022/9/16,44380,67,151,19,4
