date,population,active,rate,new,band
2022/1/1,3841,13,338.5,0,5
2022/1/2,3841,11,286.4,2,5
2022/1/3,3841,10,260.3,0,5
2022/1/4,3841,6,156.2,0,5
2022/1/5,3841,4,104.1,0,5
2022/1/6,3841,3,78.1,2,5
2022/1/7,3841,5,130.2,2,5
2022/1/8,3841,4,104.1,0,5
2022/1/9,3841,5,130.2,1,5
2022/1/10,3841,8,208.3,4,5
2022/1/11,3841,8,208.3,2,5
2022/1/12,3841,11,286.4,4,5
2022/1/13,3841,10,260.3,1,5
2022/1/14,3841,9,234.3,2,5
2022/1/15,3841,9,234.3,3,4
2022/1/16,3841,11,286.4,2,4
2022/1/17,3841,9,234.3,0,4
2022/1/18,3841,9,234.3,3,4
2022/1/19,3841,13,338.5,4,4
2022/1/20,3841,12,312.4,2,4
2022/1/21,3841,3,78.1,2,4
2022/1/22,3841,5,130.2,2,4
2022/1/23,3841,4,104.1,0,4
2022/1/24,3841,5,130.2,1,4
2022/1/25,3841,8,208.3,4,4
2022/1/26,3841,8,208.3,2,4
2022/1/27,3841,11,286.4,4,4
2022/1/28,3841,10,260.3,1,4
2022/1/29,3841,11,286.4,0,4
2022/1/30,3841,11,286.4,1,4
2022/1/31,3841,8,208.3,0,4
2022/2/1,3841,8,208.3,5,4
2022/2/2,3841,9,234.3,2,4
2022/2/3,3841,9,234.3,1,4
2022/2/4,3841,8,208.3,0,6
2022/2/5,3841,15,390.5,7,5
2022/2/6,3841,20,520.7,3,6
2022/2/7,3841,21,546.7,5,6
2022/2/8,3841,23,598.8,2,6
2022/2/9,3841,26,676.9,5,6
2022/2/10,3841,30,781,6,6
2022/2/11,3841,31,807.1,5,6
2022/2/12,3841,30,781,4,6
2022/2/13,3841,26,676.9,0,6
2022/2/14,3841,30,781,6,6
2022/2/15,3841,28,729,2,6
2022/2/16,3841,23,598.8,3,6
2022/2/17,3841,15,390.5,0,5
2022/2/18,3841,13,338.5,0,5
2022/2/19,3841,11,286.4,2,5
2022/2/20,3841,10,260.3,0,5
2022/2/21,3841,6,156.2,0,4
2022/2/22,3841,4,104.1,0,4
2022/2/23,3841,3,78.1,2,3
2022/2/24,3841,5,130.2,2,4
2022/2/25,3841,4,104.1,0,4
2022/2/26,3841,5,130.2,1,4
2022/2/27,3841,8,208.3,4,5
2022/2/28,3841,8,208.3,2,5
2022/3/1,3841,11,286.4,4,5
2022/3/2,3841,10,260.3,1,5
2022/3/3,3841,9,234.3,1,5
2022/3/4,3841,16,416.6,7,5
2022/3/5,3841,16,416.6,7,5
2022/3/6,3841,12,312.4,0,5
2022/3/7,3841,11,286.4,0,5
2022/3/8,3841,11,286.4,0,5
2022/3/9,3841,10,260.3,1,5
2022/3/10,3841,11,286.4,3,5
2022/3/11,3841,11,286.4,0,5
2022/3/12,3841,11,286.4,0,5
2022/3/13,3841,5,130.2,1,4
2022/3/14,3841,9,234.3,3,5
2022/3/15,3841,11,286.4,2,5
2022/3/16,3841,9,234.3,0,5
2022/3/17,3841,9,234.3,3,5
2022/3/18,3841,13,338.5,4,5
2022/3/19,3841,12,312.4,2,5
2022/3/20,3841,14,364.5,2,5
2022/3/21,3841,12,312.4,0,5
2022/3/22,3841,11,286.4,0,5
2022/3/23,3841,11,286.4,1,5
2022/3/24,3841,8,208.3,0,5
2022/3/25,3841,8,208.3,5,5
2022/3/26,3841,9,234.3,2,5
2022/3/27,3841,9,234.3,1,5
2022/3/28,3841,8,208.3,0,5
2022/3/29,3841,15,390.5,7,5
2022/3/30,3841,13,338.5,0,5
2022/3/31,3841,15,390.5,3,5
2022/4/1,3841,14,364.5,2,5
2022/4/2,3841,17,442.6,4,5
2022/4/3,3841,19,494.7,2,5
2022/4/4,3841,18,468.6,2,5
2022/4/5,3841,17,442.6,3,5
2022/4/6,3841,30,781,3,6
2022/4/7,3841,20,520.7,4,6
2022/4/8,3841,22,572.8,4,6
2022/4/9,3841,21,546.7,2,6
2022/4/10,3841,24,624.8,5,6
2022/4/11,3841,24,624.8,4,6
2022/4/12,3841,27,702.9,5,6
2022/4/13,3841,25,650.9,4,6
2022/4/14,3841,29,755,7,6
2022/4/15,3841,31,807.1,7,6
2022/4/16,3841,30,781,3,6
2022/4/17,3841,35,911.2,6,6
2022/4/18,3841,29,755,0,6
2022/4/19,3841,23,598.8,2,6
2022/4/20,3841,21,546.7,6,6
2022/4/21,3841,16,416.6,2,5
2022/4/22,3841,13,338.5,1,5
2022/4/23,3841,23,598.8,12,6
2022/4/24,3841,25,650.9,4,6
2022/4/25,3841,34,885.2,9,6
