date,population,active,rate,new,band
2022/1/1,178739,1080,604.2,219,6
2022/1/2,178739,1240,693.7,155,6
2022/1/3,178739,1188,664.7,146,6
2022/1/4,178739,1188,664.7,168,6
2022/1/5,178739,1103,617.1,146,6
2022/1/6,178739,1108,619.9,220,6
2022/1/7,178739,1080,604.2,219,6
2022/1/8,178739,1125,629.4,207,6
2022/1/9,178739,1121,627.2,153,6
2022/1/10,178739,1157,647.3,170,6
2022/1/11,178739,1134,634.4,150,6
2022/1/12,178739,1110,621,166,6
2022/1/13,178739,1070,598.6,166,6
2022/1/14,178739,1086,607.6,201,6
2022/1/15,178739,1052,588.6,148,5
2022/1/16,178739,1009,564.5,118,5
2022/1/17,178739,1017,569,141,5
2022/1/18,178739,996,557.2,130,5
2022/1/19,178739,1030,576.3,120,5
2022/1/20,178739,892,499.1,138,5
2022/1/21,178739,866,484.5,139,5
2022/1/22,178739,866,495.1,163,5
2022/1/23,178739,885,662.4,197,5
2022/1/24,178739,899,627.7,164,5
2022/1/25,178739,947,734,192,5
2022/1/26,178739,1282,792.2,246,5
2022/1/27,178739,1137,636.1,147,5
2022/1/28,178739,1161,649.6,176,5
2022/1/29,178739,1164,651.2,225,5
2022/1/30,178739,1182,661.3,261,5
2022/1/31,178739,1282,717.2,273,5
2022/2/1,178739,1337,748,251,5
2022/2/2,178739,1360,760.9,199,5
2022/2/3,178739,1382,773.2,182,5
2022/2/4,178739,1431,800.6,223,6
2022/2/5,178739,1240,693.7,155,6
2022/2/6,178739,1188,664.7,146,6
2022/2/7,178739,1188,664.7,168,6
2022/2/8,178739,1103,617.1,146,6
2022/2/9,178739,1108,619.9,220,6
2022/2/10,178739,1080,604.2,219,6
2022/2/11,178739,1125,629.4,207,6
2022/2/12,178739,1121,627.2,153,6
2022/2/13,178739,1157,647.3,170,6
2022/2/14,178739,1134,634.4,150,6
2022/2/15,178739,1110,621,166,6
2022/2/16,178739,1070,598.6,166,6
2022/2/17,178739,1086,607.6,201,6
2022/2/18,178739,1052,588.6,148,6
2022/2/19,178739,1009,564.5,118,6
2022/2/20,178739,1017,569,141,6
2022/2/21,178739,996,557.2,130,6
2022/2/22,178739,1030,576.3,120,6
2022/2/23,178739,892,499.1,138,5
2022/2/24,178739,866,484.5,139,5
2022/2/25,178739,885,495.1,163,5
2022/2/26,178739,899,503,149,6
2022/2/27,178739,947,529.8,153,6
2022/2/28,178739,1006,562.8,174,6
2022/3/1,178739,1041,582.4,199,6
2022/3/2,178739,1091,610.4,191,6
2022/3/3,178739,1144,640,196,6
2022/3/4,178739,1206,674.7,213,6
2022/3/5,178739,1206,674.7,213,6
2022/3/6,178739,1174,656.8,157,6
2022/3/7,178739,1154,645.6,168,6
2022/3/8,178739,1270,710.5,230,6
2022/3/9,178739,1184,662.4,197,6
2022/3/10,178739,1122,627.7,164,6
