date,population,active,rate,new,band
2022/1/1,230238,2542,1104.1,482,7
2022/1/2,230238,2444,1061.5,392,7
2022/1/3,230238,2434,1057.2,325,7
2022/1/4,230238,2432,1056.3,327,7
2022/1/5,230238,2396,1040.7,284,7
2022/1/6,230238,2353,1022,400,7
2022/1/7,230238,2282,991.1,356,7
2022/1/8,230238,2242,973.8,361,7
2022/1/9,230238,2186,949.5,327,7
2022/1/10,230238,2139,929,265,7
2022/1/11,230238,2029,881.3,197,7
2022/1/12,230238,1967,854.3,229,7
2022/1/13,230238,2069,898.6,301,7
2022/1/14,230238,1837,797.9,318,7
2022/1/15,230238,1791,777.9,293,6
2022/1/16,230238,1758,763.6,273,6
2022/1/17,230238,1763,765.7,235,6
2022/1/18,230238,1237,537.3,237,6
2022/1/19,230238,1432,622,186,6
2022/1/20,230238,1908,828.7,315,6
2022/1/21,230238,1249,542.5,165,6
2022/1/22,230238,1320,573.3,212,6
2022/1/23,230238,1355,588.5,256,6
2022/1/24,230238,1351,586.8,307,6
2022/1/25,230238,1444,627.2,313,6
2022/1/26,230238,1591,691,344,6
2022/1/27,230238,1716,745.3,324,6
2022/1/28,230238,1775,770.9,264,6
2022/1/29,230238,1847,802.2,267,6
2022/1/30,230238,2139,929,305,6
2022/1/31,230238,2041,886.5,149,6
2022/2/1,230238,1943,843.9,289,6
2022/2/2,230238,1843,800.5,311,6
2022/2/3,230238,1624,705.4,300,6
2022/2/4,230238,2385,1035.9,472,7
2022/2/5,230238,2639,1146.2,303,7
2022/2/6,230238,2518,1093.7,317,7
2022/2/7,230238,2430,1055.4,339,7
2022/2/8,230238,2386,1036.3,410,7
2022/2/9,230238,2371,1029.8,417,7
2022/2/10,230238,2385,1035.9,472,7
2022/2/11,230238,2444,1061.5,392,7
2022/2/12,230238,2434,1057.2,325,7
2022/2/13,230238,2432,1056.3,327,7
2022/2/14,230238,2396,1040.7,284,7
2022/2/15,230238,2353,1022,400,7
2022/2/16,230238,2282,991.1,356,6
2022/2/17,230238,2242,973.8,361,6
2022/2/18,230238,2186,949.5,327,6
2022/2/19,230238,2139,929,265,6
2022/2/20,230238,2029,881.3,197,6
2022/2/21,230238,1967,854.3,229,6
2022/2/22,230238,2069,898.6,301,6
2022/2/23,230238,1837,797.9,318,6
2022/2/24,230238,1791,777.9,293,6
2022/2/25,230238,1758,763.6,273,6
2022/2/26,230238,1763,765.7,235,6
2022/2/27,230238,1758,763.6,210,6
2022/2/28,230238,1756,762.7,242,6
2022/3/1,230238,1686,732.3,253,6
2022/3/2,230238,1663,722.3,262,6
2022/3/3,230238,1613,700.6,242,6
2022/3/4,230238,1576,684.5,229,6
2022/3/5,230238,1576,684.5,229,6
2022/3/6,230238,1386,602,186,6
2022/3/7,230238,1329,577.2,158,6
2022/3/8,230238,1366,593.3,214,6
2022/3/9,230238,1233,535.5,222,6
2022/3/10,230238,1237,537.3,237,6
2022/3/11,230238,1432,622,186,6
2022/3/12,230238,1908,828.7,315,6
2022/3/13,230238,1249,542.5,165,6
2022/3/14,230238,1320,573.3,212,6
2022/3/15,230238,1355,588.5,256,6
