date,population,active,rate,new,band
2022/1/1,42083,288,684.4,35,6
2022/1/2,42083,338,803.2,59,6
2022/1/3,42083,314,746.1,34,6
2022/1/4,42083,313,743.8,61,6
2022/1/5,42083,298,708.1,31,6
2022/1/6,42083,299,710.5,43,6
2022/1/7,42083,317,753.3,50,6
2022/1/8,42083,296,703.4,47,6
2022/1/9,42083,302,717.6,55,6
2022/1/10,42083,300,712.9,39,6
2022/1/11,42083,277,658.2,27,6
2022/1/12,42083,267,634.5,21,6
2022/1/13,42083,260,617.8,34,6
2022/1/14,42083,288,484.3,35,6
2022/1/15,42083,331,786.5,61,5
2022/1/16,42083,367,872.1,53,5
2022/1/17,42083,320,760.4,45,5
2022/1/18,42083,349,829.3,71,5
2022/1/19,42083,367,872.1,71,5
2022/1/20,42083,373,886.3,83,5
2022/1/21,42083,426,1012.3,94,5
2022/1/22,42083,437,1038.4,70,5
2022/1/23,42083,490,1164.4,81,5
2022/1/24,42083,403,957.6,74,5
2022/1/25,42083,443,1052.7,95,5
2022/1/26,42083,467,1109.7,77,5
2022/1/27,42083,473,1124,61,5
2022/1/28,42083,144,342.2,20,5
2022/1/29,42083,433,342.2,20,5
2022/1/30,42083,411,365.9,18,5
2022/1/31,42083,397,368.3,16,5
2022/2/1,42083,392,337.4,13,5
2022/2/2,42083,376,273.3,18,5
2022/2/3,42083,128,304.2,24,5
2022/2/4,42083,411,976.6,63,6
2022/2/5,42083,413,981.4,52,6
2022/2/6,42083,417,990.9,55,6
2022/2/7,42083,400,950.5,54,6
2022/2/8,42083,421,1000.4,74,7
2022/2/9,42083,433,1028.9,74,7
2022/2/10,42083,411,976.6,63,6
2022/2/11,42083,397,943.4,55,6
2022/2/12,42083,392,931.5,62,6
2022/2/13,42083,376,893.5,39,6
2022/2/14,42083,377,895.8,60,6
2022/2/15,42083,356,845.9,54,6
2022/2/16,42083,334,793.7,44,6
2022/2/17,42083,338,803.2,59,6
2022/2/18,42083,314,746.1,34,6
2022/2/19,42083,313,743.8,61,6
2022/2/20,42083,298,708.1,31,6
2022/2/21,42083,299,710.5,43,6
2022/2/22,42083,317,753.3,50,6
2022/2/23,42083,296,703.4,47,6
2022/2/24,42083,302,717.6,55,6
2022/2/25,42083,300,712.9,39,6
2022/2/26,42083,277,658.2,27,6
2022/2/27,42083,267,634.5,21,6
2022/2/28,42083,260,617.8,34,6
2022/3/1,42083,251,596.4,44,6
2022/3/2,42083,241,572.7,49,6
2022/3/3,42083,249,591.7,51,6
2022/3/4,42083,258,613.1,39,6
2022/3/5,42083,258,613.1,39,6
2022/3/6,42083,263,625,36,6
2022/3/7,42083,267,634.5,40,6
2022/3/8,42083,306,727.1,57,6
2022/3/9,42083,278,660.6,60,6
2022/3/10,42083,270,641.6,45,6
2022/3/11,42083,331,786.5,61,6
2022/3/12,42083,367,872.1,53,6
2022/3/13,42083,320,760.4,45,6
2022/3/14,42083,349,829.3,71,6
2022/3/15,42083,367,872.1,71,6
2022/3/16,42083,373,886.3,83,6
2022/3/17,42083,426,1012.3,94,7
2022/3/18,42083,437,1038.4,70,7
2022/3/19,42083,432,1026.5,45,7
2022/3/20,42083,411,976.6,30,6
2022/3/21,42083,390,926.7,47,6
2022/3/22,42083,367,872.1,53,6
2022/3/23,42083,344,817.4,62,6
2022/3/24,42083,320,760.4,60,6
2022/3/25,42083,301,715.3,37,6
2022/3/26,42083,297,705.7,40,6
2022/3/27,42083,286,679.6,30,6
2022/3/28,42083,289,686.7,42,6
2022/3/29,42083,286,679.6,55,6
2022/3/30,42083,294,698.6,64,6
2022/3/31,42083,298,708.1,62,6
2022/4/1,42083,311,739,53,6
2022/4/2,42083,323,767.5,47,6
2022/4/3,42083,345,819.8,55,6
2022/4/4,42083,353,838.8,47,6
2022/4/5,42083,387,919.6,99,6
2022/4/6,42083,490,1164.4,81,7
2022/4/7,42083,403,957.6,74,6
2022/4/8,42083,443,1052.7,95,7
2022/4/9,42083,467,1109.7,77,7
2022/4/10,42083,473,1124,61,7
2022/4/11,42083,502,1192.9,76,7
2022/4/12,42083,495,1176.2,101,7
2022/4/13,42083,498,1183.4,96,7
2022/4/14,42083,487,1157.2,94,7
2022/4/15,42083,490,1164.4,81,7
2022/4/16,42083,490,1164.4,81,7
2022/4/17,42083,478,1135.9,54,7
2022/4/18,42083,466,1107.3,61,7
2022/4/19,42083,453,1076.4,88,7
2022/4/20,42083,464,1102.6,97,7
2022/4/21,42083,478,1135.9,92,7
2022/4/22,42083,471,1119.2,71,7
2022/4/23,42083,470,1116.8,61,7
2022/4/24,42083,479,1138.2,63,7
2022/4/25,42083,475,1128.7,63,7
2022/4/26,42083,451,1071.7,85,7
2022/4/27,42083,434,1031.3,77,7
2022/4/28,42083,428,1017,84,7
2022/4/29,42083,458,1088.3,95,7
2022/4/30,42083,470,1116.8,74,7
2022/5/1,42083,460,1093.1,57,7
2022/5/2,42083,711,1689.5,159,7
2022/5/3,42083,472,1121.6,89,7
2022/5/4,42083,464,1102.6,90,7
2022/5/5,42083,479,1138.2,94,7
2022/5/6,42083,497,1181,89,7
2022/5/7,42083,510,1211.9,84,7
2022/5/8,42083,530,1259.4,80,7
2022/5/9,42083,589,1399.6,113,7
2022/5/10,42083,594,1411.5,119,7
2022/5/11,42083,688,1634.9,104,7
2022/5/12,42083,711,1689.5,159,7
2022/5/13,42083,671,1594.5,97,7
2022/5/14,42083,750,1782.2,101,7
2022/5/15,42083,739,1756.1,85,7
2022/5/16,42083,497,1181,89,7
2022/5/17,42083,745,1770.3,138,7
2022/5/18,42083,606,1440,72,7
2022/5/19,42083,693,1646.7,87,7
2022/5/20,42083,679,1613.5,106,7
2022/5/21,42083,688,1634.9,104,7
2022/5/22,42083,683,1623,79,7
2022/5/23,42083,671,1594.5,97,7
2022/5/24,42083,750,1782.2,101,7
2022/5/25,42083,628,1492.3,119,7
2022/5/26,42083,497,1181,89,7
2022/5/27,42083,638,1516.1,84,7
2022/5/28,42083,606,1440,72,7
2022/5/29,42083,592,1406.7,64,7
2022/5/30,42083,573,1361.6,75,7
2022/5/31,42083,513,1219,78,7
2022/6/1,42083,481,1143,86,7
2022/6/2,42083,464,1102.6,68,7
2022/6/3,42083,428,1017,45,7
2022/6/4,42083,461,1095.5,62,7
2022/6/5,42083,428,1017,45,7
2022/6/6,42083,341,810.3,87,6
2022/6/7,42083,425,1009.9,101,7
2022/6/8,42083,336,798.4,47,6
2022/6/9,42083,335,796,34,6
2022/6/10,42083,442,1050.3,63,7
2022/6/11,42083,428,1017,61,7
2022/6/12,42083,330,784.2,48,6
2022/6/13,42083,294,698.6,43,6
2022/6/14,42083,273,648.7,40,6
2022/6/15,42083,340,807.9,49,6
2022/6/16,42083,341,810.3,87,6
2022/6/17,42083,342,812.7,65,6
2022/6/18,42083,336,798.4,47,6
2022/6/19,42083,335,796,34,6
2022/6/20,42083,337,800.8,42,6
2022/6/21,42083,342,812.7,52,6
2022/6/22,42083,330,784.2,48,6
2022/6/23,42083,294,698.6,43,6
2022/6/24,42083,273,648.7,40,6
2022/6/25,42083,256,608.3,35,6
2022/6/26,42083,247,586.9,36,6
2022/6/27,42083,241,572.7,30,6
2022/6/28,42083,239,567.9,47,6
2022/6/29,42083,257,610.7,63,6
2022/6/30,42083,269,639.2,59,6
2022/7/1,42083,278,660.6,48,6
2022/7/2,42083,265,629.7,24,6
2022/7/3,42083,277,658.2,49,6
2022/7/4,42083,293,696.2,40,6
2022/7/5,42083,310,736.6,62,6
2022/7/6,42083,329,781.8,77,6
2022/7/7,42083,338,803.2,68,6
2022/7/8,42083,336,798.4,48,6
2022/7/9,42083,363,862.6,59,6
2022/7/10,42083,539,1280.8,113,7
2022/7/11,42083,368,874.5,64,6
2022/7/12,42083,596,1416.2,103,7
2022/7/13,42083,608,1444.8,85,7
2022/7/14,42083,401,952.9,92,6
2022/7/15,42083,418,993.3,71,6
2022/7/16,42083,439,1043.2,71,7
2022/7/17,42083,472,1121.6,79,7
2022/7/18,42083,488,1159.6,77,7
2022/7/19,42083,514,1221.4,93,7
2022/7/20,42083,539,1280.8,113,7
2022/7/21,42083,553,1314.1,111,7
2022/7/22,42083,596,1416.2,103,7
2022/7/23,42083,608,1444.8,85,7
2022/7/24,42083,567,1347.3,53,7
2022/7/25,42083,560,1330.7,71,7
2022/7/26,42083,546,1297.4,88,7
2022/7/27,42083,472,1121.6,79,7
2022/7/28,42083,463,1100.2,65,7
2022/7/29,42083,460,1093.1,87,7
2022/7/30,42083,416,988.5,39,6
2022/7/31,42083,394,936.2,46,6
2022/8/1,42083,379,900.6,48,6
2022/8/2,42083,274,651.1,41,6
2022/8/3,42083,373,886.3,69,6
2022/8/4,42083,364,865,68,6
2022/8/5,42083,354,841.2,58,6
2022/8/6,42083,242,575.1,51,6
2022/8/7,42083,242,575.1,44,6
2022/8/8,42083,340,807.9,42,6
2022/8/9,42083,324,769.9,56,6
2022/8/10,42083,295,701,41,6
2022/8/11,42083,182,432.5,10,5
2022/8/12,42083,274,651.1,41,6
2022/8/13,42083,172,408.7,36,5
2022/8/14,42083,165,392.1,39,5
2022/8/15,42083,244,579.8,22,6
2022/8/16,42083,242,575.1,51,6
2022/8/17,42083,242,575.1,44,6
2022/8/18,42083,148,351.7,9,5
2022/8/19,42083,220,522.8,27,6
2022/8/20,42083,119,282.8,21,5
2022/8/21,42083,182,432.5,10,5
2022/8/22,42083,173,411.1,26,5
2022/8/23,42083,172,408.7,36,5
2022/8/24,42083,165,392.1,39,5
2022/8/25,42083,163,387.3,28,5
2022/8/26,42083,164,389.7,26,5
2022/8/27,42083,106,251.9,22,5
2022/8/28,42083,148,351.7,9,5
2022/8/29,42083,139,330.3,18,5
2022/8/30,42083,119,282.8,21,5
2022/8/31,42083,113,268.5,22,5
2022/9/1,42083,109,259,22,5
2022/9/2,42083,104,247.1,20,5
2022/9/3,42083,104,247.1,16,5
2022/9/4,42083,107,254.3,9,5
2022/9/5,42083,100,237.6,13,5
2022/9/6,42083,96,228.1,24,5
2022/9/7,42083,106,251.9,22,5
2022/9/8,42083,109,259,15,5
2022/9/9,42083,104,247.1,16,5
2022/9/10,42083,104,247.1,16,5
2022/9/11,42083,104,247.1,16,5
2022/9/12,42083,104,247.1,16,5
2022/9/13,42083,104,247.1,16,5
2022/9/14,42083,104,247.1,16,5
2022/9/15,42083,104,247.1,16,5
2022/9/16,42083,89,211.5,17,5
