date,population,active,rate,new,band
2022/1/1,270487,2526,933.9,384,7
2022/1/2,270487,2564,947.9,354,7
2022/1/3,270487,2506,926.5,300,7
2022/1/4,270487,2468,912.4,318,7
2022/1/5,270487,2430,898.4,272,7
2022/1/6,270487,2177,804.8,336,7
2022/1/7,270487,2107,779,344,7
2022/1/8,270487,2149,794.5,357,7
2022/1/9,270487,2108,779.3,308,7
2022/1/10,270487,2099,776,260,7
2022/1/11,270487,1331,492.1,270,7
2022/1/12,270487,1572,581.2,246,7
2022/1/13,270487,1832,677.3,324,7
2022/1/14,270487,1400,517.6,173,7
2022/1/15,270487,1397,516.5,190,6
2022/1/16,270487,1396,516.1,232,6
2022/1/17,270487,1432,529.4,344,6
2022/1/18,270487,1509,557.9,336,6
2022/1/19,270487,1550,573,274,6
2022/1/20,270487,1637,605.2,282,6
2022/1/21,270487,1432,529.4,344,6
2022/1/22,270487,1509,557.9,336,6
2022/1/23,270487,1550,573,274,6
2022/1/24,270487,2099,776,260,6
2022/1/25,270487,1972,729.1,181,6
2022/1/26,270487,1882,695.8,194,6
2022/1/27,270487,2003,740.5,289,6
2022/1/28,270487,1760,650.7,302,6
2022/1/29,270487,1715,634,268,6
2022/1/30,270487,1641,606.7,232,6
2022/1/31,270487,1624,600.4,214,6
2022/2/1,270487,2117,782.7,306,6
2022/2/2,270487,2259,835.2,570,6
2022/2/3,270487,1957,723.5,373,6
2022/2/4,270487,2526,933.9,384,6
2022/2/5,270487,3095,1144.2,384,7
2022/2/6,270487,2914,1077.3,317,7
2022/2/7,270487,2883,1065.9,382,7
2022/2/8,270487,2804,1036.6,476,7
2022/2/9,270487,2690,994.5,476,6
2022/2/10,270487,2526,933.9,384,6
2022/2/11,270487,2564,947.9,354,6
2022/2/12,270487,2506,926.5,300,6
2022/2/13,270487,2468,912.4,318,6
2022/2/14,270487,2430,898.4,272,6
2022/2/15,270487,2177,804.8,336,6
2022/2/16,270487,2107,779,344,6
2022/2/17,270487,2149,794.5,357,6
2022/2/18,270487,2108,779.3,308,6
2022/2/19,270487,2099,776,260,6
2022/2/20,270487,1972,729.1,181,6
2022/2/21,270487,1882,695.8,194,6
2022/2/22,270487,2003,740.5,289,6
2022/2/23,270487,1760,650.7,302,6
2022/2/24,270487,1715,634,268,6
2022/2/25,270487,1641,606.7,232,6
2022/2/26,270487,1624,600.4,214,6
2022/2/27,270487,1603,592.6,165,6
2022/2/28,270487,1531,566,150,6
2022/3/1,270487,1464,541.2,222,6
2022/3/2,270487,1401,518,224,6
2022/3/3,270487,1410,521.3,233,6
2022/3/4,270487,1403,518.7,230,6
2022/3/5,270487,1403,518.7,230,6
2022/3/6,270487,1280,473.2,173,5
2022/3/7,270487,1292,477.7,178,5
2022/3/8,270487,1481,547.5,238,6
2022/3/9,270487,1283,474.3,205,5
2022/3/10,270487,1331,492.1,270,5
2022/3/11,270487,1572,581.2,246,6
2022/3/12,270487,1832,677.3,324,6
2022/3/13,270487,1400,517.6,173,6
2022/3/14,270487,1397,516.5,190,6
2022/3/15,270487,1396,516.1,232,6
2022/3/16,270487,1432,529.4,344,6
2022/3/17,270487,1509,557.9,336,6
2022/3/18,270487,1550,573,274,6
2022/3/19,270487,1637,605.2,282,6
2022/3/20,270487,1667,616.3,229,6
2022/3/21,270487,1750,647,280,6
2022/3/22,270487,1832,677.3,324,6
2022/3/23,270487,1720,635.9,266,6
2022/3/24,270487,1727,638.5,313,6
2022/3/25,270487,1733,640.7,295,6
2022/3/26,270487,1691,625.2,231,6
2022/3/27,270487,1679,620.7,220,6
2022/3/28,270487,1692,625.5,275,6
2022/3/29,270487,1812,669.9,391,6
2022/3/30,270487,1962,725.4,459,6
2022/3/31,270487,2050,757.9,391,6
2022/4/1,270487,2149,794.5,366,6
2022/4/2,270487,2211,817.4,314,6
2022/4/3,270487,2199,813,263,6
2022/4/4,270487,2219,820.4,361,6
2022/4/5,270487,2165,800.4,398,6
2022/4/6,270487,2115,781.9,333,6
2022/4/7,270487,2116,782.3,459,6
2022/4/8,270487,2143,792.3,381,6
2022/4/9,270487,2157,797.5,337,6
2022/4/10,270487,2294,848.1,377,6
2022/4/11,270487,2362,873.2,383,6
2022/4/12,270487,2333,862.5,434,6
2022/4/13,270487,2324,859.2,397,6
2022/4/14,270487,2148,794.1,274,6
2022/4/15,270487,2154,796.3,394,6
2022/4/16,270487,2115,781.9,333,6
2022/4/17,270487,2112,780.8,317,6
2022/4/18,270487,1966,726.8,290,6
2022/4/19,270487,1938,716.5,351,6
2022/4/20,270487,2037,753.1,434,6
2022/4/21,270487,2035,752.3,367,6
2022/4/22,270487,2051,758.3,348,6
2022/4/23,270487,2078,768.2,328,6
2022/4/24,270487,1987,734.6,210,6
2022/4/25,270487,1925,711.7,243,6
2022/4/26,270487,1911,706.5,331,6
2022/4/27,270487,2084,770.5,601,6
2022/4/28,270487,2066,763.8,385,6
2022/4/29,270487,2143,792.3,415,6
2022/4/30,270487,2160,798.6,337,6
2022/5/1,270487,2194,811.1,318,6
2022/5/2,270487,2860,1057.4,612,7
2022/5/3,270487,2303,851.4,427,6
2022/5/4,270487,2307,852.9,458,6
2022/5/5,270487,2346,867.3,426,6
2022/5/6,270487,2365,874.3,374,6
2022/5/7,270487,2333,862.5,326,6
2022/5/8,270487,2386,882.1,371,6
2022/5/9,270487,2456,908,417,6
2022/5/10,270487,2529,935,525,6
2022/5/11,270487,3473,1284,511,7
2022/5/12,270487,2860,1057.4,612,7
2022/5/13,270487,3270,1208.9,411,7
2022/5/14,270487,3166,1170.5,495,7
2022/5/15,270487,3261,1205.6,454,7
2022/5/16,270487,2365,874.3,374,6
2022/5/17,270487,3487,1289.2,705,7
2022/5/18,270487,2774,1025.6,361,7
2022/5/19,270487,3442,1272.5,518,7
2022/5/20,270487,3449,1275.1,578,7
2022/5/21,270487,3473,1284,511,7
2022/5/22,270487,3396,1255.5,415,7
2022/5/23,270487,3270,1208.9,411,7
2022/5/24,270487,3166,1170.5,495,7
2022/5/25,270487,2994,1106.9,510,7
2022/5/26,270487,2365,874.3,374,6
2022/5/27,270487,2882,1065.5,468,7
2022/5/28,270487,2774,1025.6,361,7
2022/5/29,270487,2669,986.7,303,6
2022/5/30,270487,2499,923.9,304,6
2022/5/31,270487,2336,863.6,407,6
2022/6/1,270487,2328,860.7,453,6
2022/6/2,270487,2293,847.7,435,6
2022/6/3,270487,2177,804.8,289,6
2022/6/4,270487,2265,837.4,328,6
2022/6/5,270487,2177,804.8,289,6
2022/6/6,270487,1625,600.8,291,6
