date,population,active,rate,new,band
2022/1/1,159462,1023,641.5,130,6
2022/1/2,159462,1075,674.1,154,6
2022/1/3,159462,958,600.8,174,6
2022/1/4,159462,944,592,160,6
2022/1/5,159462,1094,686.1,148,6
2022/1/6,159462,1319,827.2,229,6
2022/1/7,159462,938,588.2,129,6
2022/1/8,159462,976,612.1,147,6
2022/1/9,159462,998,625.9,209,6
2022/1/10,159462,1408,883,195,6
2022/1/11,159462,1324,830.3,173,6
2022/1/12,159462,1303,817.1,187,6
2022/1/13,159462,1283,804.6,209,6
2022/1/14,159462,1258,788.9,257,6
2022/1/15,159462,1242,778.9,264,6
2022/1/16,159462,1307,819.6,267,6
2022/1/17,159462,1162,795.2,170,6
2022/1/18,159462,1162,726.8,164,6
2022/1/19,159462,1049,723.7,205,6
2022/1/20,159462,1023,708.6,192,6
2022/1/21,159462,1075,728.7,193,6
2022/1/22,159462,958,728.7,193,6
2022/1/23,159462,944,657.8,108,6
2022/1/24,159462,1094,641.5,130,6
2022/1/25,159462,1319,674.1,154,6
2022/1/26,159462,938,600.8,174,6
2022/1/27,159462,1260,790.2,178,6
2022/1/28,159462,1301,815.9,190,6
2022/1/29,159462,1319,827.2,229,6
2022/1/30,159462,1332,835.3,274,6
2022/1/31,159462,1297,813.4,211,5
2022/2/1,159462,1319,827.2,211,5
2022/2/2,159462,806,505.4,229,6
2022/2/3,159462,658,412.6,152,5
2022/2/4,159462,1498,939.4,287,6
2022/2/5,159462,1563,980.2,194,6
2022/2/6,159462,1581,991.5,224,6
2022/2/7,159462,1592,998.4,238,6
2022/2/8,159462,1539,965.1,253,6
2022/2/9,159462,1510,946.9,256,6
2022/2/10,159462,1498,939.4,287,6
2022/2/11,159462,1540,965.7,260,6
2022/2/12,159462,1574,987.1,223,6
2022/2/13,159462,1612,1010.9,231,7
2022/2/14,159462,1588,995.8,232,6
2022/2/15,159462,1544,968.3,244,6
2022/2/16,159462,1561,978.9,274,6
2022/2/17,159462,1527,957.6,239,6
2022/2/18,159462,1509,946.3,213,6
2022/2/19,159462,1504,943.2,195,6
2022/2/20,159462,1474,924.4,174,6
2022/2/21,159462,1427,894.9,185,6
2022/2/22,159462,1508,945.7,243,6
2022/2/23,159462,1315,824.6,209,6
2022/2/24,159462,1309,820.9,216,6
2022/2/25,159462,1295,812.1,189,6
2022/2/26,159462,1267,794.5,153,6
2022/2/27,159462,1275,799.6,176,6
2022/2/28,159462,1268,795.2,170,6
2022/3/1,159462,1159,726.8,164,6
2022/3/2,159462,1154,723.7,205,6
2022/3/3,159462,1130,708.6,192,6
2022/3/4,159462,1162,728.7,193,6
2022/3/5,159462,1162,728.7,193,6
2022/3/6,159462,1049,657.8,108,6
2022/3/7,159462,1023,641.5,130,6
2022/3/8,159462,1075,674.1,154,6
2022/3/9,159462,958,600.8,174,6
2022/3/10,159462,944,592,160,6
2022/3/11,159462,1094,686.1,148,6
2022/3/12,159462,1319,827.2,229,6
2022/3/13,159462,938,588.2,129,6
2022/3/14,159462,976,612.1,147,6
2022/3/15,159462,998,625.9,209,6
2022/3/16,159462,1041,652.8,214,6
2022/3/17,159462,1148,719.9,252,6
2022/3/18,159462,1197,750.6,219,6
2022/3/19,159462,1219,764.4,174,6
2022/3/20,159462,1260,790.2,178,6
2022/3/21,159462,1301,815.9,190,6
2022/3/22,159462,1319,827.2,229,6
2022/3/23,159462,1332,835.3,274,6
2022/3/24,159462,1297,813.4,211,6
2022/3/25,159462,1319,827.2,211,6
2022/3/26,159462,1363,854.7,216,6
2022/3/27,159462,1379,864.8,190,6
2022/3/28,159462,1387,869.8,237,6
2022/3/29,159462,1415,887.4,292,6
2022/3/30,159462,1477,926.2,299,6
2022/3/31,159462,1533,961.4,283,6
2022/4/1,159462,1566,982.1,239,6
2022/4/2,159462,1568,983.3,219,6
2022/4/3,159462,1627,1020.3,241,7
2022/4/4,159462,1642,1029.7,262,7
2022/4/5,159462,1623,1017.8,302,7
2022/4/6,159462,1596,1000.9,267,7
2022/4/7,159462,1692,1061.1,315,7
2022/4/8,159462,1777,1114.4,340,7
2022/4/9,159462,1803,1130.7,271,7
2022/4/10,159462,1815,1138.2,231,7
2022/4/11,159462,1795,1125.7,278,7
2022/4/12,159462,1755,1100.6,299,7
2022/4/13,159462,1701,1066.7,261,7
2022/4/14,159462,1659,1040.4,297,7
2022/4/15,159462,1593,999,243,6
2022/4/16,159462,1596,1000.9,267,7
2022/4/17,159462,1594,999.6,237,6
2022/4/18,159462,1554,974.5,245,6
2022/4/19,159462,1457,913.7,218,6
2022/4/20,159462,1431,897.4,250,6
2022/4/21,159462,1490,934.4,322,6
2022/4/22,159462,1433,898.6,209,6
2022/4/23,159462,1408,883,195,6
2022/4/24,159462,1324,830.3,173,6
2022/4/25,159462,1303,817.1,187,6
2022/4/26,159462,1283,804.6,209,6
2022/4/27,159462,1258,788.9,257,6
2022/4/28,159462,1242,778.9,264,6
2022/4/29,159462,1307,819.6,267,6
2022/4/30,159462,1356,850.4,221,6
2022/5/1,159462,1368,857.9,191,6
2022/5/2,159462,1717,1076.7,336,7
2022/5/3,159462,1359,852.2,193,6
2022/5/4,159462,1341,841,269,6
2022/5/5,159462,1373,861,278,6
2022/5/6,159462,1387,869.8,267,6
2022/5/7,159462,1434,899.3,231,6
2022/5/8,159462,1471,922.5,221,6
2022/5/9,159462,1533,961.4,234,6
2022/5/10,159462,1599,1002.7,322,7
2022/5/11,159462,1891,1185.9,303,7
2022/5/12,159462,1717,1076.7,336,7
2022/5/13,159462,1830,1147.6,216,7
2022/5/14,159462,1835,1150.7,275,7
2022/5/15,159462,1885,1182.1,261,7
2022/5/16,159462,1387,869.8,267,6
2022/5/17,159462,1866,1170.2,322,7
2022/5/18,159462,1676,1051,215,7
2022/5/19,159462,1856,1163.9,337,7
2022/5/20,159462,1865,1169.6,334,7
2022/5/21,159462,1891,1185.9,303,7
2022/5/22,159462,1862,1167.7,240,7
2022/5/23,159462,1830,1147.6,216,7
2022/5/24,159462,1835,1150.7,275,7
2022/5/25,159462,1787,1120.6,354,7
2022/5/26,159462,1387,869.8,267,6
2022/5/27,159462,1762,1105,304,7
2022/5/28,159462,1676,1051,215,7
2022/5/29,159462,1614,1012.2,177,7
2022/5/30,159462,1591,997.7,226,6
2022/5/31,159462,1488,933.1,257,6
2022/6/1,159462,1465,918.7,252,6
2022/6/2,159462,1453,911.2,243,6
2022/6/3,159462,1439,902.4,178,6
2022/6/4,159462,1457,913.7,218,6
2022/6/5,159462,1439,902.4,178,6
2022/6/6,159462,1091,684.2,199,6
2022/6/7,159462,1370,859.1,239,6
2022/6/8,159462,1082,678.5,152,6
2022/6/9,159462,1091,684.2,152,6
2022/6/10,159462,1320,827.8,210,6
2022/6/11,159462,1260,790.2,169,6
2022/6/12,159462,1068,669.8,192,6
2022/6/13,159462,1063,666.6,197,6
2022/6/14,159462,1082,678.5,202,6
2022/6/15,159462,1098,688.6,288,6
2022/6/16,159462,1091,684.2,199,6
2022/6/17,159462,1102,691.1,212,6
2022/6/18,159462,1082,678.5,152,6
2022/6/19,159462,1091,684.2,152,6
2022/6/20,159462,1084,679.8,149,6
2022/6/21,159462,1102,691.1,202,6
2022/6/22,159462,1068,669.8,192,6
2022/6/23,159462,1063,666.6,197,6
2022/6/24,159462,1082,678.5,202,6
2022/6/25,159462,1101,690.4,180,6
2022/6/26,159462,1157,725.6,181,6
2022/6/27,159462,1161,728.1,170,6
2022/6/28,159462,1169,733.1,216,6
2022/6/29,159462,1233,773.2,259,6
2022/6/30,159462,1291,809.6,268,6
2022/7/1,159462,1310,821.5,239,6
2022/7/2,159462,1324,830.3,184,6
2022/7/3,159462,1364,855.4,221,6
2022/7/4,159462,1385,868.5,218,6
2022/7/5,159462,1423,892.4,252,6
2022/7/6,159462,1446,906.8,274,6
2022/7/7,159462,1451,909.9,286,6
2022/7/8,159462,1498,939.4,283,6
2022/7/9,159462,1533,961.4,233,6
2022/7/10,159462,1726,1082.4,362,7
2022/7/11,159462,1602,1004.6,263,7
2022/7/12,159462,1836,1151.4,313,7
2022/7/13,159462,1843,1155.8,254,7
2022/7/14,159462,1688,1058.6,321,7
2022/7/15,159462,1653,1036.6,213,7
2022/7/16,159462,1659,1040.4,254,7
2022/7/17,159462,1666,1044.8,257,7
2022/7/18,159462,1671,1047.9,274,7
2022/7/19,159462,1661,1041.6,299,7
2022/7/20,159462,1726,1082.4,362,7
2022/7/21,159462,1779,1115.6,342,7
2022/7/22,159462,1836,1151.4,313,7
2022/7/23,159462,1843,1155.8,254,7
2022/7/24,159462,1830,1147.6,235,7
2022/7/25,159462,1805,1131.9,247,7
2022/7/26,159462,1738,1089.9,293,7
2022/7/27,159462,1666,1044.8,257,7
2022/7/28,159462,1676,1051,264,7
2022/7/29,159462,1665,1044.1,283,7
2022/7/30,159462,1636,1025.9,223,7
2022/7/31,159462,1584,993.3,173,6
2022/8/1,159462,1476,925.6,172,6
2022/8/2,159462,772,484.1,116,5
2022/8/3,159462,1349,846,223,6
2022/8/4,159462,1294,811.5,232,6
2022/8/5,159462,1224,767.6,164,6
2022/8/6,159462,622,390.1,104,5
2022/8/7,159462,600,376.3,100,5
2022/8/8,159462,1055,661.6,142,6
2022/8/9,159462,958,600.8,147,6
2022/8/10,159462,876,549.3,133,6
2022/8/11,159462,463,290.4,37,5
2022/8/12,159462,772,484.1,116,5
2022/8/13,159462,425,266.5,69,5
2022/8/14,159462,396,248.3,72,5
2022/8/15,159462,662,415.1,81,5
2022/8/16,159462,622,390.1,104,5
2022/8/17,159462,600,376.3,100,5
2022/8/18,159462,459,287.8,53,5
2022/8/19,159462,545,341.8,83,5
2022/8/20,159462,479,300.4,84,5
2022/8/21,159462,463,290.4,37,5
2022/8/22,159462,453,284.1,76,5
2022/8/23,159462,425,266.5,69,5
2022/8/24,159462,396,248.3,72,5
2022/8/25,159462,421,264,101,5
2022/8/26,159462,440,275.9,82,5
2022/8/27,159462,266,166.8,40,4
2022/8/28,159462,459,287.8,53,5
2022/8/29,159462,452,283.5,65,5
2022/8/30,159462,479,300.4,84,5
2022/8/31,159462,423,265.3,70,5
2022/9/1,159462,409,256.5,71,5
2022/9/2,159462,408,255.9,70,5
2022/9/3,159462,218,136.7,41,4
2022/9/4,159462,365,228.9,24,5
2022/9/5,159462,328,205.7,34,5
2022/9/6,159462,291,182.5,51,4
2022/9/7,159462,266,166.8,40,4
2022/9/8,159462,242,151.8,34,4
2022/9/9,159462,218,136.7,41,4
2022/9/10,159462,218,136.7,41,4
2022/9/11,159462,218,136.7,41,4
2022/9/12,159462,218,136.7,41,4
2022/9/13,159462,218,136.7,41,4
2022/9/14,159462,218,136.7,41,4
2022/9/15,159462,218,136.7,41,4
2022/9/16,159462,231,144.9,38,4
