date,population,active,rate,new,band
2022/1/1,101495,462,455.2,63,7
2022/1/2,101495,501,493.6,79,7
2022/1/3,101495,438,431.5,75,7
2022/1/4,101495,428,421.7,68,7
2022/1/5,101495,423,416.8,70,7
2022/1/6,101495,433,426.6,61,7
2022/1/7,101495,426,419.7,53,7
2022/1/8,101495,428,421.7,58,7
2022/1/9,101495,417,410.9,73,7
2022/1/10,101495,447,440.4,102,7
2022/1/11,101495,508,500.5,126,7
2022/1/12,101495,544,536,91,7
2022/1/13,101495,544,536,91,7
2022/1/14,101495,555,546.8,76,7
2022/1/15,101495,553,544.9,53,5
2022/1/16,101495,607,598.1,106,5
2022/1/17,101495,557,548.8,116,5
2022/1/18,101495,590,581.3,138,5
2022/1/19,101495,708,697.6,126,5
2022/1/20,101495,981,966.6,156,5
2022/1/21,101495,978,963.6,223,5
2022/1/22,101495,994,979.4,212,5
2022/1/23,101495,1013,998.1,187,5
2022/1/24,101495,1038,1022.7,175,5
2022/1/25,101495,1038,1022.7,114,5
2022/1/26,101495,1017,1002,127,5
2022/1/27,101495,550,541.9,84,5
2022/1/28,101495,515,507.4,52,5
2022/1/29,101495,385,379.3,61,5
2022/1/30,101495,387,381.3,50,5
2022/1/31,101495,369,363.6,30,5
2022/2/1,101495,371,365.5,68,5
2022/2/2,101495,365,359.6,105,5
2022/2/3,101495,283,278.8,68,5
2022/2/4,101495,561,552.7,84,6
2022/2/5,101495,719,708.4,108,6
2022/2/6,101495,672,662.1,63,6
2022/2/7,101495,648,638.5,74,6
2022/2/8,101495,637,627.6,98,6
2022/2/9,101495,599,590.2,94,6
2022/2/10,101495,561,552.7,84,6
2022/2/11,101495,550,541.9,84,6
2022/2/12,101495,515,507.4,52,6
2022/2/13,101495,503,495.6,82,5
2022/2/14,101495,476,469,45,5
2022/2/15,101495,444,437.5,76,5
2022/2/16,101495,426,419.7,68,5
2022/2/17,101495,434,427.6,86,5
2022/2/18,101495,451,444.4,77,5
2022/2/19,101495,449,442.4,66,5
2022/2/20,101495,444,437.5,46,5
2022/2/21,101495,462,455.2,63,5
2022/2/22,101495,501,493.6,79,5
2022/2/23,101495,438,431.5,75,5
2022/2/24,101495,428,421.7,68,5
2022/2/25,101495,423,416.8,70,5
2022/2/26,101495,433,426.6,61,5
2022/2/27,101495,426,419.7,53,5
2022/2/28,101495,428,421.7,58,5
2022/3/1,101495,417,410.9,73,5
2022/3/2,101495,447,440.4,102,5
2022/3/3,101495,508,500.5,126,6
2022/3/4,101495,544,536,91,6
2022/3/5,101495,544,536,91,6
2022/3/6,101495,555,546.8,76,6
2022/3/7,101495,553,544.9,53,6
2022/3/8,101495,607,598.1,106,6
2022/3/9,101495,557,548.8,116,6
2022/3/10,101495,590,581.3,138,6
2022/3/11,101495,708,697.6,126,6
2022/3/12,101495,1065,1049.3,187,7
2022/3/13,101495,628,618.7,74,6
2022/3/14,101495,648,638.5,86,6
2022/3/15,101495,669,659.1,132,6
2022/3/16,101495,736,725.2,178,6
2022/3/17,101495,800,788.2,206,6
2022/3/18,101495,889,875.9,195,6
2022/3/19,101495,973,958.7,164,6
2022/3/20,101495,1025,1009.9,135,7
2022/3/21,101495,1050,1034.5,133,7
2022/3/22,101495,1065,1049.3,187,7
2022/3/23,101495,1128,1111.4,258,7
2022/3/24,101495,1162,1144.9,243,7
2022/3/25,101495,1198,1180.4,208,7
2022/3/26,101495,1190,1172.5,154,7
2022/3/27,101495,1195,1177.4,136,7
2022/3/28,101495,1175,1157.7,139,7
2022/3/29,101495,1122,1105.5,182,7
2022/3/30,101495,1060,1044.4,201,7
2022/3/31,101495,1057,1041.4,224,7
2022/4/1,101495,1061,1045.4,187,7
2022/4/2,101495,1085,1069,165,7
2022/4/3,101495,1087,1071,131,7
2022/4/4,101495,1089,1073,142,7
2022/4/5,101495,1072,1056.2,181,7
2022/4/6,101495,1038,1022.7,175,7
2022/4/7,101495,1015,1000,211,7
2022/4/8,101495,1026,1010.9,170,7
2022/4/9,101495,994,979.4,121,6
2022/4/10,101495,1020,1005,142,7
