date,population,active,rate,new,band
2022/1/1,6639,52,783.3,10,3
2022/1/2,6639,42,632.6,3,3
2022/1/3,6639,43,647.7,6,3
2022/1/4,6639,36,542.3,3,3
2022/1/5,6639,42,632.6,10,3
2022/1/6,6639,34,512.1,2,3
2022/1/7,6639,30,451.9,4,3
2022/1/8,6639,33,497.1,7,3
2022/1/9,6639,34,512.1,6,3
2022/1/10,6639,34,512.1,6,3
2022/1/11,6639,38,572.4,5,3
2022/1/12,6639,47,707.9,9,3
2022/1/13,6639,47,707.9,8,3
2022/1/14,6639,45,677.8,6,3
2022/1/15,6639,46,692.9,6,5
2022/1/16,6639,49,738.1,11,5
2022/1/17,6639,43,647.7,4,5
2022/1/18,6639,42,632.6,7,5
2022/1/19,6639,41,617.6,7,5
2022/1/20,6639,37,557.3,5,5
2022/1/21,6639,33,497.1,0,5
2022/1/22,6639,34,512.1,5,5
2022/1/23,6639,29,436.8,4,5
2022/1/24,6639,26,391.6,6,5
2022/1/25,6639,24,361.5,3,5
2022/1/26,6639,24,361.5,3,5
2022/1/27,6639,44,662.8,7,5
2022/1/28,6639,47,707.9,9,5
2022/1/29,6639,47,707.9,8,5
2022/1/30,6639,45,677.8,6,5
2022/1/31,6639,46,692.9,6,5
2022/2/1,6639,49,738.1,11,5
2022/2/2,6639,43,647.7,4,5
2022/2/3,6639,22,331.4,2,5
2022/2/4,6639,58,873.6,14,6
2022/2/5,6639,58,873.6,4,6
2022/2/6,6639,57,858.6,5,6
2022/2/7,6639,52,783.3,5,6
2022/2/8,6639,57,858.6,14,6
2022/2/9,6639,59,888.7,13,6
2022/2/10,6639,58,873.6,14,6
2022/2/11,6639,63,948.9,11,6
2022/2/12,6639,67,1009.2,13,7
2022/2/13,6639,75,1129.7,9,7
2022/2/14,6639,74,1114.6,4,7
2022/2/15,6639,73,1099.6,15,7
2022/2/16,6639,78,1174.9,15,7
2022/2/17,6639,71,1069.4,8,7
2022/2/18,6639,65,979.1,6,6
2022/2/19,6639,61,918.8,6,6
2022/2/20,6639,53,798.3,3,6
2022/2/21,6639,53,798.3,9,6
2022/2/22,6639,45,677.8,4,6
2022/2/23,6639,38,572.4,6,6
2022/2/24,6639,42,632.6,12,6
2022/2/25,6639,35,527.2,3,6
2022/2/26,6639,37,557.3,8,6
2022/2/27,6639,39,587.4,4,6
2022/2/28,6639,33,497.1,0,5
2022/3/1,6639,34,512.1,5,6
2022/3/2,6639,29,436.8,4,5
2022/3/3,6639,26,391.6,6,5
2022/3/4,6639,24,361.5,3,5
2022/3/5,6639,24,361.5,3,5
2022/3/6,6639,24,361.5,0,5
2022/3/7,6639,24,361.5,2,5
2022/3/8,6639,33,497.1,9,5
2022/3/9,6639,27,406.7,5,5
2022/3/10,6639,34,512.1,11,6
2022/3/11,6639,42,632.6,9,6
2022/3/12,6639,52,783.3,10,6
2022/3/13,6639,46,692.9,2,6
2022/3/14,6639,47,707.9,3,6
2022/3/15,6639,42,632.6,4,6
2022/3/16,6639,50,753.1,15,6
2022/3/17,6639,45,677.8,9,6
2022/3/18,6639,49,738.1,8,6
2022/3/19,6639,43,647.7,5,6
2022/3/20,6639,47,707.9,7,6
2022/3/21,6639,49,738.1,7,6
2022/3/22,6639,52,783.3,10,6
2022/3/23,6639,43,647.7,7,6
2022/3/24,6639,52,783.3,10,6
2022/3/25,6639,42,632.6,3,6
2022/3/26,6639,43,647.7,6,6
2022/3/27,6639,36,542.3,3,6
2022/3/28,6639,42,632.6,10,6
2022/3/29,6639,34,512.1,2,6
2022/3/30,6639,30,451.9,4,5
2022/3/31,6639,33,497.1,7,5
2022/4/1,6639,34,512.1,6,6
2022/4/2,6639,34,512.1,6,6
2022/4/3,6639,38,572.4,5,6
2022/4/4,6639,34,512.1,8,6
2022/4/5,6639,35,527.2,6,6
2022/4/6,6639,43,647.7,4,6
2022/4/7,6639,37,557.3,5,6
2022/4/8,6639,40,602.5,7,6
2022/4/9,6639,42,632.6,6,6
2022/4/10,6639,44,662.8,7,6
2022/4/11,6639,47,707.9,9,6
2022/4/12,6639,47,707.9,8,6
2022/4/13,6639,45,677.8,6,6
2022/4/14,6639,46,692.9,6,6
2022/4/15,6639,49,738.1,11,6
2022/4/16,6639,43,647.7,4,6
2022/4/17,6639,42,632.6,7,6
2022/4/18,6639,41,617.6,7,6
2022/4/19,6639,37,557.3,5,6
2022/4/20,6639,37,557.3,5,6
2022/4/21,6639,40,602.5,9,6
2022/4/22,6639,35,527.2,4,6
2022/4/23,6639,33,497.1,4,5
2022/4/24,6639,37,557.3,9,6
2022/4/25,6639,38,572.4,5,6
2022/4/26,6639,44,662.8,11,6
2022/4/27,6639,42,632.6,8,6
2022/4/28,6639,39,587.4,6,6
2022/4/29,6639,41,617.6,8,6
2022/4/30,6639,36,542.3,3,6
2022/5/1,6639,34,512.1,2,6
2022/5/2,6639,37,557.3,7,6
2022/5/3,6639,40,602.5,8,6
2022/5/4,6639,39,587.4,6,6
2022/5/5,6639,38,572.4,10,6
2022/5/6,6639,38,572.4,2,6
2022/5/7,6639,39,587.4,4,6
2022/5/8,6639,37,557.3,3,6
2022/5/9,6639,36,542.3,7,6
2022/5/10,6639,35,527.2,8,6
2022/5/11,6639,67,1009.2,16,7
2022/5/12,6639,37,557.3,7,6
2022/5/13,6639,71,1069.4,10,7
2022/5/14,6639,43,647.7,9,6
2022/5/15,6639,43,647.7,6,6
2022/5/16,6639,38,572.4,2,6
2022/5/17,6639,47,707.9,12,6
2022/5/18,6639,60,903.8,10,6
2022/5/19,6639,58,873.6,22,6
2022/5/20,6639,62,933.9,8,6
2022/5/21,6639,67,1009.2,16,7
2022/5/22,6639,68,1024.3,10,7
2022/5/23,6639,71,1069.4,10,7
2022/5/24,6639,43,647.7,9,6
2022/5/25,6639,77,1159.8,9,7
2022/5/26,6639,38,572.4,2,6
2022/5/27,6639,65,979.1,11,6
2022/5/28,6639,60,903.8,10,6
2022/5/29,6639,60,903.8,12,6
2022/5/30,6639,60,903.8,12,6
2022/5/31,6639,55,828.4,7,6
2022/6/1,6639,59,888.7,13,6
2022/6/2,6639,56,843.5,7,6
2022/6/3,6639,62,933.9,13,6
2022/6/4,6639,62,933.9,16,6
2022/6/5,6639,62,933.9,13,6
2022/6/6,6639,39,587.4,7,6
2022/6/7,6639,69,1039.3,17,7
2022/6/8,6639,37,557.3,6,6
2022/6/9,6639,39,587.4,6,6
2022/6/10,6639,100,1506.3,19,7
2022/6/11,6639,97,1461.1,6,7
2022/6/12,6639,42,632.6,9,6
2022/6/13,6639,46,692.9,10,6
2022/6/14,6639,43,647.7,6,6
2022/6/15,6639,51,768.2,6,6
2022/6/16,6639,39,587.4,7,6
2022/6/17,6639,33,497.1,7,5
2022/6/18,6639,37,557.3,6,6
2022/6/19,6639,39,587.4,6,6
2022/6/20,6639,40,602.5,5,6
2022/6/21,6639,42,632.6,9,6
2022/6/22,6639,42,632.6,9,6
2022/6/23,6639,46,692.9,10,6
2022/6/24,6639,43,647.7,6,6
2022/6/25,6639,46,692.9,7,6
2022/6/26,6639,43,647.7,2,6
2022/6/27,6639,36,542.3,0,6
2022/6/28,6639,35,527.2,9,6
2022/6/29,6639,37,557.3,11,6
2022/6/30,6639,32,482,8,5
2022/7/1,6639,33,497.1,9,5
2022/7/2,6639,29,436.8,1,5
2022/7/3,6639,37,557.3,10,6
2022/7/4,6639,45,677.8,10,6
2022/7/5,6639,42,632.6,3,6
2022/7/6,6639,43,647.7,6,6
2022/7/7,6639,43,647.7,10,6
2022/7/8,6639,45,677.8,10,6
2022/7/9,6639,47,707.9,6,6
2022/7/10,6639,62,933.9,16,6
2022/7/11,6639,42,632.6,3,6
2022/7/12,6639,68,1024.3,11,7
2022/7/13,6639,94,1415.9,34,7
2022/7/14,6639,53,798.3,12,6
2022/7/15,6639,49,738.1,4,6
2022/7/16,6639,48,723,6,6
2022/7/17,6639,47,707.9,9,6
2022/7/18,6639,54,813.4,8,6
2022/7/19,6639,52,783.3,9,6
2022/7/20,6639,62,933.9,16,6
2022/7/21,6639,63,948.9,12,6
2022/7/22,6639,68,1024.3,11,7
2022/7/23,6639,94,1415.9,34,7
2022/7/24,6639,98,1476.1,11,7
2022/7/25,6639,109,1641.8,20,7
2022/7/26,6639,117,1762.3,24,7
2022/7/27,6639,47,707.9,9,6
2022/7/28,6639,120,1807.5,12,7
2022/7/29,6639,109,1641.8,20,7
2022/7/30,6639,101,1521.3,8,7
2022/7/31,6639,102,1536.4,11,7
2022/8/1,6639,81,1220.1,8,7
2022/8/2,6639,21,316.3,3,5
2022/8/3,6639,67,1009.2,10,7
2022/8/4,6639,72,1084.5,15,7
2022/8/5,6639,64,964,7,6
2022/8/6,6639,13,195.8,4,4
2022/8/7,6639,16,241,5,5
2022/8/8,6639,41,617.6,2,6
2022/8/9,6639,40,602.5,5,6
2022/8/10,6639,31,466.9,3,5
2022/8/11,6639,23,346.4,1,5
2022/8/12,6639,21,316.3,3,5
2022/8/13,6639,19,286.2,2,5
2022/8/14,6639,20,301.3,4,5
2022/8/15,6639,14,210.9,1,5
2022/8/16,6639,13,195.8,4,4
2022/8/17,6639,16,241,5,5
2022/8/18,6639,14,210.9,4,5
2022/8/19,6639,26,391.6,8,5
2022/8/20,6639,11,165.7,1,4
2022/8/21,6639,23,346.4,1,5
2022/8/22,6639,22,331.4,3,5
2022/8/23,6639,19,286.2,2,5
2022/8/24,6639,20,301.3,4,5
2022/8/25,6639,15,225.9,1,5
2022/8/26,6639,11,165.7,1,4
2022/8/27,6639,9,135.6,0,4
2022/8/28,6639,14,210.9,4,5
2022/8/29,6639,13,195.8,1,4
2022/8/30,6639,11,165.7,1,4
2022/8/31,6639,10,150.6,1,4
2022/9/1,6639,12,180.8,3,4
2022/9/2,6639,13,195.8,3,4
2022/9/3,6639,6,90.4,1,3
2022/9/4,6639,9,135.6,1,4
2022/9/5,6639,11,165.7,3,4
2022/9/6,6639,11,165.7,2,4
2022/9/7,6639,9,135.6,0,4
2022/9/8,6639,6,90.4,1,3
2022/9/9,6639,6,90.4,1,3
2022/9/10,6639,6,90.4,1,3
2022/9/11,6639,6,90.4,1,3
2022/9/12,6639,6,90.4,1,3
2022/9/13,6639,6,90.4,1,3
2022/9/14,6639,6,90.4,1,3
2022/9/15,6639,6,90.4,1,3
2022/9/16,6639,7,105.4,2,4
