region,Type 2 diabete ratio (%),"Two, or more, chronic diseases ration (%)",Chronic heart disease ratio (%),Obesity rate (%),Prevalence of respiratory system diseases (%),Asthma (ever diagnosed) ratio (%),Daily smoker (%),Vaccines 1 (%),Vaccines 2 (%),Vaccines 3 (%),Ratio of Employed people for Hospitals,Median weekly household income (AUD),Median age,,,,
Alpine,4,22,6,22.5,12.3,18,17,95,95,78,5.5,"1,340",49,,,,
Ararat,4,34,8,24,13.5,34,17,95,95,80.3,6.9,"1,252",46,,,,
Ballarat,4,27,8,23.5,11.8,24,13,95,95,80.4,6.7,"1,376",42,,,,
Banyule,5,24,5,21,9.7,24,10,95,95,80.5,6.3,"2,027",40,,,,
Bass Coast,6,35,9,25.2,14.2,19,18,95,95,77,4.6,"1,163",51,,,,
Baw Baw,6,27,5,24.3,13.1,20,18,95,95,73.4,4.4,"1,495",41,,,,
Bayside,3,25,6,20.1,8.9,31,3,95,95,82.9,3.7,"2,487",45,,,,
Benalla,5,31,4,26,15,31,14,95,95,76.7,5.1,1192,51,,,,
Boroondara,3,18,5,19.5,8.5,16,5,95,95,83.9,5.5,2376,40,,,,
Brimbank,7,28,8,22.8,10.2,19,16,95,95,68.3,3.5,1506,37,,,,
Buloke,4,30,9,27,15.7,30,11,95,95,81.3,6.5,1088,52,,,,
Campaspe,6,31,8,25.5,14,30,13,95,95,74.9,5.2,1264,47,,,,
Cardinia,5,28,6,23.9,12.5,23,13,95,95,68.4,3.8,1874,34,,,,
Casey,7,31,6,22.4,11,21,11,95,95,66.9,4.5,1918,34,,,,
Central Goldfields,6,37,11,26.5,14.8,23,16,95,95,80.6,5.3,904,52,,,,
Colac Otway,4,29,6,24.8,13.6,26,15,95,95,75.6,4.1,1277,45,,,,
Corangamite,5,28,9,25.6,14.3,24,9,95,95,76.7,4.2,1263,48,,,,
Darebin,6,28,5,21.7,9.9,19,13,91.7,90.5,76.6,5,1829,37,,,,
East Gippsland,5,30,6,26,14.5,17,14,95,95,77.3,4.6,1110,52,,,,
Frankston,7,28,7,23,12,23,18,95,95,72.4,4.9,1653,39,,,,
Gannawarra,7,33,7,26.8,14.9,29,15,95,95,76.4,5,1071,51,,,,
Glen Eira,4,21,7,20,8.7,21,8,95,95,79.6,4.6,2133,38,,,,
Glenelg,6,27,8,24.9,13.8,17,17,95,95,74.6,6.5,1214,49,,,,
Golden Plains,4,26,8,23.7,12.7,27,18,95,95,75.4,5,1899,39,,,,
Greater Bendigo,5,33,8,23.8,12.9,28,12,95,95,78.5,7.8,1448,40,,,,
Greater Dandenong,6,20,7,22.6,10.5,15,19,95,95,68.5,3.7,1453,36,,,,
Greater Geelong,5,24,7,23.6,12.8,21,14,95,95,78.4,5.8,1592,39,,,,
Greater Shepparton,6,34,11,24.3,13.2,25,13,95,95,71,6.4,1400,39,,,,
Hepburn,5,34,9,25,13.9,28,15,95,95,80.8,4.2,1281,52,,,,
