DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,44.495,524.82,276814.53,61.74,-808.398,3.3,4121,5889,128.4699,546928,51.8,273.2158,1.5662493,2.1896562,3.7873905
2019-11-30T00:00:00,44.495,524.82,278489.22,61.74,-808.398,4.3,3409,5893,166.4778,620354,54.6,283.4442,1.686438,2.3290221,3.9929707
2019-12-31T00:00:00,44.939,447.75,278489.22,54.9,2561.489,3.7,3133,5374,83.3256,818453,56.8,289.8299,1.9429141,2.7385202,4.3897405
2020-01-31T00:00:00,44.939,447.75,278489.22,54.9,2561.489,2.3,3535,4579,84.9291,895534,58.8,295.666,1.9062313,2.8223784,4.6913704
2020-02-29T00:00:00,44.939,447.75,278489.22,54.9,2561.489,2,3191,4378,171.4192,819980,54.2,305.5515,1.9514998,2.8907088,4.8556236
2020-03-31T00:00:00,44.939,447.75,275165.38,56.76,117.124,3.3,3154,4383,104.3402,331479,51.3,310.1243,2.1724614,3.2475754,5.2391238
2020-04-30T00:00:00,44.939,447.75,275165.38,56.76,117.124,1.5,2894,4349,166.8602,0,52.2,314.9087,2.364035,3.5553483,5.6353974
2020-05-31T00:00:00,44.939,447.75,275165.38,56.76,117.124,1.5,3166,5078,81.3756,0,48.7,321.9738,2.5896303,3.8257106,6.1116274
2020-06-30T00:00:00,44.939,447.75,269913.12,61.74,2863.324,2.2,3299,4786,61.7117,0,47.4,328.2014,2.7421771,4.0873138,6.5933128
2020-07-31T00:00:00,44.939,447.75,269913.12,61.74,2863.324,1.9,3451,4931,59.8455,1288,46,337.0632,2.8116979,4.1938941,6.8740918
2020-08-31T00:00:00,44.939,447.75,269913.12,61.74,2863.324,2.7,3508,4955,68.181,3375,44.5,346.6207,2.8809473,4.1532971,6.9984507
2020-09-30T00:00:00,44.939,447.75,267537.07,61.74,1150.405,2.8,4129,4727,61.373,4317,40.8,359.657,2.9717231,4.2361256,7.2318023
2020-10-31T00:00:00,44.939,447.75,267537.07,61.74,1150.405,3.8,4004,4674,54.4843,5020,43.95,371.0211,3.0356725,4.3565,7.2870548
2020-11-30T00:00:00,44.939,447.75,267537.07,61.74,1150.405,3.2,4115,4500,63.9137,9742,40.4,385.8826,3.0729539,4.4065543,7.3451386
2020-12-31T00:00:00,45.377,385.74,270694.36,61.74,-1442.491,4,3908,3544,86.6115,18813,42.1,401.5071,3.3632324,4.8983041,7.9484713
2021-01-31T00:00:00,45.377,385.74,270694.36,61.74,-1442.491,4,3844,4912,71.3107,22795,42.3,415.8595,3.2923251,4.7791153,8.0579725
2021-02-28T00:00:00,45.377,385.74,270694.36,61.74,-1442.491,3.6,3713,4775,58.1808,12665,43.9,435.8657,3.2757196,4.7587499,8.2236857
2021-03-31T00:00:00,45.377,385.74,267693.5,61.74,395.422,4.8,5320,5720,65.3231,14281,44.8,453.6503,3.3979655,4.8799209,8.5458879
2021-04-30T00:00:00,45.377,385.74,267693.5,61.74,395.422,4.1,4673,6143,42.4149,10753,46.4,468.725,3.5237732,5.0155599,8.8659964
2021-05-31T00:00:00,45.377,385.74,267693.5,61.74,395.422,3.3,5141,6813,52.548,7551,49.9,483.6049,3.6781689,5.2217383,9.1539368
2021-06-30T00:00:00,45.377,385.74,268856.59,61.74,2546.701,3.2,5909,7010,66.1734,6123,53.2,498.0987,3.7490962,5.5512737,9.6517575
