DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,25.15,1427.81,2223496,68.74,4810,0.5,27469,31671,90432,774020,2.3,116.2,76.83466667,708.9566667,1432.641333
2019-11-30T00:00:00,25.15,1427.81,2223496,68.74,4810,0.5,26368,32069,90432,815910,2.3,116.2,76.70466667,713.6613333,1434.439333
2019-12-31T00:00:00,25.52,1392.72,2203673,48.83,-513,0.7,26751,31989,55400,1077720,2.6,116.6,78.20466667,718.022,1432.720667
2020-01-31T00:00:00,25.52,1392.72,2203673,48.83,-513,0.7,25726,30463,55400,766590,2.6,116.6,77.86866667,723.5806667,1445.343333
2020-02-29T00:00:00,25.52,1392.72,2203673,48.83,-513,0.7,25007,29400,55400,685410,2.6,116.6,77.45733333,722.2806667,1444.86
2020-03-31T00:00:00,25.52,1392.72,2367992,63.76,3337,0.3,25006,34177,55400,331890,3.2,114.4,91.45733333,785.098,1490.418
2020-04-30T00:00:00,25.52,1392.72,2367992,63.76,3337,0.3,25294,31820,55400,2250,3.2,114.4,129.3986667,813.8593333,1536.424667
2020-05-31T00:00:00,25.52,1392.72,2367992,63.76,3337,0.3,24004,29039,55400,3440,3.2,114.4,121.476,819.1686667,1539.442
2020-06-30T00:00:00,25.52,1392.72,2210267,55.67,12454,-1.9,24263,29094,55400,5400,4.1,114.4,111.322,840.546,1553.985333
2020-07-31T00:00:00,25.52,1392.72,2210267,55.67,12454,-1.9,25986,29107,55400,3530,4.1,114.4,118.74,861.1553333,1580.034
2020-08-31T00:00:00,25.52,1392.72,2210267,55.67,12454,-1.9,26132,27975,55400,3030,4.1,114.4,111.1913333,870.0786667,1591.527333
2020-09-30T00:00:00,25.52,1392.72,2213628,67.74,7506,1.6,24268,28700,55400,3720,3.4,116.2,113.5326667,886.6953333,1599.286
2020-10-31T00:00:00,25.52,1392.72,2213628,67.74,7506,1.6,25080,30584,55400,6070,3.4,116.2,112.8126667,897.5246667,1607.518
2020-11-30T00:00:00,25.52,1392.72,2213628,67.74,7506,1.6,27555,30619,55400,7570,3.4,116.2,118.128,908.5066667,1613.767333
2020-12-31T00:00:00,25.63,1328.41,2175885,79.85,10918,0.9,26658,33164,20600,8820,2.3,117.2,136.84,917.3726667,1614.728667
2021-01-31T00:00:00,25.63,1328.41,2175885,79.85,10918,0.9,26131,34010,20600,7990,2.3,117.2,156.5826667,929.4653333,1630.578
2021-02-28T00:00:00,25.63,1328.41,2175885,79.85,10918,0.9,27402,34603,20600,6260,2.3,117.2,176.7866667,930.126,1627.268
2021-03-31T00:00:00,25.63,1328.41,2144744,79.85,16136,0.6,28406,34204,20600,8320,0.7,117.9,195.844,946.416,1636.224667
2021-04-30T00:00:00,25.63,1328.41,2144744,79.85,16136,0.6,27553,35956,20600,22610,0.7,117.9,206.1846667,957.0066667,1643.15
2021-05-31T00:00:00,25.63,1328.41,2144744,79.85,16136,0.6,28192,37256,20600,36190,0.7,117.9,219.6686667,962.516,1645.789333
2021-06-30T00:00:00,25.63,1328.41,2183199,79.85,16516,0.8,28399,38561,20600,36770,0.7,118.8,260.6453333,989.6193333,1674.410667
2021-07-31T00:00:00,25.63,1328.41,2183199,79.85,16516,0.8,28755,42759,20600,18720,0.7,118.8,305.264,1016.797333,1704.255333
2021-08-31T00:00:00,25.63,1328.41,2183199,79.85,16516,0.8,28991,41934,20600,6390,0.7,118.8,319.54,1023.778,1704.281333
2021-09-30T00:00:00,25.63,1328.41,2256658,79.85,19415,0.8,28371,38496,20600,4430,1.3,119.7,322.7846667,1046.048667,1727.385333
2021-10-31T00:00:00,25.63,1328.41,2256658,79.85,19415,0.8,27881,38613,20600,4410,1.3,119.7,335.5093333,1058.390667,1736.965333
2021-11-30T00:00:00,25.63,1328.41,2256658,79.85,19415,0.8,30843,40342,20600,20860,1.3,119.7,340.834,1071.021333,1746.340667
2021-12-31T00:00:00,25.77,1556.74,2266336,79.85,707,1.3,33289,40674,31800,73290,1.9,121.3,343.576,1086.581333,1766.506
2022-01-31T00:00:00,25.77,1556.74,2266336,79.85,707,1.3,31774,44769,31800,60760,1.9,121.3,362.694,1092.692,1772.959333
2022-02-28T00:00:00,25.77,1556.74,2266336,79.85,707,1.3,36682,45169,31800,90460,1.9,121.3,368.0766667,1088.876667,1766.084
2022-03-31T00:00:00,25.77,1556.74,2227000,79.85,451,2.1,34686,45021,31800,170250,4.3,123.9,361.6553333,1109.062667,1787.21
2022-04-30T00:00:00,25.77,1556.74,2227000,79.85,451,2.1,34499,48740,31800,235460,4.3,123.9,360.486,1120.706,1799.488
2022-05-31T00:00:00,25.77,1556.74,2227000,79.85,451,2.1,36503,51492,31800,231480,4.3,123.9,359.05,1121.834,1813.690667
2022-06-30T00:00:00,25.77,1556.74,2259250,79.85,8809,1.8,36383,54820,31800,275300,5.9,126.1,348.4586667,1127.504,1839.41
