DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,208.49,1916.93,674076.28,67.36,-9535.5,0.1,16987.201,19483.913,8220.68,551750,3.01,5233.07,63.65483167,494.36,1111.022
2019-11-30T00:00:00,208.49,1916.93,674076.28,67.36,-4469.8,0.51,14868.296,17609.813,8734.579,551750,3.35,5259.76,67.70689,501.1155,1117.532833
2019-12-31T00:00:00,210.15,1873.29,668221.21,67.36,-5766.7,1.15,13248.186,18463.269,2824.646,529416,6.36,5320.25,74.62029667,516.5703333,1135.579
2020-01-31T00:00:00,210.15,1873.29,668221.21,67.36,-11114.7,0.21,17190.165,14429.715,2838.069,529416,5.83,5331.42,67.42502333,505.3426667,1125.0715
2020-02-29T00:00:00,210.15,1873.29,668221.21,67.36,-5176.9,0.25,13849.451,15356.45,2456.039,529416,5.12,5344.75,68.31796833,507.1726667,1131.323167
2020-03-31T00:00:00,210.15,1873.29,672027.8,67.36,-3625.1,0.07,14266.745,18312.35,7810.364,529416,4.87,5348.49,72.63714833,534.917,1145.737833
2020-04-30T00:00:00,210.15,1873.29,672027.8,67.36,2137.8,-0.31,11431.02,17593.799,974.805,529416,6.08,5331.91,78.54517667,565.4756667,1173.610667
2020-05-31T00:00:00,210.15,1873.29,672027.8,67.36,339.3,-0.38,10681.946,17519.841,2527.574,529416,6.94,5311.65,83.90739667,589.7831667,1201.7675
2020-06-30T00:00:00,210.15,1873.29,633825.3,67.36,2810.7,0.26,10977.106,17478.971,4891.257,529416,7.61,5325.46,89.00741833,605.5993333,1233.488167
2020-07-31T00:00:00,210.15,1873.29,633825.3,67.36,-771.7,0.36,11814.764,19416.007,4827.754,529416,7.61,5344.63,91.072085,619.7388333,1260.082167
2020-08-31T00:00:00,210.15,1873.29,633825.3,67.36,874.4,0.24,11585.201,17403.775,2046.119,529416,8.83,5357.46,94.220095,626.2611667,1281.5875
2020-09-30T00:00:00,210.15,1873.29,624223.1,67.36,-393.9,0.64,13139.952,18223.388,2847.292,529416,11.79,5391.75,97.66739833,640.4495,1292.124333
2020-10-31T00:00:00,210.15,1873.29,624223.1,67.36,-1472.9,0.86,13245.304,17649.336,3616.31,529416,13.88,5438.12,98.37969333,648.807,1298.801167
2020-11-30T00:00:00,210.15,1873.29,624223.1,67.36,-2920.1,0.89,14856.582,17344.901,2332.372,529416,15.94,5486.52,101.2529117,653.6818333,1305.997167
2020-12-31T00:00:00,211.76,1476.11,624223.1,67.36,-8894.5,1.35,15748.589,18451.709,1102.16,178833,14.09,5560.59,106.8512583,666.3701667,1339.259667
2021-01-31T00:00:00,211.76,1476.11,624223.1,67.36,-8665.7,0.25,15167.392,14947.626,3398.024,178833,14.81,5574.49,98.48393333,647.6793333,1331.478167
2021-02-28T00:00:00,211.76,1476.11,624223.1,67.36,-4415.9,0.86,14539.173,16375.291,8737.801,178833,15.01,5622.43,97.97444333,647.2351667,1334.1295
2021-03-31T00:00:00,211.76,1476.11,624223.1,67.36,-8199.6,0.93,17865.279,24335.76,9364.965,178833,13.87,5674.72,98.850885,655.899,1343.695
2021-04-30T00:00:00,211.76,1476.11,624223.1,67.36,3402.5,0.31,16096.324,26059.432,4481.668,178833,12.31,5692.31,99.78131833,656.9006667,1355.348833
2021-05-31T00:00:00,211.76,1476.11,624223.1,67.36,1995.9,0.83,17664.682,26200.663,1303.891,178833,12.54,5739.56,100.4025033,659.8478333,1369.646167
2021-06-30T00:00:00,211.76,1476.11,636720.11,121.11,1669,0.53,17843.605,28257.895,-525.362,178833,12.59,5769.98,106.0234817,676.8861667,1390.947167
2021-07-31T00:00:00,211.76,1476.11,636720.11,121.11,-3676.4,0.96,18128.645,25508.596,7843.88,178833,13.25,5825.37,107.5221517,685.2631667,1407.971833
2021-08-31T00:00:00,211.76,1476.11,636720.11,121.11,-2218.8,0.87,19557.277,27216.376,6188.829,178833,13.94,5876.05,106.161725,691.7526667,1421.889167
2021-09-30T00:00:00,211.76,1476.11,661252.52,129.65,-3630.7,1.16,19975.448,24376.13,2419.19,178833,12.54,5944.21,104.9397,699.2785,1430.566333
2021-10-31T00:00:00,211.76,1476.11,661252.52,129.65,-6012.3,1.25,20538.918,22602.637,3375.198,178833,11.71,6018.51,103.17461,696.2641667,1426.98
2021-11-30T00:00:00,211.76,1476.11,661252.52,129.65,-8508.7,0.95,21611.841,20501.766,5030.533,178833,8.9,6075.69,103.8780283,697.878,1448.510833
2021-12-31T00:00:00,213.32,1670.65,663647.05,129.65,-7741.2,0.73,20419.466,24432.407,-5178.113,62166,7.93,6120.04,108.9033683,720.0278333,1469.160833
2022-01-31T00:00:00,213.32,1670.65,663647.05,129.65,-7361,0.54,19839.037,19781.386,4038.4397,62166,8.03,6153.09,99.95884,701.0491667,1451.961
2022-02-28T00:00:00,213.32,1670.65,663647.05,129.65,-1881.8,1.01,18884.033,23511.628,9434.193,62166,9.12,6215.24,100.796155,711.8275,1455.735833
2022-03-31T00:00:00,213.32,1670.65,674121.74,129.65,-2307.2,1.62,21809.139,29396.415,6919.9215,62166,11.61,6315.93,100.4940883,728.4905,1505.293833
2022-04-30T00:00:00,213.32,1670.65,674121.74,129.65,1075.4,1.06,20742.943,28953.976,10918.1394,62166,13.46,6382.88,101.8005767,739.5095,1515.436667
2022-05-31T00:00:00,213.32,1670.65,674121.74,129.65,-4269.4,0.47,24685.194,29647.517,3436.5155,62166,13.5,6412.88,100.4934333,754.7336667,1531.092833
2022-06-30T00:00:00,213.32,1670.65,678013.52,129.65,262.7,0.67,23852.259,32766.476,3275.228,62166,13.92,6455.85,101.57258,771.3305,1542.869667
2022-07-31T00:00:00,213.32,1670.65,678013.52,129.65,-5666.2,-0.68,24487.01,29848.661,7176.3454,62166,14.72,6411.95,100.6223333,781.5571667,1539.467333
2022-08-31T00:00:00,213.32,1670.65,678013.52,129.65,-7159.2,-0.36,26680.227,30770.082,9731.2239,62166,13.41,6388.87,100.5521767,796.4901667,1583.832333
2022-09-30T00:00:00,213.32,1670.65,663260.35,129.65,-7117.6,-0.29,24892.711,28619.877,9156.1326,62166,11.7,6370.34,101.1258883,810.0136667,1599.177167
2022-10-31T00:00:00,213.32,1670.65,663260.35,129.65,-5207.7,0.59,23477.105,26937.581,4455.0278,62166,11.2,6407.93,99.095445,810.9265,1585.664833
2022-11-30T00:00:00,213.32,1670.65,663260.35,129.65,-1091.4,0.41,21451.986,28164.455,6543.813,62166,11.83,6434.2,101.1448,826.8141667,1603.1295
2022-12-31T00:00:00,214.83,1951.92,681075.78,129.65,-7529.5,0.62,21809.043,26645.269,-478.6181,62166,11.63,6474.09,107.6330583,850.9086667,1614.515833
2023-01-31T00:00:00,214.83,1951.92,681075.78,129.65,-7637.3,0.53,20528.685,22826.051,6529.1676,302500,11.06,6508.4,99.25299667,839.0003333,1608.306
2023-02-28T00:00:00,214.83,1951.92,681075.78,129.65,-4354.6,0.84,17683.589,20258.526,7168.3788,302500,9.83,6563.07,99.97025,849.0035,1622.086167
2023-03-31T00:00:00,214.83,1951.92,694571.23,129.6526,697.6,0.71,22071.837,32830.61,7344.6102,302500,7.29,6609.67,100.0686317,871.1853333,1654.373333
2023-04-30T00:00:00,214.83,1951.92,694571.23,129.6526,-247.2,0.61,19141.301,27108.926,3058.8595,302500,5.87,6649.99,100.2247267,876.0193333,1667.407
2023-05-31T00:00:00,214.83,1951.92,694571.23,129.6526,1093.2,0.23,21694.623,32657.432,4355.3496,302500,5.53,6665.28,98.08837167,888.8281667,1672.173833
2023-06-30T00:00:00,214.83,1951.92,713813.26,129.65,-842.1,-0.08,19528.579,29608.067,1949.809,302500,4.01,6659.95,99.63380333,905.5811667,1704.739
2023-07-31T00:00:00,214.83,1951.92,713813.26,129.65,-3557,0.12,20093.164,28305.924,7100.4726,302500,2.2,6667.94,99.19169833,913.4945,1722.989333
2023-08-31T00:00:00,214.83,1951.92,713813.26,129.65,-969,0.23,21472.727,31058.506,7258.6338,302500,1.09,6683.28,99.520985,930.17,1746.791667
