DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,37.07,1725.33,2975429,0,-12648,0.3,50295,48968.8,13785,2422569,3.7,136.6,821.9269231,1363.85,1987.467692
2019-11-30T00:00:00,37.07,1725.33,2975429,0,-12648,-0.1,49606.9,48703.4,13785,1786974,3.4,136.4,828.7876923,1372.810769,1997.985385
2019-12-31T00:00:00,37.6,1743.73,3105589,0,-8536,0,49379.4,49183.6,12439,2191785,3,136.4,846.7330769,1388.66,2016.380769
2020-01-31T00:00:00,37.6,1743.73,3105589,0,-8536,0.3,50376.9,47575.3,12439,1567317,3.2,136.8,835.76,1396.262308,2026.173077
2020-02-29T00:00:00,37.6,1743.73,3105589,0,-8536,0.4,50809,47859.6,12439,1595707,2.4,137.4,846.3184615,1402.252308,2040.240769
2020-03-31T00:00:00,37.6,1743.73,3190700,0,-18662,-0.6,48435.2,43878.8,12241,760252,2.3,136.6,876.6738462,1435.653846,2101.194615
2020-04-30T00:00:00,37.6,1743.73,3190700,0,-18662,-0.7,37238,31699.5,12241,67654,3.4,135.7,923.2061538,1478.473846,2174.11
2020-05-31T00:00:00,37.6,1743.73,3190700,0,-18662,0.3,36010,34109,12241,86362,3.1,136.1,954.1453846,1508.202308,2207.97
2020-06-30T00:00:00,37.6,1743.73,3195538,0,-7685,0.8,43578.1,40955.6,11398,121524,2.7,137.2,984.9730769,1536.455385,2244.173077
2020-07-31T00:00:00,37.6,1743.73,3195538,0,-7685,0,47847.2,44625.3,11398,141772,2.2,137.2,1003.852308,1554.977692,2249.091538
2020-08-31T00:00:00,37.6,1743.73,3195538,0,-7685,-0.1,48580.1,45176.8,11398,158664,1.8,137,1026.790769,1579.973077,2259.888462
2020-09-30T00:00:00,37.6,1743.73,3184908,0,-13261,-0.1,49910.9,45930.2,11663,147777,1.6,136.9,1047.389231,1595.931538,2275.478462
2020-10-31T00:00:00,37.6,1743.73,3184908,0,-13261,0.4,50187.2,46242.4,11663,139916,2.3,137.5,1063.693077,1616.97,2231.468462
2020-11-30T00:00:00,37.6,1743.73,3184908,0,-13261,0.1,50412.1,46827.6,11663,127159,1.9,137.7,1077.402308,1630.913077,2238.378462
2020-12-31T00:00:00,38.01,1655.68,3310306,0,-7969,-0.2,49738.7,47596,3950,154246,1.1,137.4,1087.954615,1639.242308,2251.524615
2021-01-31T00:00:00,38.01,1655.68,3310306,0,-7969,0.6,50910.7,51782,3950,120921,1,138.2,1088.379231,1655.617692,2267.926154
2021-02-28T00:00:00,38.01,1655.68,3310306,0,-7969,0.5,49977.8,50711.3,3950,101655,1.8,138.9,1104.430769,1672.971538,2284.333846
2021-03-31T00:00:00,38.01,1655.68,3202437,0,-209,0.5,52188.1,50389.5,22908,123583,1.8,139.6,1114.614615,1681.013077,2292.833077
2021-04-30T00:00:00,38.01,1655.68,3202437,0,-209,0.5,50346.1,49987.1,22908,130634,0.9,140.3,1147.015385,1694.766923,2292.260769
2021-05-31T00:00:00,38.01,1655.68,3202437,0,-209,0.5,51512.4,49586.3,22908,140287,1.5,141,1171.338462,1710.434615,2315.489231
2021-06-30T00:00:00,38.01,1655.68,3263496,0,-2371,0.3,51577.7,53132.9,14035,162940,1.3,141.4,1187.726923,1718.155385,2327.180769
2021-07-31T00:00:00,38.01,1655.68,3263496,0,-2371,0.6,53171.1,53412.9,14035,258469,1.7,142.3,1203.224615,1735.731538,2355.889231
2021-08-31T00:00:00,38.01,1655.68,3263496,0,-2371,0.2,52817.3,53887.5,14035,600982,2.7,142.6,1216.016923,1751.612308,2380.884615
2021-09-30T00:00:00,38.01,1655.68,3442714,0,-3852,0.2,51874.4,52728.5,17161,671662,3.9,142.9,1220.144615,1752.308462,2386.666154
2021-10-31T00:00:00,38.01,1655.68,3442714,0,-3852,0.7,54610.5,56103.8,17161,649352,3.8,143.9,1222.874615,1759.6,2396.573077
2021-11-30T00:00:00,38.01,1655.68,3442714,0,-3852,0.2,56251.3,58606.5,17161,560271,4.4,144.2,1238.598462,1776.258462,2420.025385
2021-12-31T00:00:00,38.43,2007.47,3554506,0,-317,-0.1,59588.3,58247.3,21494,761360,5.2,144,1240.717692,1783.15,2431.305385
2022-01-31T00:00:00,38.43,2007.47,3554506,0,-317,0.9,55857.5,58740.8,21494,298217,5.7,145.3,1240.046154,1794.501538,2456.069231
