DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,1405410,13894.91,19827.5,1948.31,306.341,0.9,170670,212980,11077.8,2545241,15.5,100,1048.505714,7973.484286,27794.29429
2019-11-30T00:00:00,1405410,13894.91,19827.5,1948.31,306.341,0.4,184270,221440,12439.4,2545241,19.1,100,1056.768571,8035.521429,28020.42286
2019-12-31T00:00:00,1410080,14279.97,20572.8,1948.31,301.652,0,191390,238640,14123,2656950,17.4,100,1102.707143,8228.702857,28378.41143
2020-01-31T00:00:00,1410080,14279.97,20572.8,1948.31,301.652,1.4,156920,211590,1268,2656950,20.6,100,1332.131429,7793.311429,28900.95
2020-02-29T00:00:00,1410080,14279.97,20572.8,1948.31,301.652,0.8,142370,80380,1942,2656950,21.9,100,1259.815714,7895.724286,29011.86286
2020-03-31T00:00:00,1410080,14279.97,20572.8,1948.31,-522.515,-1.2,164600,184570,3120,2656950,18.3,100,1186.031429,8215.004286,29727.47714
2020-04-30T00:00:00,1410080,14279.97,20572.8,1948.31,-522.515,-0.9,154550,199480,4134,2656950,14.8,100,1164.074286,8145.007143,29907.62571
2020-05-31T00:00:00,1410080,14279.97,20572.8,1948.31,-522.515,-0.8,144810,206430,5121,2656950,10.6,100,1138.668571,8301.587143,30002.62429
2020-06-30T00:00:00,1410080,14279.97,20572.8,1948.31,910.916,-0.1,168170,212850,6793,2656950,11.1,100,1135.134286,8633.114286,30499.26714
2020-07-31T00:00:00,1410080,14279.97,20572.8,1948.31,910.916,0.6,176530,236840,7698,2656950,13.2,100,1140.96,8445.608571,30363.69286
2020-08-31T00:00:00,1410080,14279.97,20572.8,1948.31,910.916,0.4,177270,234370,8900,2656950,11.2,100,1143.467143,8589.844286,30526.24143
2020-09-30T00:00:00,1410080,14279.97,20572.8,1948.31,893.028,0.2,203270,238610,10326,2656950,7.9,100,1176.727143,8604.458571,30915.49714
2020-10-31T00:00:00,1410080,14279.97,20572.8,1948.31,893.028,-0.3,178910,236230,11509,2656950,2.2,100,1157.662857,8702.605714,30710.29143
2020-11-30T00:00:00,1410080,14279.97,20572.8,1948.31,893.028,-0.6,192660,266910,12947,2656950,-2,100,1165.622857,8837.602857,31028.60857
2020-12-31T00:00:00,1412120,14687.74,24008.1,1948.31,1206.927,0.7,205900,281690,14437,0,1.2,100,1204.492857,8936.871429,31239.94143
2021-01-31T00:00:00,1412120,14687.74,24008.1,1948.31,1206.927,1,201980,263380,1347,0,1.6,100.9,1280.36,8936.625714,31614.96143
2021-02-28T00:00:00,1412120,14687.74,24008.1,1948.31,1206.927,0.6,169380,204390,2607,0,-0.2,101.5,1313.208571,8478.392857,31943.29
2021-03-31T00:00:00,1412120,14687.74,24008.1,1948.31,762.365,-0.5,228990,240540,4486,0,-0.7,101,1236.337143,8801.617143,32521.26429
2021-04-30T00:00:00,1412120,14687.74,24008.1,1948.31,762.365,-0.3,222620,263090,5904,0,-0.7,100.7,1225.762857,8648.884286,32315.81571
2021-05-31T00:00:00,1412120,14687.74,24008.1,1948.31,762.365,-0.2,220390,263230,7158,0,0.3,100.6,1202.538571,8811.832857,32507.68714
2021-06-30T00:00:00,1412120,14687.74,24008.1,1948.31,554.868,-0.4,230870,280300,9096,0,-1.7,100.2,1204.957143,9106.848571,33111.26286
2021-07-31T00:00:00,1412120,14687.74,24008.1,1948.31,554.868,0.3,226440,281280,10074,0,-3.7,100.5,1210.251429,8862.387143,32887.91143
2021-08-31T00:00:00,1412120,14687.74,24008.1,1948.31,554.868,0.1,234730,293170,11378,0,-4.1,100.6,1215.131429,8952.267143,33032.39571
2021-09-30T00:00:00,1412120,14687.74,24008.1,1948.31,923.054,0,237160,304700,12926,0,-5.2,100.6,1240.958571,8923.51,33468.99571
