DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,344.7943,13867.95,16135050.44,504.77,27.96629213,0.1,215674.2697,245078.2022,-205000,80750000,1.2,105.44,9985.532584,13859.14045,14575.55393
2019-11-30T00:00:00,344.7943,13867.95,16135050.44,504.77,22.28089888,-0.3,200676.6292,222315.2809,-205000,80750000,1.5,105.1,10044.39438,13912.19438,14620.18989
2019-12-31T00:00:00,345.6978,13587.02,15409734.4,504.77,20.86516854,0.3,183624.7191,208489.1011,0,80750000,1.7,105.43,10056.19663,13910.94719,14592.2573
2020-01-31T00:00:00,345.6978,13587.02,15409734.4,504.77,-18.74157303,-1,205338.8764,206146.4045,0,80750000,1.7,104.37,10101.7427,13953.06629,14671.70225
2020-02-29T00:00:00,345.6978,13587.02,15409734.4,504.77,6.426966292,0.2,185875.2809,211112.4719,0,80750000,1.8,104.56,10182.44831,14035.57191,14771.38989
2020-03-31T00:00:00,345.6978,13587.02,16081983.67,504.77,19.79775281,0.5,185179.7753,217719.2135,0,80750000,2.3,105.13,10511.83596,14371.57416,15149.59438
2020-04-30T00:00:00,345.6978,13587.02,16081983.67,504.77,10.49438202,0.3,149400.7865,151667.6404,0,80750000,3.6,105.43,10710.22697,14584.07191,15333.36292
2020-05-31T00:00:00,345.6978,13587.02,16081983.67,504.77,-1.112359551,-0.1,150694.4944,159891.236,0,80750000,3.4,105.33,10846.50787,14765.40787,15516.57753
2020-06-30T00:00:00,345.6978,13587.02,15819331.63,504.77,16.16853933,0.3,168198.6517,189648.5393,0,80750000,3,105.69,10944.61461,14855.71236,15627.99213
2020-07-31T00:00:00,345.6978,13587.02,15819331.63,504.77,26.92134831,-0.4,178065.0562,207484.7191,0,80750000,1.6,105.32,11009.67865,14935.06966,15721.90562
2020-08-31T00:00:00,345.6978,13587.02,15819331.63,504.77,23.16853933,-0.4,159492.2472,174374.1573,0,80750000,1.2,104.88,11073.76517,14975.01573,15745.39775
2020-09-30T00:00:00,345.6978,13587.02,15646699.37,504.77,37.37078652,0.1,186130.3371,212727.8652,0,80750000,1.4,104.96,11165.91348,15103.79888,15895.40449
2020-10-31T00:00:00,345.6978,13587.02,15646699.37,504.77,37.47191011,0.2,190690.3371,223248.9888,0,80750000,1.7,105.15,11294.54382,15214.01573,16012.68539
2020-11-30T00:00:00,345.6978,13587.02,15646699.37,504.77,31.14606742,-0.3,192739.8876,220311.3483,0,80750000,1.5,104.8,11413.60562,15318.63258,16119.47303
2020-12-31T00:00:00,346.6257,13266.86,15899574.47,504.77,49.31460674,0.3,183576.2921,214656.9663,210010,80750000,0.9,105.15,11539.55169,15443.93708,16270.38539
2021-01-31T00:00:00,346.6257,13266.86,15899574.47,504.77,21.25842697,0.2,177230.2247,188118.8764,210010,80750000,1,105.32,11665.91573,15545.32135,16394.53146
2021-02-28T00:00:00,346.6257,13266.86,15899574.47,504.77,29.21348315,0.2,181421.4607,206828.427,210010,80750000,0.8,105.54,11768.07416,15644.22921,16485.26966
2021-03-31T00:00:00,346.6257,13266.86,15813500.94,504.77,46.56179775,0.9,221223.4831,245961.3483,210010,80750000,0.7,106.53,11869.1,15752.08315,16582.41461
2021-04-30T00:00:00,346.6257,13266.86,15813500.94,504.77,42.71910112,0.6,207387.8652,222982.2472,210010,80750000,0,107.14,11941.64831,15814.10337,16652.26854
