DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD),,,,,,,,,,,,
2019-10-31T00:00:00,126.25,5040.88,3230579.31,3230579.31,765.22,0.2,45275.92414,45352.91034,7274.482759,2496568,0.9,100.4,5533.211724,7106.269655,9409.464828,,,,,,,,,,,,
2019-11-30T00:00:00,126.25,5040.88,3230579.31,3230579.31,765.22,0.2,44602.71724,43993.15862,9768.965517,2441274,1.5,100.5,5574.393793,7148.538621,9452.902759,,,,,,,,,,,,
2019-12-31T00:00:00,126.01,5117.99,3193772.414,3193772.414,765.22,0.1,46449.97241,45352.4,16459.31034,2526387,1.9,100.5,5641.426207,7175.32,9491.255862,,,,,,,,,,,,
2020-01-31T00:00:00,126.01,5117.99,3193772.414,3193772.414,765.22,0,46536.2069,37464.46897,12360.68966,2661022,1.2,100.5,5658.944828,7183.550345,9500.077931,,,,,,,,,,,,
2020-02-29T00:00:00,126.01,5117.99,3193772.414,3193772.414,765.22,-0.1,35930.86207,43584.14483,7656.551724,1085147,1.2,100.3,5649.225517,7161.937931,9476.178621,,,,,,,,,,,,
2020-03-31T00:00:00,126.01,5117.99,3552413.793,3552413.793,765.22,0,43828.82069,43841.84828,12637.24138,193658,1.4,100.3,5721.203448,7201.99931,9510.861379,,,,,,,,,,,,
2020-04-30T00:00:00,126.01,5117.99,3552413.793,3552413.793,765.22,-0.2,42416.6,35895.93793,12758.62069,2900,2.1,100.2,5889.221379,7331.06,9640.011724,,,,,,,,,,,,
2020-05-31T00:00:00,126.01,5117.99,3552413.793,3552413.793,765.22,-0.1,34864.78621,28865.96552,6431.034483,1700,2.1,100.1,6034.993103,7457.033793,9772.429655,,,,,,,,,,,,
2020-06-30T00:00:00,126.01,5117.99,3469613.793,3469613.793,765.22,-0.1,35610.53793,33519.32414,-14233.7931,2600,1.5,99.9,6178.593793,7611.375172,9948.484138,,,,,,,,,,,,
2020-07-31T00:00:00,126.01,5117.99,3469613.793,3469613.793,765.22,0.1,37246.62069,37020.81379,12008.96552,3800,1.9,100,6220.671724,7657.086207,10016.74276,,,,,,,,,,,,
2020-08-31T00:00:00,126.01,5117.99,3469613.793,3469613.793,765.22,0,34600.2069,36090.22069,2957.241379,8700,2.9,100.1,6268.564828,7702.105517,10068.84207,,,,,,,,,,,,
2020-09-30T00:00:00,126.01,5117.99,3489020.69,3489020.69,765.22,-0.3,37251.49655,41750.34483,-533.7931034,13700,1.9,99.9,6299.871724,7737.650345,10105.08345,,,,,,,,,,,,
2020-10-31T00:00:00,126.01,5117.99,3489020.69,3489020.69,765.22,-0.1,39475.6,45274.1931,4260,27400,1.1,99.8,6312.078621,7746.597931,10118.26759,,,,,,,,,,,22279857.31,22279857.31
2020-11-30T00:00:00,126.01,5117.99,3489020.69,3489020.69,765.22,-0.2,39911.21379,42158.86897,2223.448276,56700,-0.2,99.5,6357.227586,7797.242069,10170.95172,,,,,,,,,,,22026016.65,22026016.65
2020-12-31T00:00:00,126.15,5055.59,3447358.621,3447358.621,765.22,-0.1,41367.26897,46251.95862,6231.034483,58700,-0.8,99.3,6423.457931,7834.262069,10216.17586,,,,,,,,,,,24499405.47,24499405.47
2021-01-31T00:00:00,126.15,5055.59,3447358.621,3447358.621,765.22,0.4,42414.89655,39858.66207,12154.48276,46500,-0.2,99.8,6468.578621,7862.202759,10248.61517,,,,,,,,,,,23928370.99,23928370.99
2021-02-28T00:00:00,126.15,5055.59,3447358.621,3447358.621,765.22,0.1,40489.96552,41643.77931,7395.172414,7400,-0.1,99.8,6474.663448,7851.550345,10239.04276,,,,,,,,,,,24062211.65,24062211.65
2021-03-31T00:00:00,126.15,5055.59,3586055.172,3586055.172,845.97,0.1,46673.88276,50879.68966,10313.7931,12300,-0.4,99.9,6529.52,7887.155172,10272.44345,,,,,,,,,,,23774887.04,23774887.04
2021-04-30T00:00:00,126.15,5055.59,3586055.172,3586055.172,845.97,-0.9,48016.44138,49518.97931,19427.58621,10900,-1.3,99.1,6663.142759,8012.273793,10401.56414,,,,,,,,,,,24731414.98,24731414.98
2021-05-31T00:00:00,126.15,5055.59,3586055.172,3586055.172,845.97,0.2,44678.88966,43176.46207,10962.75862,10000,-1,99.4,6722.473793,8052.008966,10445.17379,,,,,,,,,,,24108252.08,24108252.08
2021-06-30T00:00:00,126.15,5055.59,3495696.552,3495696.552,845.97,0.2,47328.24828,49819.22759,3082.758621,9300,0,99.5,6709.503448,8062.690345,10466.39379,,,,,,,,,,,25181070.15,25181070.15
2021-07-31T00:00:00,126.15,5055.59,3495696.552,3495696.552,845.97,0.2,47767.33793,50721.92414,16903.44828,51100,-0.6,99.7,6720.181379,8062.107586,10479.61172,,,,,,,,,,,25198763.38,25198763.38
2021-08-31T00:00:00,126.15,5055.59,3495696.552,3495696.552,845.97,-0.1,50126.57931,45551.15862,14862.75862,25900,-1.1,99.7,6726.131034,8060.968966,10481.9331,,,,,,,,,,,26860499.41,26860499.41
2021-09-30T00:00:00,126.15,5055.59,3651255.172,3651255.172,845.97,0.3,51651.41379,47175.93793,4751.724138,17700,0.9,100.1,6737.597241,8063.104138,10483.13103,,,,,,,,,,,28516670.63,28516670.63
2021-10-31T00:00:00,126.15,5055.59,3651255.172,3651255.172,845.97,-0.1,50165.11034,49539.47586,5807.586207,22100,0.5,99.9,6768.427586,8072.86,10495.26552,,,,,,,,,,,29459453.03,29459453.03
2021-11-30T00:00:00,126.15,5055.59,3651255.172,3651255.172,845.97,0.3,57520.82759,50806.64138,11392.41379,20700,1.4,100.1,6807.457241,8108.049655,10530.94897,,,,,,,,,,,27696979.79,27696979.79
2021-12-31T00:00:00,125.5,5034.62,3653820.69,3653820.69,845.97,0.1,58511.54483,54352.33103,15173.7931,12100,2.1,100.1,6863.411034,8125.576552,10558.28759,,,,,,,,,,,28710915.58,28710915.58
2022-01-31T00:00:00,125.5,5034.62,3653820.69,3653820.69,845.97,0.2,59172.46897,43657.09655,5291.724138,17800,2.1,100.3,6893.870345,8147.02,10582.09517,,,,,,,,,,,29917954.82,29917954.82
2022-02-28T00:00:00,125.5,5034.62,3653820.69,3653820.69,845.97,0.5,54665.84828,49578.87586,7636.551724,16700,2.8,100.7,6887.372414,8130.351034,10564.37517,,,,,,,,,,,31189393.58,31189393.58
