DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,264.2,1042.27,395634.41,78.54,-7481,0.02,14759.0814,14881.4568,6562.5,1317500,4.84,103.43,94.00976875,376.6817813,376.6818125
2019-11-30T00:00:00,264.2,1042.27,395634.41,78.54,-7481,0.14,15340.4752,13944.4869,6562.5,1317500,4.97,103.58,97.0708875,379.6485625,379.6485625
2019-12-31T00:00:00,266.9,1119.1,404281.95,78.57,-8048,0.34,14506.7845,14428.8183,6743.75,1342500,4.28,103.93,97.83995625,383.5344875,383.5485625
2020-01-31T00:00:00,266.9,1119.1,404281.95,78.57,-8048,0.39,14268.7202,13636.4126,6743.75,1342500,4.31,104.33,92.78125625,377.9156688,377.9999375
2020-02-29T00:00:00,266.9,1119.1,404281.95,78.57,-8048,0.28,11548.1001,14042.0892,6743.75,1342500,6.02,104.62,94.09320625,382.28095,382.407125
2020-03-31T00:00:00,266.9,1119.1,389251.56,78.57,-3367,0.1,13352.1763,14031.292,6125,1342500,6.15,104.72,103.0454875,402.5285875,402.5934375
2020-04-30T00:00:00,266.9,1119.1,389251.56,78.57,-3367,0.08,12535.2332,12159.8245,6125,1342500,5.28,104.8,98.52776875,389.8916875,389.7906875
2020-05-31T00:00:00,266.9,1119.1,389251.56,78.57,-3367,0.07,8438.6273,10452.6254,6125,1342500,3.37,104.87,103.34555,404.2620938,404.085125
2020-06-30T00:00:00,266.9,1119.1,408592.91,78.57,-2913,0.18,10760.3179,12006.8136,6100,1342500,3.03,105.06,102.3578063,399.6089875,399.47575
2020-07-31T00:00:00,266.9,1119.1,408592.91,78.57,-2913,-0.1,10464.2996,13689.9025,6100,1342500,1.73,104.95,105.2043875,410.4828125,410.4169375
2020-08-31T00:00:00,266.9,1119.1,408592.91,78.57,-2913,-0.05,10742.4078,13055.2811,6100,1342500,0.79,104.9,110.3256688,420.7350125,420.687125
2020-09-30T00:00:00,266.9,1119.1,408524.8,78.57,997,-0.05,11570.1047,13956.1765,6631.25,1342500,1.78,104.85,111.2932813,421.785875,421.800875
2020-10-31T00:00:00,266.9,1119.1,408524.8,78.57,997,0.07,10786.0166,14363.4432,6631.25,1342500,2.25,104.92,111.3888125,423.8027813,423.8841875
2020-11-30T00:00:00,266.9,1119.1,408524.8,78.57,997,0.28,12664.4141,15258.422,6631.25,1342500,2.87,105.21,112.4379688,426.0910438,426.324875
2020-12-31T00:00:00,270.2,1059.05,417527.8,78.57,850,0.45,14438.376,16539.555,6943.75,337500,3.63,105.68,115.9807875,431.2530938,431.6211875
2021-01-31T00:00:00,270.2,1059.05,417527.8,78.57,850,0.26,13329.901,15293.6657,6943.75,337500,2.81,105.95,110.1434813,422.5635938,422.963
2021-02-28T00:00:00,270.2,1059.05,417527.8,78.57,850,0.1,13264.9746,15256.1658,6943.75,337500,1.92,106.06,111.5477,425.6543813,426.11175
2021-03-31T00:00:00,270.2,1059.05,414889.58,78.57,-1140,0.08,16787.5114,18354.4468,6981.25,337500,2.22,106.15,114.21195,430.5016563,430.97275
2021-04-30T00:00:00,270.2,1059.05,414889.58,78.57,-1140,0.13,16204.3387,18490.7255,6981.25,337500,2.33,106.29,115.6844313,434.83125,435.274125
2021-05-31T00:00:00,270.2,1059.05,414889.58,78.57,-1140,0.32,14234.8152,16932.9242,6981.25,337500,3.05,106.53,116.3604313,437.1794625,437.7558125
2021-06-30T00:00:00,270.2,1059.05,415081.67,78.57,-1881,-0.16,17218.4574,18547.8,7300,337500,1.85,106.46,119.7143313,444.975725,445.6288125
2021-07-31T00:00:00,270.2,1059.05,415081.67,78.57,-1881,0.08,15263.1226,19369.6,7300,337500,2.74,106.54,120.8307188,446.8233125,447.535
2021-08-31T00:00:00,270.2,1059.05,415081.67,78.57,-1881,0.03,16678.8868,21443.2,7300,337500,3.31,106.57,121.14935,449.93125,450.7188125
2021-09-30T00:00:00,270.2,1059.05,423351.48,78.57,5020,-0.04,16234.1485,20618.8,6450,337500,3.2,106.53,123.02715,456.30625,456.3075625
2021-10-31T00:00:00,270.2,1059.05,423351.48,78.57,5020,0.12,16293.616,22091,6450,337500,3.01,106.66,129.4636125,468.23125,468.2315
2021-11-30T00:00:00,270.2,1059.05,423351.48,78.57,5020,0.37,19328.188,22845.3,6450,337500,2.98,107.05,132.1689438,473.3324938,473.3325
2021-12-31T00:00:00,272.7,1186.51,413972.37,78.57,1511,0.57,21352.0181,22357.7,7643.75,130000,3.09,107.66,142.6375188,491.6985563,491.9033125
2022-01-31T00:00:00,272.7,1186.51,413972.37,78.57,1511,0.56,18211.1034,19173.699,7643.75,130000,3.45,108.26,134.3469688,476.9746438,477.9243125
2022-02-28T00:00:00,272.7,1186.51,413972.37,78.57,1511,-0.02,16638.5118,20472.8942,7643.75,130000,2.51,108.24,137.2261125,480.63125,480.6334375
2022-03-31T00:00:00,272.7,1186.51,410566.81,78.57,724,0.66,21962.4176,26497.4777,9200,130000,3.59,108.95,140.9119375,488.18125,488.1843125
2022-04-30T00:00:00,272.7,1186.51,410566.81,78.57,724,0.95,19757.4493,27322.2846,9200,130000,5.2,109.98,145.4505313,494.45625,494.46775
2022-05-31T00:00:00,272.7,1186.51,410566.81,78.57,724,0.4,18609.287,21509.8258,9200,130000,5.62,110.42,143.93195,490.925,490.8866875
2022-06-30T00:00:00,272.7,1186.51,401437.56,78.57,4283.3,0.61,21003.8535,26141.1,10200,130000,6.23,111.09,146.2156125,493.0375,493.1716875
2022-07-31T00:00:00,272.7,1186.51,401437.56,78.57,4283.3,0.64,21345.0303,25473.4,10200,130000,9.35,111.8,143.5028375,490.40625,490.347
2022-08-31T00:00:00,272.7,1186.51,401437.56,78.57,4283.3,-0.21,22150.5495,27928.7,10200,130000,7.73,111.57,142.4477188,493.38125,493.60175
2022-09-30T00:00:00,272.7,1186.51,394151.65,78.57,4709,1.17,19808.3443,24777.1755,10556.25,130000,7.91,112.87,145.0551625,497.66875,497.6683125
2022-10-31T00:00:00,272.7,1186.51,394151.65,78.57,4709,-0.11,19135.4,24726.3,10556.25,130000,6.76,112.75,158.6917063,513.8875,513.9409375
2022-11-30T00:00:00,272.7,1186.51,394151.65,78.57,4709,0.09,18962,24059.1,10556.25,130000,5.87,112.85,154.2469563,518.50625,518.584375
2022-12-31T00:00:00,275.8,1319.1,396529.29,78.57,3499,0.66,19939.8,23782.7,10950,455833,5.83,113.59,163.0497938,515.9375,533.001375
2023-01-31T00:00:00,275.8,1319.1,396529.29,78.57,3499,0.34,18442.9,22323.8,10950,455833,5.82,102.55,151.3858875,516.9875,516.989875
2023-02-28T00:00:00,275.8,1319.1,396529.29,78.57,3499,0.16,15919.1,21321.3,10950,455833,7.23,102.75,150.2245938,518.6,518.7905
2023-03-31T00:00:00,275.8,1319.1,404786.66,78.57,2945,0.18,20588.0529,23415.9937,11062.5,455833,6.05,102.99,150.5261813,518.33125,518.3301875
2023-04-30T00:00:00,275.8,1319.1,404786.66,78.57,2945,0.33,15347.6103,19284.0751,11062.5,455833,4.58,103.3,154.5543438,522.0218563,522.021875
2023-05-31T00:00:00,275.8,1319.1,404786.66,78.57,2945,0.09,21279.5947,21706.8335,11062.5,455833,4.27,103.43,151.457375,521.010675,521.0106875
2023-06-30T00:00:00,275.8,1319.1,398113.95,78.57,-2345,0.14,17150.491,20599,11643.75,455833,2.85,103.68,154.1255375,523.3118938,523.311875
2023-07-31T00:00:00,275.8,1319.1,398113.95,78.57,-2345,0.21,19570.3411,20861.3,11643.75,455833,1.9,103.88,152.378675,521.8432688,521.84325
2023-08-31T00:00:00,275.8,1319.1,398113.95,78.57,-2345,-0.02,18879.8264,21996.3,11643.75,455833,3.51,103.86,150.6781813,522.6989438,522.7961875
2023-09-30T00:00:00,275.8,1319.1,395203.02,78.57,-1260,0.19,17341.6087,20746.5457,12262.5,455833,4.17,104.02,155.1393125,527.577275,527.57725
2023-10-31T00:00:00,275.8,1319.1,395203.02,78.57,-1260,0.17,18672.9101,22144.5,12262.5,455833,5.41,104.23,156.1068938,531.6590063,531.659
2023-11-30T00:00:00,275.8,1319.1,395203.02,78.57,-1260,0.38,19586.5468,21995.9,12262.5,455833,6.71,104.71,156.9229938,535.9323188,535.9323125
2023-12-31T00:00:00,278.7,1371.17,408524.49,78.57,-1381,0.41,19107.1394,22391.3,11525,973333,6.18,105.15,167.2083313,551.6581875,551.6581875
2024-01-31T00:00:00,278.7,1371.17,408524.49,78.57,-1381,0.04,18494.5303,20493.1,11525,973333,5.84,105.19,160.295875,545.1218563,545.121875
2024-02-29T00:00:00,278.7,1371.17,408524.49,78.57,-1381,0.37,18440.2,19272.9,11525,973333,6.36,105.58,159.7803,546.2264313,546.223375
2024-03-31T00:00:00,278.7,1371.17,404798.42,78.57,-2577,0.52,17960,22537.7,12775,973333,7.43,106.13,164.9640563,555.7125,555.7140625
2024-04-30T00:00:00,278.7,1371.17,404798.42,78.57,-2577,0.25,16895.6,19615.7,12775,973333,7.04,106.4,163.9581875,558,557.904125
2024-05-31T00:00:00,278.7,1371.17,404798.42,78.57,-2577,-0.03,19399.8,22324.4,12775,973333,6.18,106.37,164.0794375,560.36875,560.5513125
2024-06-30T00:00:00,278.7,1371.17,408225.98,78.57,-3126,-0.08,18450.9,20845.1,13581.25,973333,4.95,106.28,168.2746875,563.4596875,563.4596875
2024-07-31T00:00:00,278.7,1371.17,408225.98,78.57,-3126,-0.18,21737.6,22237.3,13581.25,973333,3.66,106.09,164.079,561.4614375,561.4614375
2024-08-31T00:00:00,278.7,1371.17,408225.98,78.57,-3126,-0.03,20665.2,23440.3,13581.25,973333,3.39,106.06,164.169375,560.9695,560.9695
2024-09-30T00:00:00,278.7,1371.17,428136.03,78.57,-2008,-0.12,18824.7,22055.5,14543.75,973333,2.57,105.93,167.0255,565.4999375,565.4999375
