DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,1318.68,2702.93,557562,618.16,-7553.3314,0.96,37690,26230,4726,945017,5.11,147.2,338.3765271,431.8350588,442.2992941
2019-11-30T00:00:00,1318.68,2702.93,557562,618.16,-7553.3314,0.95,37990,25770,4440,1091946,7.89,148.6,338.1524718,429.7364706,446.0175294
2019-12-31T00:00:00,1332.9,2835.61,563964,634.96,-2604.6159,1.21,38520,27110,6817,1225672,10.01,150.4,339.4049282,433.9454118,453.8858824
2020-01-31T00:00:00,1332.9,2835.61,563964,634.96,-2604.6159,-0.13,39590,25850,8494,1118150,14.12,150.2,345.5393682,447.2723529,451.8162353
2020-02-29T00:00:00,1332.9,2835.61,563964,634.96,-2604.6159,-0.73,41150,27740,4882,1015632,13.63,149.1,349.9177082,455.1592941,460.5517647
2020-03-31T00:00:00,1332.9,2835.61,558437,653,584.3827,-0.34,37900,21490,5799,328462,10.81,148.6,356.43608,485.4056471,477.9184706
2020-04-30T00:00:00,1332.9,2835.61,558437,653,584.3827,1.88,31470,10170,4479,2820,8.76,151.4,355.2609776,475.3318824,491.1127059
2020-05-31T00:00:00,1332.9,2835.61,558437,653,584.3827,-0.33,17090,19250,3611,3764,9.28,150.9,368.4292588,484.5958824,498.1102353
2020-06-30T00:00:00,1332.9,2835.61,555225,661.4,19083.0257,0.6,22860,22030,3573,8590,8.72,151.8,372.1970588,491.1205882,509.5263529
2020-07-31T00:00:00,1332.9,2835.61,555225,661.4,19083.0257,1.38,21320,23780,4638,12655,9.27,153.9,374.2769459,501.7408235,515.8704706
2020-08-31T00:00:00,1332.9,2835.61,555225,661.4,19083.0257,0.52,29120,22830,19150,19761,9.05,154.7,375.6829941,503.7977647,512.8621176
2020-09-30T00:00:00,1332.9,2835.61,556794,668.25,15274.8744,1.16,31030,27560,4282,28167,10.68,156.4,375.2222329,508.8204706,520.3275294
2020-10-31T00:00:00,1332.9,2835.61,556794,668.25,15274.8744,1.28,30520,24920,6838,41494,11,158.4,381.7037765,504.2330588,515.8544706
2020-11-30T00:00:00,1332.9,2835.61,556794,668.25,15274.8744,0.32,34070,23620,10105,70977,9.5,158.9,389.7896376,511.5735294,522.6709412
2020-12-31T00:00:00,1347.12,2674.85,568298,676.64,-2212.2342,-1.01,33810,27220,9218,90544,3.41,157.3,389.9020176,518.8151765,540.2784706
2021-01-31T00:00:00,1347.12,2674.85,568298,676.64,-2212.2342,-0.64,42930,27540,4533,83822,1.89,156.3,395.51942,537.024,542.6787059
2021-02-28T00:00:00,1347.12,2674.85,568298,676.64,-2212.2342,0.19,42030,27630,4310,99640,3.87,156.6,397.4914682,541.6817647,559.4611765
2021-03-31T00:00:00,1347.12,2674.85,573663,695.31,-8134.7791,0.13,40750,35260,4592,123179,4.94,156.8,423.52718,564.0351765,581.2148235
2021-04-30T00:00:00,1347.12,2674.85,573663,695.31,-8134.7791,0.64,48900,30750,6227,69442,2.02,157.8,421.8235235,554.2191765,570.7451765
2021-05-31T00:00:00,1347.12,2674.85,573663,695.31,-8134.7791,1.65,46040,32300,12128,13307,5.01,160.4,435.9331118,557.7268235,574.4430588
2021-06-30T00:00:00,1347.12,2674.85,575261,703.71,6580.7634,0.56,38830,32490,4179,29397,5.15,161.3,435.1749824,567.6361176,581.6176471
2021-07-31T00:00:00,1347.12,2674.85,575261,703.71,6580.7634,0.74,42100,35510,4854,64566,3.96,162.5,437.1714565,571.2861176,583.7257647
2021-08-31T00:00:00,1347.12,2674.85,575261,703.71,6580.7634,0.25,46150,33380,8438,84955,3.11,162.9,432.8461341,565.0802353,586.0109412
2021-09-30T00:00:00,1347.12,2674.85,602900,743.83,-9712.0743,0.18,45090,33810,6543,106704,0.68,163.2,430.5155259,567.1076471,582.138
2021-10-31T00:00:00,1347.12,2674.85,602900,743.83,-9712.0743,1.41,56290,35730,5566,181325,0.85,165.5,435.7001024,568.3991765,584.6063529
2021-11-30T00:00:00,1347.12,2674.85,602900,743.83,-9712.0743,0.73,53640,31800,6107,251993,1.87,166.7,439.5419765,574.5131765,612.5578824
2021-12-31T00:00:00,1361.34,3167.27,613149,754.1,-22156.2694,-0.36,53030,39270,6670,303799,4.05,166.2,447.3853094,604.4956471,600.1362353
2022-01-31T00:00:00,1361.34,3167.27,613149,754.1,-22156.2694,-0.3,60330,35230,8913,201546,5.43,165.7,448.7468447,592.3595294,602.4634118
2022-02-28T00:00:00,1361.34,3167.27,613149,754.1,-22156.2694,0.24,52570,37150,6448,240896,5.85,166.1,452.6459471,604.5145882,615.3784706
2022-03-31T00:00:00,1361.34,3167.27,619076,760.42,-13403.6186,0.96,55900,44570,6685,342308,7.68,167.7,478.6925565,624.3676471,621.8423529
2022-04-30T00:00:00,1361.34,3167.27,619076,760.42,-13403.6186,1.43,63090,39700,8375,392930,8.38,170.1,477.5577353,621.9042353,643.7365882
2022-05-31T00:00:00,1361.34,3167.27,619076,760.42,-13403.6186,0.94,58060,39000,8070,423701,7.84,171.7,481.4284412,623.3056471,647.6474118
2022-06-30T00:00:00,1361.34,3167.27,612836,767.89,-17945.4576,0.52,61130,42280,5951,522737,7.75,172.6,482.82646,617.1583529,642.6197647
2022-07-31T00:00:00,1361.34,3167.27,612836,767.89,-17945.4576,0.46,64350,38340,6978,669499,6.75,173.4,486.3533153,624.0234118,648.8251765
2022-08-31T00:00:00,1361.34,3167.27,612836,767.89,-17945.4576,0.52,63770,37020,4603,524756,7.62,174.3,477.5977859,621.6064706,643.5954118
2022-09-30T00:00:00,1361.34,3167.27,605641,785.35,-30885.2423,0.57,61880,35390,5026,551580,8.6,175.3,485.8719718,615.0635294,638.9702353
2022-10-31T00:00:00,1361.34,3167.27,605641,785.35,-30885.2423,0.8,63370,31600,5131,677055,7.01,176.7,484.5734212,626.5844706,650.546
2022-11-30T00:00:00,1361.34,3167.27,605641,785.35,-30885.2423,-0.11,57910,34890,4335,768675,4.67,176.5,487.8750106,630.1632941,652.2250588
2022-12-31T00:00:00,1373.76,3353.47,611737,787.36,-16816.6235,-0.45,56950,38070,6514,966270,4.19,175.7,493.5719141,650.2475294,655.4171765
2023-01-31T00:00:00,1373.76,3353.47,611737,787.36,-16816.6235,0.46,61220,35780,6177,868160,5.94,176.5,497.2422129,650.6050588,663.3361176
2023-02-28T00:00:00,1373.76,3353.47,611737,787.36,-16816.6235,0.17,52830,37010,5040,865779,5.95,176.8,500.0655824,656.3801176,680.8965882
2023-03-31T00:00:00,1373.76,3353.47,624192,794.63,-1336.1956,0.23,53580,41970,4572,795827,4.79,177.2,516.0892765,667.6229412,680.0363529
2023-04-30T00:00:00,1373.76,3353.47,624192,794.63,-1336.1956,0.51,60010,34700,6930,603985,3.84,178.1,526.36234,670.1835294,693.6722353
2023-05-31T00:00:00,1373.76,3353.47,624192,794.63,-1336.1956,0.56,50150,35010,5306,598480,2.96,179.1,520.2343435,670.622,694.1816471
2023-06-30T00:00:00,1373.76,3353.47,628886,797.43,-8945,1.06,57030,32970,5443,648008,4.49,181,514.1557729,694.5335294,718.0931765
2023-07-31T00:00:00,1373.76,3353.47,628886,797.43,-8945,2.93,53100,32250,4392,786486,11.51,186.3,512.3911129,668.8357647,692.3954118
2023-08-31T00:00:00,1373.76,3353.47,628886,797.43,-8945,-0.05,52920,38280,4742,664155,9.94,186.2,524.1842176,662.1521176,685.7414118
2023-09-30T00:00:00,1373.76,3353.47,635324,800.78,-11264,-1.13,62300,34470,6210,666946,6.62,184.1,517.0948894,660.3350588,683.8947059
2023-10-31T00:00:00,1373.76,3353.47,635324,800.78,-11264,0.65,53840,33570,8373,832233,6.61,185.3,511.2476671,666.4748235,690.4070588
2023-11-30T00:00:00,1373.76,3353.47,635324,800.78,-11264,0.54,65030,33900,5090,948631,8.7,186.3,520.5360259,679.7937647,703.2437647
2023-12-31T00:00:00,1386.18,3567.55,648200,803.58,-10416,-0.3,54480,38450,4523,101914,9.5,185.7,522.9796459,696.1947059,719.7032941
2024-01-31T00:00:00,1386.18,3567.55,648200,803.58,-10416,-0.11,58250,36920,8352,958733,8.3,185.5,528.6847059,694.3112941,717.8541176
2024-02-29T00:00:00,1386.18,3567.55,648200,803.58,-10416,0.16,54410,41400,5006,1002664,8.66,185.8,530.7434118,700.7023529,724.2383529
2024-03-31T00:00:00,1386.18,3567.55,663800,822.09,4588,0,60110,41680,5957,859688,8.52,185.8,544.8760082,716.6705882,727.7116471
2024-04-30T00:00:00,1386.18,3567.55,663800,822.09,4588,0.48,57280,34990,7269,650748,8.7,186.7,556.9694753,723.216,746.2383529
2024-05-31T00:00:00,1386.18,3567.55,663800,822.09,4588,0.48,54090,38130,7891,600496,8.7,187.7,550.1969694,730.7758824,754.2788235
