DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,124.57,1256.3002,611230.13,120.06,-253.98,0.54,41449.532,40762.123,8218.7,1633909,4.26,104.503,240.9614428,499.2843018,584.5532606
2019-11-30T00:00:00,124.57,1256.3002,611230.13,120.06,-253.98,0.81,36697.66,37484.491,8218.7,1998762,3.52,105.346,250.6617286,506.9383006,593.1833973
2019-12-31T00:00:00,125.76,1304.1062,621607.43,120.07,2840.85,0.56,35587.869,38654.441,4682.3,2715240,2.52,105.934,261.2241673,518.1246706,597.8865059
2020-01-31T00:00:00,125.76,1304.1062,621607.43,120.07,2840.85,0.48,36062,33580.843,4682.3,2042953,3.37,106.447,253.1176908,513.8788989,596.0839287
2020-02-29T00:00:00,125.76,1304.1062,621607.43,120.07,2840.85,0.42,33715.379,36433.717,4682.3,2100066,5.92,106.889,255.5944548,521.7120559,603.1167336
2020-03-31T00:00:00,125.76,1304.1062,591936.86,120.07,-7033.89,-0.05,34995.932,38310.269,16810.4,1188038,6.81,106.838,270.7886592,541.6777939,624.4588723
2020-04-30T00:00:00,125.76,1304.1062,591936.86,120.07,-7033.89,-1.01,26457.052,23222.658,16810.4,84616,6.71,105.755,283.8721127,561.6890581,644.1322224
2020-05-31T00:00:00,125.76,1304.1062,591936.86,120.07,-7033.89,0.38,21578.337,18116.042,16810.4,144532,7.6,106.162,286.5157856,560.6186949,647.8848821
2020-06-30T00:00:00,125.76,1304.1062,605671.46,120.01,-354.95,0.55,27512.168,33047.725,7306.5,308409,6.87,106.743,287.421247,561.7677731,645.0507823
2020-07-31T00:00:00,125.76,1304.1062,605671.46,120.01,-354.95,0.66,29844.448,35499.49,7306.5,529467,6.21,107.444,291.4467348,565.6369422,652.4600794
2020-08-31T00:00:00,125.76,1304.1062,605671.46,120.01,-354.95,0.39,30845.723,37001.121,7306.5,532767,7.45,107.867,291.3389094,564.9244535,653.5733815
2020-09-30T00:00:00,125.76,1304.1062,609943.85,119.94,16928.98,0.23,34142.602,38539.74,1342.1,593763,7.55,108.114,290.1919917,562.3921793,654.2796578
2020-10-31T00:00:00,125.76,1304.1062,609943.85,119.94,16928.98,0.61,35694.81,41950.815,1342.1,822578,8.09,108.774,296.0688519,562.286389,658.1028168
2020-11-30T00:00:00,125.76,1304.1062,609943.85,119.94,16928.98,0.08,35257.525,38313.68,1342.1,985459,7.07,108.856,299.1425371,563.2294863,661.7427452
2020-12-31T00:00:00,126.8,1121.0648,628510.19,120.06,17330.74,0.38,36879.948,43154.635,2765.5,1482246,5.8,109.271,313.6502756,576.4292438,671.6901893
2021-01-31T00:00:00,126.8,1121.0648,628510.19,120.06,17330.74,0.86,33910.702,32716.091,2765.5,818005,5.1,110.21,310.5126447,579.7194739,679.1893576
2021-02-28T00:00:00,126.8,1121.0648,628510.19,120.06,17330.74,0.63,33486.199,36213.207,2765.5,697166,4.27,110.907,310.0991102,578.1616351,681.3583481
2021-03-31T00:00:00,126.8,1121.0648,613847.44,119.87,-9317.72,0.83,45974.454,43029.98,16462.5,1176944,4.37,111.824,316.2457696,584.2436589,691.7570178
2021-04-30T00:00:00,126.8,1121.0648,613847.44,119.87,-9317.72,0.33,39259.65,40944.531,16462.5,1184964,5.45,112.19,316.5999134,584.2922356,693.6280803
2021-05-31T00:00:00,126.8,1121.0648,613847.44,119.87,-9317.72,0.2,40458.684,40845.6,16462.5,1510286,5.65,112.419,317.6355847,585.311935,697.75436
2021-06-30T00:00:00,126.8,1121.0648,615443.63,120.06,6113.47,0.53,41909.429,42619.373,5885.2,1828183,6.76,113.018,319.9271486,589.3891399,695.6890832
2021-07-31T00:00:00,126.8,1121.0648,615443.63,120.06,6113.47,0.59,44950.628,40952.956,5885.2,2012324,7.3,113.682,326.0497194,593.7505945,707.5740866
2021-08-31T00:00:00,126.8,1121.0648,615443.63,120.06,6113.47,0.19,44215.64,40471.381,5885.2,1436404,7.9,113.899,325.2320181,596.8688023,711.5558394
2021-09-30T00:00:00,126.8,1121.0648,614515.16,119.93,-3540.74,0.62,44078.456,41754.363,6442.3,1251439,8.8,114.601,326.7133516,598.1863371,715.2603754
2021-10-31T00:00:00,126.8,1121.0648,614515.16,119.93,-3540.74,0.84,44658.126,41858.778,6442.3,1596801,8.42,115.561,329.7814372,604.4884412,723.5612234
2021-11-30T00:00:00,126.8,1121.0648,614515.16,119.93,-3540.74,1.14,45698.67,45676.554,6442.3,1892953,10.8,116.884,339.1859054,619.0374453,737.445474
2021-12-31T00:00:00,127.65,1316.5695,602085.8,120.03,2182.43,0.36,47102.458,47866.2,4737.6,2638852,11.63,117.308,354.2852161,633.8774088,748.1147584
2022-01-31T00:00:00,127.65,1316.5695,602085.8,120.03,2182.43,0.59,40185.365,33923.041,4737.6,1652812,11.91,118.002,349.8601158,623.6702273,739.1923882
2022-02-28T00:00:00,127.65,1316.5695,602085.8,120.03,2182.43,0.83,44953.077,46288.481,4737.6,1783394,12.64,118.981,353.791462,631.5449906,747.1818908
2022-03-31T00:00:00,127.65,1316.5695,604283.93,119.91,-11580.65,0.99,51801.683,51948.842,22785.8,2327416,12.99,120.159,352.8963581,631.8525616,752.5781126
2022-04-30T00:00:00,127.65,1316.5695,604283.93,119.91,-11580.65,0.54,49363.532,47580.499,22785.8,2097629,12.79,120.809,357.1649374,639.1691486,759.8396548
2022-05-31T00:00:00,127.65,1316.5695,604283.93,119.91,-11580.65,0.18,52220.452,49964.769,22785.8,2005094,12.52,121.022,356.6288942,641.5245422,764.4617734
