DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD),,,,,,,,
2019-10-31T00:00:00,146.9,1657.33,474900,2241.86,10749,0.13,23837,37010,8944,2032666,4.21,181,116.9325,276.690375,601.03,,,,,,,,
2019-11-30T00:00:00,146.9,1657.33,474900,2241.86,10749,0.28,23217,35766,8944,2032666,3.65,181.5,117.425,281.597,614.94125,,,,,,,,
2019-12-31T00:00:00,146.8,1693.12,491500,2271.16,10793,0.36,24345,39623,6098,2045916,2.58,182.2,120.73,298.2715,645.75375,,,,,,,,
2020-01-31T00:00:00,146.8,1693.12,491500,2271.16,10793,0.4,17082,30588,6098,2045916,1.99,182.9,118.6125,291.968375,632.78625,,,,,,,,
2020-02-29T00:00:00,146.8,1693.12,491500,2271.16,10793,0.33,18450,28682,6098,2045916,1.77,183.5,120.885,300.29925,641.4275,,,,,,,,
2020-03-31T00:00:00,146.8,1693.12,458700,2299.15,23862,0.55,20486,29970,-3759,2045916,2.2,184.5,128.0125,314.204625,654.0875,,,,,,,,
2020-04-30T00:00:00,146.8,1693.12,458700,2299.15,23862,0.83,17552,24977,-3759,2045916,3.52,186.1,136.4,324.891875,661.89625,,,,,,,,
2020-05-31T00:00:00,146.8,1693.12,458700,2299.15,23862,0.27,17222,20986,-3759,2045916,3.26,186.6,140.11625,330.892625,663.35,,,,,,,,
2020-06-30T00:00:00,146.8,1693.12,483400,2299.87,1265,0.22,19141,24483,6257,2045916,3.94,187,143.955,347.716125,679.9075,,,,,,,,
2020-07-31T00:00:00,146.8,1693.12,483400,2299.87,1265,0.35,19746,24643,6257,2045916,4.2,187.6,147.7225,351.10275,683.5925,,,,,,,,
2020-08-31T00:00:00,146.8,1693.12,483400,2299.87,1265,-0.04,19958,23273,6257,2045916,4.3,187.6,149.39125,362.842375,691.1775,,,,,,,,
2020-09-30T00:00:00,146.8,1693.12,462800,2298.65,3760,-0.07,20526,31005,2434,2045916,4.37,187.4,150.91,368.91825,700.29875,,,,,,,,
2020-10-31T00:00:00,146.8,1693.12,462800,2298.65,3760,0.43,21911,28607,2434,2045916,4.83,188.2,151.97125,370.278875,698.395,,,,,,,,
2020-11-30T00:00:00,146.8,1693.12,462800,2298.65,3760,0.71,22770,30154,2434,2045916,5.76,189.6,151.6825,379.93475,701.5325,,,,,,,,
2020-12-31T00:00:00,146.7,1493.08,467600,2298.53,6485,0.83,25244,36162,2434,529913,6.69,191.1,156.54875,397.32025,733.15125,,,,,,,,
2021-01-31T00:00:00,146.7,1493.08,467600,2298.53,6485,0.67,17326,26679,2434,529913,7.03,192.4,155.36375,394.003375,719.98,,,,,,,,
2021-02-28T00:00:00,146.7,1493.08,467600,2298.53,6485,0.78,20639,30318,2434,529913,7.72,193.9,156.72625,401.973375,727.2275,,,,,,,,
2021-03-31T00:00:00,146.7,1493.08,460600,2295.42,24111,0.66,24920,36309,4547,529913,7.58,195.2,157.12125,402.47775,728.27,,,,,,,,
2021-04-30T00:00:00,146.7,1493.08,460600,2295.42,24111,0.58,25629,36504,4547,529913,6.55,196.3,160.74875,412.87925,740.07875,,,,,,,,
2021-05-31T00:00:00,146.7,1493.08,460600,2295.42,24111,0.74,24524,34858,4547,529913,7.4,197.8,159.40375,415.958375,739.92625,,,,,,,,
2021-06-30T00:00:00,146.7,1493.08,474100,2292.31,17602,0.7,25323,43266,5911,529913,7.9,199.1,159.83125,421.92125,744.79875,,,,,,,,
