DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,30.196,846.58,68000,323.07,7295.29,0.1,13280,20469.86667,7295.29,1277500,2.5,2.5,343.6616,462.048,507.3354667
2019-11-30T00:00:00,30.196,846.58,68000,323.07,7295.29,-0.1,11754.4,21555.73333,7295.29,1277500,2.4,2.4,345.5386667,459.3592,510.9482667
2019-12-31T00:00:00,30.064,838.56,81400,323.07,6418.81,0.2,13605.6,22890.4,6418.81,1277500,3,3,343.5496,477.3274667,529.3704
2020-01-31T00:00:00,30.064,838.56,81400,323.07,6418.81,-0.2,12271.46667,21940,6418.81,1277500,1.9,1.9,341.9861333,472.8074667,519.6794667
2020-02-29T00:00:00,30.064,838.56,81400,323.07,6418.81,0.3,11478.4,17025.6,6418.81,1277500,3.4,3.4,353.5237333,477.6288,524.9064
2020-03-31T00:00:00,30.064,838.56,81400,323.07,-2444.57,0.1,11551.73333,12147.2,-2444.57,1277500,3.9,3.9,364.0250667,486.7698667,535.7448
2020-04-30T00:00:00,30.064,838.56,81400,323.07,-2444.57,-0.1,11144,10170.4,-2444.57,1277500,6.1,6.1,374.5621333,493.7672,542.8834667
2020-05-31T00:00:00,30.064,838.56,81400,323.07,-2444.57,-0.2,9844.266667,9956,-2444.57,1277500,7,7,384.472,502.1661333,553.4181333
2020-06-30T00:00:00,30.064,838.56,81400,323.07,-20984.91,-0.3,12304.8,11781.86667,-20984.91,1277500,6.7,6.7,380.06,498.3242667,547.0834667
2020-07-31T00:00:00,30.064,838.56,81400,323.07,-20984.91,5.9,10746.13333,13622.66667,-20984.91,1277500,14.3,14.3,378.9058667,497.0986667,546.5864
2020-08-31T00:00:00,30.064,838.56,81400,323.07,-20984.91,0.2,10863.73333,14965.33333,-20984.91,1277500,13.5,13.5,383.1408,501.7298667,553.3029333
2020-09-30T00:00:00,30.064,838.56,81400,323.07,-1597.05,-0.2,11198.66667,14233.33333,-1597.05,1277500,12.6,12.6,381.8224,502.0938667,556.8034667
2020-10-31T00:00:00,30.064,838.56,81400,323.07,-1597.05,0.1,11476,14907.2,-1597.05,1277500,13,13,383.7736,508.4613333,561.8973333
2020-11-30T00:00:00,30.064,838.56,81400,323.07,-1597.05,-0.1,12990.66667,15681.6,-1597.05,1277500,13,13,390.4818667,516.2109333,570.3981333
2020-12-31T00:00:00,31.553,734.27,93600,323.07,-520.71,-0.2,12127.73333,17422.66667,-520.71,1460833,12.7,12.7,397.0469333,523.4245333,573.1378667
2021-01-31T00:00:00,31.553,734.27,93600,323.07,-520.71,0.2,12813.6,18630.13333,-520.71,1460833,12.3,12.3,395.2682667,514.8232,567.2802667
2021-02-28T00:00:00,31.553,734.27,93600,323.07,-520.71,-0.1,10944.26667,17222.66667,-520.71,1460833,11.2,11.2,399.8434667,519.6794667,576.3189333
2021-03-31T00:00:00,31.553,734.27,93600,323.07,-779.26,-0.1,13413.33333,19622.4,-779.26,1460833,10.2,10.2,405.2408,525.9629333,583.2813333
2021-04-30T00:00:00,31.553,734.27,93600,323.07,-779.26,0.2,13254.13333,18467.2,-779.26,1460833,8.4,8.4,410.2208,526.8226667,587.9373333
2021-05-31T00:00:00,31.553,734.27,93600,323.07,-779.26,0.2,11790.4,20955.46667,-779.26,1460833,7.4,7.4,409.7402667,526.8333333,590.244
2021-06-30T00:00:00,31.553,734.27,93600,323.07,6071.22,0.2,12401.86667,22491.46667,6071.22,1460833,8.1,8.1,411.1970667,529.9157333,597.0098667
2021-07-31T00:00:00,31.553,734.27,93600,323.07,6071.22,0.2,12426.66667,23646.4,6071.22,1460833,1.2,1.2,407.3904,527.6234667,600.1578667
2021-08-31T00:00:00,31.553,734.27,93600,323.07,6071.22,0.1,13554.66667,23923.73333,6071.22,1460833,1.9,1.9,404.892,527.9258667,597.1533333
2021-09-30T00:00:00,31.553,734.27,93600,323.07,15143.69,0.2,12620.53333,25388,15143.69,1460833,2.4,2.4,408.136,530.8170667,603.3064
2021-10-31T00:00:00,31.553,734.27,93600,323.07,15143.69,0.2,12227.2,28269.06667,15143.69,1460833,1.4,1.4,407.2002667,533.9162667,606.1218667
2021-11-30T00:00:00,31.553,734.27,93600,323.07,15143.69,0.2,13215.73333,29017.06667,15143.69,1460833,1.6,1.6,410.7578667,537.8226667,606.3842667
2021-12-31T00:00:00,30.784,874.16,101100,323.07,20097.98,-0.1,14187.46667,28545.06667,20097.98,345000,1.1,1.1,417.1930667,549.2824,615.6853333
2022-01-31T00:00:00,30.784,874.16,101100,323.07,20097.98,0.2,13960.26667,29127.73333,20097.98,345000,2,2,412.5794667,541.3301333,611.9533333
2022-02-28T00:00:00,30.784,874.16,101100,323.07,20097.98,0.3,13137.6,30899.2,20097.98,345000,2.4,2.4,417.0296,547.4114667,621.4085333
2022-03-31T00:00:00,30.784,874.16,101100,323.07,40908.48,0.3,15010.13333,37867.2,40908.48,345000,3,3,422.4498667,556.9554667,632.5309333
2022-04-30T00:00:00,30.784,874.16,101100,323.07,40908.48,0.4,15286.4,36720.53333,40908.48,345000,4.3,4.3,420.8210667,562.3066667,638.9506667
2022-05-31T00:00:00,30.784,874.16,101100,323.07,40908.48,0.1,14922.4,38134.4,40908.48,345000,4.2,4.2,418.5984,556.5792,635.9906667
2022-06-30T00:00:00,30.784,874.16,101100,323.07,42264.92,0.2,16552.26667,39226.13333,42264.92,345000,4.4,4.4,425.9949333,570.7928,650.3976
2022-07-31T00:00:00,30.784,874.16,101100,323.07,42264.92,0.5,15348.26667,37372.8,42264.92,345000,3.9,3.9,425.4872,563.9778667,648.6832
2022-08-31T00:00:00,30.784,874.16,101100,323.07,42264.92,0.4,17012.53333,35627.73333,42264.92,345000,4,4,425.4256,565.4586667,650.8090667
2022-09-30T00:00:00,30.784,874.16,101100,323.07,47003.29,0.3,16389.06667,33414.4,47003.29,345000,4.3,4.3,425.788,570.6477333,657.5448
2022-10-31T00:00:00,30.784,874.16,101100,323.07,47003.29,0.2,17673.33333,33665.86667,47003.29,345000,4.35,4.35,407.8621333,568.9074667,658.8506667
2022-11-30T00:00:00,30.784,874.16,101100,323.07,47003.29,0.1,17267.73333,30026.13333,47003.29,345000,3.49,3.49,406.8597333,576.276,662.82
2022-12-31T00:00:00,32.175,1108.57,100000,323.07,20176.81,0.3,17317.06667,29102.13333,20176.81,345000,4.17,4.17,407.5002667,582.104,665.4325333
2023-01-31T00:00:00,32.175,1108.57,100000,323.07,20176.81,0.2,17619.2,28124.8,20176.81,290000,4.24,4.24,400.1394667,576.5453333,660.2421333
2023-02-28T00:00:00,32.175,1108.57,100000,323.07,20176.81,-0.1,14985.6,25859.2,20176.81,290000,3.11,3.11,402.9658667,580.1514667,667.5170667
2023-03-31T00:00:00,32.175,1108.57,100000,323.07,15181.02,0.1,17782.93333,28538.66667,15181.02,290000,2.34,2.34,416.5186667,602.7682667,695.5517333
2023-04-30T00:00:00,32.175,1108.57,100000,323.07,15181.02,0.4,16297.86667,27397.86667,15181.02,290000,1.03,1.03,413.8629333,602.2994667,699.4285333
2023-05-31T00:00:00,32.175,1108.57,100000,323.07,15181.02,0.2,18249.86667,26410.4,15181.02,290000,0.94,0.94,412.2826667,604.4877333,694.0762667
2023-06-30T00:00:00,32.175,1108.57,100000,323.07,11914.75,0.2,16213.33333,24872.8,11914.75,290000,0.99,0.99,412.5328,617.9432,709.4816
2023-07-31T00:00:00,32.175,1108.57,100000,323.07,11914.75,0.1,17811.73333,24705.06667,11914.75,290000,1.37,1.37,410.5325333,616.8016,709.2472
2023-08-31T00:00:00,32.175,1108.57,100000,323.07,11914.75,0,17983.2,27433.86667,11914.75,290000,0.36,0.36,407.4469333,623.3122667,713.1936
2023-09-30T00:00:00,32.175,1108.57,100000,323.07,4970.37,0,16201.33333,27758.66667,4970.37,290000,-0.25,-0.25,410.2322667,626.5824,710.2202667
2023-10-31T00:00:00,32.175,1108.57,100000,323.07,4970.37,0.1,19964.53333,27718.66667,4970.37,290000,0.78,0.78,405.3544,629.8656,716.9178667
2023-11-30T00:00:00,32.175,1108.57,100000,323.07,4970.37,0.2,17243.46667,25335.46667,4970.37,290000,1.43,1.43,411.7581333,635.2909333,712.1336
2023-12-31T00:00:00,33.7027,1067.58,108200,323.07,3067.12,0.1,16586.66667,25862.93333,3067.12,1375833,1.2,1.2,406.4573333,636.876,716.0914667
2024-01-31T00:00:00,33.7027,1067.58,108200,323.07,3067.12,0.3,17876.53333,25312.53333,3067.12,1375833,1.03,1.03,407.9365333,638.4224,725.5885333
2024-02-29T00:00:00,33.7027,1067.58,108200,323.07,3067.12,0.2,17840,25675.73333,3067.12,1375833,1.28,1.28,417.3938667,641.0026667,734.9848
2024-03-31T00:00:00,33.7027,1067.58,108200,323.07,7659.71,-0.1,19702.4,27614.66667,7659.71,1375833,0.93,0.93,435.8946667,660.7608,752.9986667
2024-04-30T00:00:00,33.7027,1067.58,108200,323.07,7659.71,0.3,17163.73333,27033.6,7659.71,1375833,0.77,0.77,428.5426667,653.1522667,744.8834667
2024-05-31T00:00:00,33.7027,1067.58,108200,323.07,7659.71,0.2,20026.4,28058.13333,7659.71,1375833,1.4,1.4,432.3597333,669.5754667,753.524
2024-06-30T00:00:00,33.7027,1067.58,108200,323.07,2728.78,0.1,18355.73333,23684.26667,2728.78,1375833,1.13,1.13,440.1626667,681.1525333,772.9882667
2024-07-31T00:00:00,33.7027,1067.58,108200,323.07,2728.78,0.1,20663.46667,25331.73333,2728.78,1375833,0.37,0.37,433.2418667,681.3058667,765.2768
2024-08-31T00:00:00,33.7027,1067.58,108200,323.07,2728.78,0.1,18593.33333,24801.06667,2728.78,1375833,0.92,0.92,443.6688,691.5776,775.1029333
2024-09-30T00:00:00,33.7027,1067.58,108200,323.07,-8654.86,0.1,19553.6,23722.66667,-8654.86,1375833,0.82,0.82,444.6778667,697.1754667,784.9762667
