DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,57.67,405.26,177676,125.31,-10203.83333,0,6662.103411,6873.993306,1006944.444,1297483,3.6,78.6,101.6419444,166.5255,209.2120556
2019-11-30T00:00:00,57.67,405.26,177676,125.31,-10203.83333,0.1,6134.858672,6486.543417,1006944.444,1336068,3.5,78.7,102.1822222,168.4944444,210.2878889
2019-12-31T00:00:00,59.35,389.33,185358,125.31,-4787.833333,0.2,4940.354672,5730.533117,942444.4444,1559368,3.9,78.9,101.96,168.5803889,209.384
2020-01-31T00:00:00,59.35,389.33,185358,125.31,-4787.833333,0.3,5759.860883,5577.250067,942444.4444,1595388,3.8,79.2,102.0381111,168.6106111,211.2550556
2020-02-29T00:00:00,59.35,389.33,185358,125.31,-4787.833333,1,5299.477578,6030.373867,942444.4444,1218468,4.2,79.9,101.9393333,169.2553889,214.0402222
2020-03-31T00:00:00,59.35,389.33,155624,125.31,3703.611111,0.3,5229.254728,6397.161611,1534611.111,863232,4.2,80.2,114.1233333,179.7992222,221.1720556
2020-04-30T00:00:00,59.35,389.33,155624,125.31,3703.611111,-0.5,4865.367317,2858.281122,1534611.111,29341,4.3,79.8,114.8858889,184.3792778,226.1637778
2020-05-31T00:00:00,59.35,389.33,155624,125.31,3703.611111,-0.6,4771.819078,5589.547261,1534611.111,49481,4.4,79.2,114.2268333,184.6975556,227.3203333
2020-06-30T00:00:00,59.35,389.33,156340,125.31,-6122.555556,0.5,3883.5749,6431.422317,1091888.889,62841,4.2,79.7,114.4971111,184.2013889,228.6251111
2020-07-31T00:00:00,59.35,389.33,156340,125.31,-6122.555556,1.3,4703.585922,6821.686167,1091888.889,68914,4.4,80.7,114.4836111,186.1262222,229.1665
2020-08-31T00:00:00,59.35,389.33,156340,125.31,-6122.555556,0.2,5064.087322,7283.133328,1091888.889,67051,3.9,80.9,119.2402778,191.6492778,231.0894444
2020-09-30T00:00:00,59.35,389.33,156862,125.31,16953.55556,0.1,5675.999422,7502.559156,-675166.6667,75273,3.8,81,117.8004444,188.7875556,228.1612778
2020-10-31T00:00:00,59.35,389.33,156862,125.31,16953.55556,0.3,6272.193833,8151.805872,-675166.6667,124165,5.4,81.2,120.1815,192.6829444,229.7853889
2020-11-30T00:00:00,59.35,389.33,156862,125.31,16953.55556,0,5685.506533,7625.147456,-675166.6667,152694,5.8,81.2,122.6236667,193.3941111,227.5154444
2020-12-31T00:00:00,59.96,337.97,170407,125.35,9806.277778,0.1,5223.521733,7025.013528,848777.7778,279539,5.9,81.3,121.632,193.8729444,229.3472222
2021-01-31T00:00:00,59.96,337.97,170407,125.35,9806.277778,0.4,5425.478239,6147.940539,848777.7778,195861,5.4,81.7,121.6182222,193.1997222,230.8932222
2021-02-28T00:00:00,59.96,337.97,170407,125.35,9806.277778,0.6,5567.305783,7287.177289,848777.7778,136510,5.2,82.2,122.0262222,191.4128889,230.3395
2021-03-31T00:00:00,59.96,337.97,164741,125.35,14745.94444,0.7,6411.448072,9341.425906,362222.2222,223135,5.7,82.8,124.9523889,192.705,229.8339444
2021-04-30T00:00:00,59.96,337.97,164741,125.35,14745.94444,0.6,6103.484422,8759.603461,362222.2222,248314,6.3,83.3,122.0242778,192.5023333,230.2696667
2021-05-31T00:00:00,59.96,337.97,164741,125.35,14745.94444,0.1,6048.182139,8840.145872,362222.2222,258521,6.6,83.4,123.9832222,191.5268333,231.1942222
2021-06-30T00:00:00,59.96,337.97,170603,125.35,16644.44444,0.2,6034.854389,8781.534189,960166.6667,253857,6.7,83.5,121.41,187.5922222,231.0865
2021-07-31T00:00:00,59.96,337.97,170603,125.35,16644.44444,1.1,5982.709728,7922.992744,960166.6667,217373,6.6,84.5,122.8901111,193.8920556,233.0903889
2021-08-31T00:00:00,59.96,337.97,170603,125.35,16644.44444,0.4,6449.594011,8740.629872,960166.6667,268946,6.9,84.8,126.5474444,196.6771111,235.4798889
2021-09-30T00:00:00,59.96,337.97,165032,125.35,12189.44444,0.2,7511.424939,8725.159156,31238444.44,291042,6.7,85,127.2588889,197.8024444,236.8421667
