DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,51.585,1725.37,458199.9,104.45,8035.8,0.2,41396.517,46648.756,3612.512,1656195,-1.27,100.04,638.3822857,2046.903643,2909.552071
2019-11-30T00:00:00,51.585,1725.37,458199.9,104.45,5876.6,-0.6,40729.215,44040.722,3612.512,1456429,-0.72,99.48,652.0006429,2074.279857,2936.727857
2019-12-31T00:00:00,51.764,1651.42,466978.7,104.45,4636.9,0.2,43687.43,45668.341,9843.253,1456888,0.14,99.72,671.4797143,2089.91,2941.403857
2020-01-31T00:00:00,51.764,1651.42,466978.7,104.45,184.5,0.4,42718.1,43103.061,9843.253,1272708,1.43,100.09,671.1606429,2090.292929,2964.559786
2020-02-29T00:00:00,51.764,1651.42,466978.7,104.45,6708.2,0.1,36977.247,40911.819,9843.253,685212,0.23,100.16,695.4081429,2113.059571,2990.686857
2020-03-31T00:00:00,51.764,1651.42,485814.7,104.45,5825.8,-0.2,41803.86,46167.204,3275.164,83497,2.67,99.94,716.0813571,2134.426357,3019.802857
2020-04-30T00:00:00,51.764,1651.42,485814.7,104.45,-4023.8,-0.4,37932.611,36270.183,3275.164,29415,1.38,99.5,732.1220714,2157.305,3046.465214
2020-05-31T00:00:00,51.764,1651.42,485814.7,104.45,1942.1,-0.1,34661.974,34854.511,3275.164,30806,2.75,99.44,749.353,2182.540643,3074.148714
2020-06-30T00:00:00,51.764,1651.42,510961.1,104.45,7039.3,0.3,35794.86,39214.071,4387.399,36938,4.13,99.71,770.9850714,2197.967214,3083.272429
2020-07-31T00:00:00,51.764,1651.42,510961.1,104.45,7225.9,-0.1,38849.185,42785.144,4387.399,61012,5.57,99.63,779.466,2212.732143,3105.316429
2020-08-31T00:00:00,51.764,1651.42,510961.1,104.45,6589,0.6,35817.929,39469.231,4387.399,68797,7.36,100.19,793.0313571,2216.984857,3104.823071
2020-09-30T00:00:00,51.764,1651.42,542448.4,104.45,10672.3,0.5,39400.19,47819.948,5225.581,65040,7.69,100.74,811.5827857,2237.015214,3128.714714
2020-10-31T00:00:00,51.764,1651.42,542448.4,104.45,12057.1,-0.6,39093.795,44818.534,5225.581,61585,7.54,100.18,814.9577857,2258.368357,3160.323786
2020-11-30T00:00:00,51.764,1651.42,542448.4,104.45,9618.8,-0.1,39944.763,45751.883,5225.581,61764,6.58,100.09,835.0280714,2284.283857,3187.64
2020-12-31T00:00:00,51.836,1644.31,568105.2,104.45,12063,0.2,44638.246,51332.449,7858.413,62344,5.77,100.33,841.9632857,2282.776643,3186.414571
2021-01-31T00:00:00,51.836,1644.31,568105.2,104.45,5762.3,0.7,44456.822,48006.974,7858.413,58397,6.41,101.04,848.0679286,2301.519571,3218.394786
2021-02-28T00:00:00,51.836,1644.31,568105.2,104.45,6520.2,0.5,42404.636,44706.907,7858.413,65582,9.34,101.58,867.3333571,2333.984214,3246.7415
2021-03-31T00:00:00,51.836,1644.31,568105.2,104.45,6688.8,0.3,49742.555,53690.914,4740.372,74604,7.93,101.84,891.2795,2372.750429,3292.941357
