DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,82,778.97,416054,385.45,3401,2,18176.4635,16410.7817,262,4291574,7.85,435.59,28.99131337,101.624788,106.4454622
2019-11-30T00:00:00,82,778.97,416054,385.45,314,0.38,18228.3851,16242.6504,275,2190622,8.89,437.25,29.4381702,102.4387497,107.5836946
2019-12-31T00:00:00,83.15,761.01,414348,412.51,-2551,0.74,20055.0145,15386.7185,551,2147878,10.89,440.5,30.99272163,106.8496712,111.9681379
2020-01-31T00:00:00,83.15,761.01,414348,412.51,-1160,1.35,19214.4916,14701.347,589,1787435,9.04,446.45,32.03309764,107.8202483,112.7823225
2020-02-29T00:00:00,83.15,761.01,414348,412.51,-587,0.35,17643.9374,14608.2898,1233,1733119,10.58,448.02,34.23655207,110.9321936,116.0246697
2020-03-31T00:00:00,83.15,761.01,410022,485.2,-4943,0.57,18822.2351,13353.076,440,718097,10.05,450.58,36.82814173,115.947099,120.856047
2020-04-30T00:00:00,83.15,761.01,410022,485.2,-5084,0.85,13559.4166,8978.2908,279,24238,11.28,454.43,43.25393267,126.6174914,131.5214392
2020-05-31T00:00:00,83.15,761.01,410022,485.2,-3840,1.36,13393.6334,9957.5122,180,29829,12.87,460.62,45.60886478,126.8691341,132.9645916
2020-06-30T00:00:00,83.15,761.01,405675,583.3,-2180,1.13,16317.8868,13460.2518,195,214768,12.93,465.84,47.89508813,130.9850683,136.7972404
2020-07-31T00:00:00,83.15,761.01,405675,583.3,-1632,0.58,17717.7643,14890.6535,855,932927,12.73,468.56,51.97668343,136.6809372,141.9759903
2020-08-31T00:00:00,83.15,761.01,405675,583.3,-3430,0.86,18756.8591,12456.4535,241,1814701,13.51,472.61,52.70311404,139.2298415,143.9183537
2020-09-30T00:00:00,83.15,761.01,413643,561,-1699,0.97,20846.823,15990.7977,371,2203482,14.95,477.21,53.51909752,142.3831933,146.8966439
2020-10-31T00:00:00,83.15,761.01,413643,561,203,2.13,19714.2667,17315.2662,97,1742303,16.51,487.38,55.43446752,147.044053,151.5552567
2020-11-30T00:00:00,83.15,761.01,413643,561,-3368,2.3,21142.7022,16088.6822,269,833991,21.08,498.58,54.61070143,145.8382252,150.2860246
2020-12-31T00:00:00,83.61,720.34,428392,544.2,-3256,1.25,22386.7907,17837.1347,1042,699330,20.61,504.81,53.81240713,146.733438,150.8574271
2021-01-31T00:00:00,83.61,720.34,428392,544.2,-1421,1.68,18065.2865,15003.9352,143,509787,18.11,513.3,52.03636665,144.3991907,148.5270814
2021-02-28T00:00:00,83.61,720.34,428392,544.2,-2119,0.91,19299.6646,15952.5289,571,537976,18.4,517.96,51.0659817,142.9132537,147.0270568
2021-03-31T00:00:00,83.61,720.34,424704,512.6,-2938,1.08,23621.8165,18955.7061,358,905323,17.44,523.53,53.11852687,150.3262611,154.7294479
