DateTime,Population(million),GDP(billion USD),External Debt (million USD),Gold Reserves (Tonnes),Current Account (billion USD),Inflation Rate,Improt (million USD),Export (million USD),Foreign Direct Investment (million USD),Tourist Arrivals,Food Inflation,Consumer Price Index CPI,Money Supply M1 (billion US D),Money Supply M2 (billion USD),Money Supply M3 (billion USD)
2019-10-31T00:00:00,66.29,2871.34,6766190,310.29,-18025.33333,-0.2,83970.66667,80445.33333,38552,3292000,1.3,108.298,2394.062667,3226.524,3825.26
2019-11-30T00:00:00,66.29,2871.34,6766190,310.29,-18025.33333,0.2,75618.66667,81841.33333,38552,3731000,2.1,108.549,2406.532,3241.648,3849.017333
2019-12-31T00:00:00,66.63,2851.41,6471417,310.29,1532,0,75273.33333,85469.33333,-24694.66667,3445000,1.7,108.532,2411.064,3259.689333,3856.478667
2020-01-31T00:00:00,66.63,2851.41,6471417,310.29,1532,-0.3,77266.66667,80634.66667,-24694.66667,3036000,1.4,108.196,2431.014667,3276.129333,3874.513333
2020-02-29T00:00:00,66.63,2851.41,6471417,310.29,1532,0.4,77848,75652,-24694.66667,1446000,1.2,108.639,2459.408,3310.024,3910.621333
2020-03-31T00:00:00,66.63,2851.41,7182708,310.29,-16994.66667,0,69849.33333,71776,76190.66667,95000,1.3,108.634,2600.698667,3470.457333,4122.144
2020-04-30T00:00:00,66.63,2851.41,7182708,310.29,-16994.66667,-0.1,54077.33333,64925.33333,76190.66667,176000,1.3,108.459,2650.470667,3518.693333,4150.433333
2020-05-31T00:00:00,66.63,2851.41,7182708,310.29,-16994.66667,0,52414.66667,64585.33333,76190.66667,633000,1.8,108.466,2701.329333,3576.474667,4203.269333
2020-06-30T00:00:00,66.63,2851.41,7065369,310.29,-13069.33333,0.1,60769.33333,65657.33333,36285.33333,696000,1.1,108.584,2723.377333,3600.458667,4239.56
2020-07-31T00:00:00,66.63,2851.41,7065369,310.29,-13069.33333,0.5,63658.66667,65605.33333,36285.33333,570000,0.8,109.072,2754.764,3620.313333,4265.686667
2020-08-31T00:00:00,66.63,2851.41,7065369,310.29,-13069.33333,-0.5,63982.66667,65797.33333,36285.33333,458000,0.4,108.613,2767.348,3625.449333,4241.472
2020-09-30T00:00:00,66.63,2851.41,6993355,310.29,-14318.66667,0.5,69056,65804,20458.66667,69000,-0.1,109.056,2788.770667,3642.418667,4278.766667
2020-10-31T00:00:00,66.63,2851.41,6993355,310.29,-14318.66667,0,72304,69833.33333,20458.66667,65000,0.6,109.053,2826.338667,3678.610667,4266.012
2020-11-30T00:00:00,66.63,2851.41,6993355,310.29,-14318.66667,-0.2,75373.33333,70512,20458.66667,81000,-0.6,108.891,2849.730667,3694.729333,4271.625333
2020-12-31T00:00:00,66.74,2696.78,7067526,310.29,-37908,0.3,79870.66667,71350.66667,30814.66667,158000,-1.4,109.171,2905.702667,3742.681333,4342.149333
2021-01-31T00:00:00,66.74,2696.78,7067526,310.29,-37908,-0.2,68402.66667,64620,30814.66667,385000,-0.7,108.954,2929.929333,3764.324,4362.182667
2021-02-28T00:00:00,66.74,2696.78,7067526,310.29,-37908,0.1,70232,69050.66667,30814.66667,949000,-0.6,109.089,2956.089333,3790.230667,4379.361333
2021-03-31T00:00:00,66.74,2696.78,6987061,310.29,-4520,0.3,69389.33333,73101.33333,9244,1006000,-1.4,109.41,2979.364,3807.149333,4410.817333
2021-04-30T00:00:00,66.74,2696.78,6987061,310.29,-4520,0.6,70469.33333,73473.33333,9244,1470000,-0.4,110.114,3010.632,3831.252,4443.453333
2021-05-31T00:00:00,66.74,2696.78,6987061,310.29,-4520,0.6,70113.33333,75634.66667,9244,1244000,-1.3,110.76,3005.844,3826.036,4460.504
2021-06-30T00:00:00,66.74,2696.78,7042423,310.29,4704,0.5,72526.66667,73354.66667,29533.33333,801000,-0.6,111.314,3030.410667,3849.329333,4494.276
