Date,Open,High,Low,Close,Adj Close
31-Oct-24,988.7359,989.8771,988.4945,988.7359,988.7359
30-Oct-24,987.8044,989.5372,986.7004,987.8044,987.8044
29-Oct-24,987.4814,988.0967,985.2539,987.4814,987.4814
28-Oct-24,987.7402,989.0045,984.7773,987.7402,987.7402
25-Oct-24,985.2413,985.7905,982.6149,985.2413,985.2413
24-Oct-24,984.2928,985.5734,982.1266,984.2928,984.2928
23-Oct-24,983.7458,985.7181,983.549,983.7458,983.7458
22-Oct-24,983.2405,984.2823,982.9953,983.2405,983.2405
21-Oct-24,978.6605,983.5359,978.5558,978.6605,978.6605
18-Oct-24,980.7315,981.032,980.4771,980.7315,980.7315
17-Oct-24,980.1729,981.0721,980.0058,980.1729,980.1729
16-Oct-24,979.4824,980.8044,979.1489,979.4824,979.4824
15-Oct-24,979.9824,980.0984,979.21,979.9824,979.9824
14-Oct-24,975.8427,980.0632,974.58,975.8427,975.8427
11-Oct-24,974.7272,974.99,974.5089,974.7272,974.7272
10-Oct-24,974.7361,976.0227,974.0706,974.7361,974.7361
9-Oct-24,974.2494,975.6251,974.0018,974.2494,974.2494
8-Oct-24,974.8249,975.3073,974.5189,974.8249,974.8249
7-Oct-24,976.6615,977.1826,971.028,976.6615,976.6615
4-Oct-24,971.746,971.8513,971.4852,971.746,971.746
3-Oct-24,970.2407,972.0656,970.022,970.2407,970.2407
2-Oct-24,969.5873,970.8338,969.5217,969.5873,969.5873
1-Oct-24,968.7634,970.566,968.4797,968.7634,968.7634
30-Sep-24,965.6125,970.1374,965.2021,965.6125,965.6125
27-Sep-24,967.2287,968.3411,967.0146,967.2287,967.2287
26-Sep-24,968.4951,968.954,967.6929,968.4951,968.4951
25-Sep-24,965.2579,967.2882,964.9994,965.2579,965.2579
24-Sep-24,965.2277,966.5124,964.9973,965.2277,965.2277
23-Sep-24,962.6372,966.0775,962.0984,962.6372,962.6372
20-Sep-24,962.7494,963.7666,962.5338,962.7494,962.7494
19-Sep-24,962.245,963.0599,962.0337,962.245,962.245
18-Sep-24,961.2364,962.5307,961.0205,961.2364,961.2364
17-Sep-24,960.4951,961.7796,960.2567,960.4951,960.4951
16-Sep-24,959.2455,961.2883,958.6984,959.2455,959.2455
13-Sep-24,959.9916,960.0903,958.9873,959.9916,959.9916
12-Sep-24,957.7372,958.9807,957.5449,957.7372,957.7372
11-Sep-24,957.4907,958.5829,957.262,957.4907,957.4907
10-Sep-24,957.7546,957.8589,957.3822,957.7546,957.7546
9-Sep-24,955.4654,957.3318,955.1355,955.4654,955.4654
6-Sep-24,953.7794,954.6157,953.4749,953.7794,953.7794
5-Sep-24,953.2537,954.2762,952.7422,953.2537,953.2537
4-Sep-24,953.4908,954.0209,953.2363,953.4908,953.4908
3-Sep-24,952.7451,953.3184,952.4996,952.7451,952.7451
2-Sep-24,953.2374,953.4403,951.1033,953.2374,953.2374
30-Aug-24,950.2416,951.288,949.8279,950.2416,950.2416
29-Aug-24,948.4832,949.8051,948.2693,948.4832,948.4832
28-Aug-24,948.7417,949.5634,948.3421,948.7417,948.7417
27-Aug-24,949.4832,949.5972,948.6123,949.4832,949.4832
26-Aug-24,939.4437,948.33,938.2653,939.4437,939.4437
23-Aug-24,945.2535,946.0206,944.745,945.2535,945.2535
22-Aug-24,943.9993,945.5036,943.7877,943.9993,943.9993
21-Aug-24,943.746,944.4929,943.5381,943.746,943.746
20-Aug-24,943.2408,944.594,940.5045,943.2408,943.2408
19-Aug-24,938.0748,944.0207,936.4694,938.0748,938.0748
16-Aug-24,943.3582,943.3798,940.561,943.3582,943.3582
15-Aug-24,940.245,941.085,940.0102,940.245,940.245
14-Aug-24,939.7365,941.3176,939.5106,939.7365,939.7365
13-Aug-24,938.7631,939.7923,938.5099,938.7631,938.7631
12-Aug-24,936.7986,939.3018,935.8467,936.7986,936.7986
9-Aug-24,936.2502,937.0464,936.0144,936.2502,936.2502
8-Aug-24,935.7696,936.8963,933.6671,935.7696,935.7696
7-Aug-24,935.4865,936.513,935.2764,935.4865,935.4865
6-Aug-24,934.7375,935.8145,934.588,934.7375,934.7375
5-Aug-24,924.2065,935.5004,923.2207,924.2065,924.2065
2-Aug-24,931.7501,933.2545,931.538,931.7501,931.7501
1-Aug-24,930.7493,932.8917,930.4959,930.7493,930.7493
31-Jul-24,932.2105,933.1987,931.7235,932.2105,932.2105
30-Jul-24,931.745,931.9822,931.0985,931.745,931.745
29-Jul-24,929.6747,931.0389,928.3236,929.6747,929.6747
26-Jul-24,929.4608,929.6158,928.5698,929.4608,929.4608
25-Jul-24,927.9787,928.5044,927.8025,927.9787,927.9787
24-Jul-24,925.9908,927.7471,925.7985,925.9908,925.9908
23-Jul-24,925.7408,926.7621,925.5025,925.7408,925.7408
22-Jul-24,923.3664,926.5249,923.5522,923.3664,923.3664
19-Jul-24,924.7247,925.7526,923.9738,924.7247,924.7247
18-Jul-24,922.9579,923.7958,922.7281,922.9579,922.9579
17-Jul-24,922.7535,923.3126,921.9816,922.7535,922.7535
16-Jul-24,922.2408,923.2714,921.9879,922.2408,922.2408
15-Jul-24,919.5871,922.0846,918.6915,919.5871,919.5871
12-Jul-24,919.2416,919.5424,919.0547,919.2416,919.2416
11-Jul-24,918.7501,920.2556,915.5792,918.7501,918.7501
10-Jul-24,917.2416,919.3011,916.7474,917.2416,917.2416
9-Jul-24,917.1731,917.3348,915.6984,917.1731,917.1731
8-Jul-24,913.7277,917.8002,912.855,913.7277,913.7277
5-Jul-24,913.7501,916.7882,913.4918,913.7501,913.7501
4-Jul-24,913.7324,913.8382,913.5323,913.7324,913.7324
3-Jul-24,914.2416,915.5382,914.0249,914.2416,914.2416
2-Jul-24,913.4227,914.7876,913.2822,913.4227,913.4227
1-Jul-24,908.7192,914.0887,906.749,908.7192,908.7192
28-Jun-24,910.9916,912.0725,910.4851,910.9916,910.9916
27-Jun-24,911.0036,911.8046,910.816,911.0036,911.0036
26-Jun-24,909.2587,910.5811,909.0243,909.2587,909.2587
25-Jun-24,908.7416,909.7875,908.5072,908.7416,908.7416
24-Jun-24,905.1625,909.2821,904.2676,905.1625,905.1625
21-Jun-24,905.5462,905.8553,905.4916,905.5462,905.5462
20-Jun-24,905.7332,906.2358,905.5428,905.7332,905.7332
19-Jun-24,905.7451,906.1705,900.8931,905.7451,905.7451
18-Jun-24,902.4916,906.2872,902.2846,902.4916,902.4916
17-Jun-24,902.1075,903.3545,901.6863,902.1075,902.1075
14-Jun-24,902.25,902.5584,901.9486,902.25,902.25
13-Jun-24,901.7367,904.4285,901.5111,901.7367,901.7367
12-Jun-24,902,902.3207,901.7099,902,902
11-Jun-24,901.7325,902.33,896.8679,901.7325,901.7325
10-Jun-24,907.6163,910.1834,899.0361,907.6163,907.6163
7-Jun-24,898.5033,899.4971,898.2796,898.5033,898.5033
6-Jun-24,898.5042,898.8202,897.4934,898.5042,898.5042
5-Jun-24,897.0115,898.1035,896.7807,897.0115,897.0115
4-Jun-24,896.5452,897.2582,895.1865,896.5452,896.5452
3-Jun-24,894.2228,897.0735,893.4886,894.2228,894.2228
31-May-24,894.2491,895.5206,893.8055,894.2491,894.2491
30-May-24,893.7533,894.2945,893.4895,893.7533,893.7533
29-May-24,893.4827,893.8194,893.2881,893.4827,893.4827
28-May-24,893.4548,893.5945,893.0643,893.4548,893.4548
27-May-24,889.7154,892.8273,889.203,889.7154,889.7154
24-May-24,890.2451,890.8074,890.0556,890.2451,890.2451
23-May-24,889.991,890.3519,889.7895,889.991,889.991
22-May-24,889.2287,889.8323,889.0394,889.2287,889.2287
21-May-24,888.7294,889.3516,888.5496,888.7294,888.7294
20-May-24,883.4309,888.8269,882.502,883.4309,883.4309
17-May-24,886.241,886.8012,886.041,886.241,886.241
16-May-24,885.7491,886.3195,885.566,885.7491,885.7491
15-May-24,885.2655,885.8676,884.868,885.2655,885.2655
14-May-24,884.0526,885.3195,882.2446,884.0526,884.0526
13-May-24,883.1731,884.3393,882.7515,883.1731,883.1731
10-May-24,882.5155,882.823,882.3075,882.5155,882.5155
9-May-24,881.7417,882.3392,881.5481,881.7417,881.7417
8-May-24,880.6516,881.8196,880.5565,880.6516,880.6516
7-May-24,880.1183,880.835,880.0243,880.1183,880.1183
6-May-24,876.998,880.3266,875.8866,876.998,876.998
3-May-24,878.2,878.8926,876.8921,878.2,878.2
2-May-24,872.7755,878.3148,872.3924,872.7755,872.7755
1-May-24,877.0738,883.1541,875.1718,877.0738,877.0738
30-Apr-24,876.7409,876.8685,876.5496,876.7409,876.7409
29-Apr-24,875.338,876.3278,873.2095,875.338,875.338
26-Apr-24,873.7532,874.8398,873.5666,873.7532,873.7532
25-Apr-24,873.2499,873.8112,873.0664,873.2499,873.2499
24-Apr-24,872.7376,873.3195,872.5416,872.7376,872.7376
23-Apr-24,872.2409,872.8518,871.9925,872.2409,872.2409
22-Apr-24,868.6755,872.3311,867.6986,868.7936,868.7936
19-Apr-24,869.8758,874.415,869.5825,869.8758,869.8758
18-Apr-24,869.2501,869.8315,868.74,869.2501,869.2501
17-Apr-24,868.7327,869.3104,868.4761,868.7327,868.7327
16-Apr-24,868.245,868.8145,868.0168,868.245,868.245
15-Apr-24,865.5997,868.3512,864.9741,865.5997,865.5997
