Date,Open,High,Low,Close,Adj Close
31-Oct-24,1.5214,1.5289,1.5198,1.5214,1.5214
30-Oct-24,1.5237,1.5297,1.5162,1.5237,1.5237
29-Oct-24,1.5191,1.5277,1.5184,1.5191,1.5191
28-Oct-24,1.5144,1.5197,1.5126,1.5144,1.5144
25-Oct-24,1.5067,1.5106,1.5044,1.5067,1.5067
24-Oct-24,1.5069,1.5098,1.5011,1.5069,1.5069
23-Oct-24,1.4957,1.5086,1.4941,1.4957,1.4957
22-Oct-24,1.5031,1.5034,1.4937,1.5031,1.5031
21-Oct-24,1.4888,1.5024,1.4874,1.4888,1.4888
18-Oct-24,1.4926,1.4937,1.4882,1.4926,1.4926
17-Oct-24,1.5004,1.5005,1.4901,1.5004,1.5004
16-Oct-24,1.4965,1.5016,1.4923,1.4965,1.4965
15-Oct-24,1.4868,1.492,1.4852,1.4868,1.4868
14-Oct-24,1.4856,1.492,1.4824,1.4856,1.4856
11-Oct-24,1.4835,1.4869,1.4796,1.4835,1.4835
10-Oct-24,1.4887,1.4895,1.4833,1.4887,1.4887
9-Oct-24,1.4838,1.4907,1.4792,1.4838,1.4838
8-Oct-24,1.4802,1.4885,1.4771,1.4802,1.4802
7-Oct-24,1.4705,1.4795,1.468,1.4705,1.4705
4-Oct-24,1.4598,1.4731,1.4594,1.4598,1.4598
3-Oct-24,1.452,1.4639,1.4518,1.452,1.452
2-Oct-24,1.4535,1.4544,1.4459,1.4535,1.4535
1-Oct-24,1.446,1.4551,1.4421,1.446,1.446
30-Sep-24,1.4453,1.4463,1.4407,1.4453,1.4453
27-Sep-24,1.4508,1.4558,1.4411,1.4508,1.4508
26-Sep-24,1.4659,1.4664,1.4481,1.4659,1.4659
25-Sep-24,1.4481,1.4631,1.4476,1.4481,1.4481
24-Sep-24,1.4633,1.4672,1.4539,1.4633,1.4633
23-Sep-24,1.4684,1.4702,1.4591,1.4684,1.4684
20-Sep-24,1.4685,1.4742,1.4639,1.4685,1.4685
19-Sep-24,1.4785,1.4835,1.462,1.4785,1.4785
