Date,Open,High,Low,Close,Adj Close
31-Oct-24,5.7623,5.7902,5.7534,5.7623,5.7623
30-Oct-24,5.76,5.7885,5.6727,5.76,5.76
29-Oct-24,5.7102,5.7312,5.6853,5.7102,5.7102
28-Oct-24,5.6858,5.7162,5.6837,5.6858,5.6858
25-Oct-24,5.664,5.7028,5.6626,5.664,5.664
24-Oct-24,5.6865,5.7174,5.6715,5.6865,5.6865
23-Oct-24,5.6893,5.7285,5.6836,5.6893,5.6893
22-Oct-24,5.6881,5.7129,5.6714,5.6881,5.6881
21-Oct-24,5.6359,5.7323,5.6359,5.6359,5.6359
18-Oct-24,5.6518,5.6842,5.6305,5.6518,5.6518
17-Oct-24,5.668,5.6854,5.6557,5.668,5.668
16-Oct-24,5.652,5.6946,5.6291,5.652,5.652
15-Oct-24,5.5947,5.6533,5.5812,5.5947,5.5947
14-Oct-24,5.6106,5.6494,5.5796,5.6106,5.6106
11-Oct-24,5.5817,5.6517,5.5589,5.5817,5.5817
10-Oct-24,5.5961,5.6018,5.563,5.5961,5.5961
9-Oct-24,5.5347,5.5873,5.5305,5.5347,5.5347
8-Oct-24,5.4942,5.5311,5.4936,5.4942,5.4942
7-Oct-24,5.4543,5.4888,5.42,5.4543,5.4543
4-Oct-24,5.4763,5.5154,5.4516,5.4763,5.4763
3-Oct-24,5.4403,5.5082,5.4164,5.4403,5.4403
2-Oct-24,5.424,5.4575,5.405,5.424,5.424
1-Oct-24,5.4485,5.4744,5.4294,5.4485,5.4485
30-Sep-24,5.4332,5.4701,5.4038,5.4332,5.4332
27-Sep-24,5.4367,5.455,5.4228,5.4367,5.4367
26-Sep-24,5.4738,5.4759,5.4063,5.4738,5.4738
25-Sep-24,5.4497,5.4954,5.4432,5.4497,5.4497
24-Sep-24,5.5361,5.5378,5.4459,5.5361,5.5361
23-Sep-24,5.5136,5.5948,5.4053,5.5136,5.5136
20-Sep-24,5.4239,5.4969,5.418,5.4239,5.4239
19-Sep-24,5.461,5.4639,5.3942,5.461,5.461
18-Sep-24,5.4817,5.4936,5.4534,5.4817,5.4817
17-Sep-24,5.5039,5.5445,5.4866,5.5039,5.5039
16-Sep-24,5.6124,5.6125,5.499,5.6124,5.6124
13-Sep-24,5.6257,5.6262,5.5446,5.6257,5.6257
12-Sep-24,5.6674,5.6838,5.6323,5.6674,5.6674
11-Sep-24,5.6629,5.6717,5.6056,5.6629,5.6629
10-Sep-24,5.5843,5.6473,5.5649,5.5843,5.5843
9-Sep-24,5.5966,5.6383,5.5812,5.5966,5.5966
6-Sep-24,5.5675,5.596,5.5317,5.5675,5.5675
5-Sep-24,5.642,5.6429,5.5905,5.642,5.642
4-Sep-24,5.6475,5.6587,5.6128,5.6475,5.6475
3-Sep-24,5.6151,5.6497,5.5756,5.6151,5.6151
2-Sep-24,5.6092,5.6567,5.5898,5.6092,5.6092
30-Aug-24,5.6277,5.6905,5.5731,5.6277,5.6277
29-Aug-24,5.5622,5.6599,5.559,5.5622,5.5622
28-Aug-24,5.5079,5.542,5.4682,5.5079,5.5079
27-Aug-24,5.4957,5.5163,5.4695,5.4957,5.4957
26-Aug-24,5.4854,5.5087,5.4719,5.4854,5.4854
23-Aug-24,5.5909,5.6011,5.488,5.5909,5.5909
22-Aug-24,5.4825,5.5706,5.4459,5.4825,5.4825
21-Aug-24,5.4781,5.4838,5.4588,5.4781,5.4781
20-Aug-24,5.4056,5.4734,5.4018,5.4056,5.4056
19-Aug-24,5.4713,5.4722,5.4015,5.4713,5.4713
16-Aug-24,5.4849,5.4865,5.4347,5.4849,5.4849
15-Aug-24,5.4689,5.4834,5.4399,5.4689,5.4689
14-Aug-24,5.4557,5.4624,5.4274,5.4557,5.4557
13-Aug-24,5.4919,5.5006,5.4686,5.4919,5.4919
12-Aug-24,5.5063,5.5209,5.4713,5.5063,5.5063
9-Aug-24,5.5461,5.5485,5.4919,5.5461,5.5461
8-Aug-24,5.6358,5.6515,5.5978,5.6358,5.6358
7-Aug-24,5.6555,5.656,5.5939,5.6555,5.6555
6-Aug-24,5.7209,5.7232,5.6343,5.7209,5.7209
5-Aug-24,5.7267,5.8242,5.6797,5.7267,5.7267
2-Aug-24,5.7506,5.7893,5.705,5.7506,5.7506
1-Aug-24,5.6566,5.6942,5.6306,5.6566,5.6566
31-Jul-24,5.6111,5.6793,5.6001,5.6111,5.6111
30-Jul-24,5.6145,5.6604,5.6115,5.6145,5.6145
29-Jul-24,5.6228,5.6666,5.6292,5.6228,5.6228
26-Jul-24,5.6431,5.6612,5.6133,5.6431,5.6431
25-Jul-24,5.6536,5.6843,5.6241,5.6536,5.6536
24-Jul-24,5.5853,5.6477,5.5555,5.5853,5.5853
23-Jul-24,5.5707,5.6043,5.5595,5.5707,5.5707
22-Jul-24,5.5209,5.6192,5.519,5.5209,5.5209
19-Jul-24,5.5432,5.57,5.522,5.5432,5.5432
18-Jul-24,5.4877,5.5486,5.4786,5.4877,5.4877
17-Jul-24,5.4243,5.4774,5.4214,5.4243,5.4243
16-Jul-24,5.4468,5.4567,5.4056,5.4468,5.4468
15-Jul-24,5.4228,5.4743,5.4015,5.4228,5.4228
12-Jul-24,5.438,5.4634,5.4152,5.438,5.438
11-Jul-24,5.4147,5.4318,5.3681,5.4147,5.4147
10-Jul-24,5.4171,5.4209,5.3727,5.4171,5.4171
9-Jul-24,5.4704,5.4742,5.4311,5.4704,5.4704
8-Jul-24,5.4713,5.4925,5.4524,5.4713,5.4713
