Date,Open,High,Low,Close,Adj Close
31-Oct-24,1.3908,1.3944,1.3891,1.3908,1.3908
30-Oct-24,1.3913,1.3939,1.3901,1.3913,1.3913
29-Oct-24,1.389,1.3919,1.3876,1.389,1.389
28-Oct-24,1.3896,1.3908,1.3883,1.3896,1.3896
25-Oct-24,1.3853,1.3886,1.3838,1.3853,1.3853
24-Oct-24,1.3837,1.386,1.3812,1.3837,1.3837
23-Oct-24,1.3816,1.3861,1.3816,1.3816,1.3816
22-Oct-24,1.3834,1.3837,1.3815,1.3834,1.3834
21-Oct-24,1.38,1.3849,1.38,1.38,1.38
18-Oct-24,1.3796,1.3809,1.3785,1.3796,1.3796
17-Oct-24,1.3755,1.3792,1.3748,1.3755,1.3755
16-Oct-24,1.3781,1.3793,1.3768,1.3781,1.3781
15-Oct-24,1.3803,1.3837,1.3794,1.3803,1.3803
14-Oct-24,1.3781,1.38,1.3771,1.3781,1.3781
11-Oct-24,1.3746,1.3779,1.3725,1.3746,1.3746
10-Oct-24,1.3709,1.3767,1.3703,1.3709,1.3709
9-Oct-24,1.3652,1.3694,1.3648,1.3652,1.3652
8-Oct-24,1.3618,1.3675,1.361,1.3618,1.3618
7-Oct-24,1.3579,1.3619,1.3572,1.3579,1.3579
4-Oct-24,1.3548,1.3589,1.3544,1.3548,1.3548
3-Oct-24,1.3505,1.3551,1.3506,1.3505,1.3505
2-Oct-24,1.3495,1.3495,1.3472,1.3495,1.3495
1-Oct-24,1.3527,1.3539,1.3489,1.3527,1.3527
30-Sep-24,1.3509,1.3527,1.349,1.3509,1.3509
27-Sep-24,1.3476,1.3505,1.3464,1.3476,1.3476
26-Sep-24,1.3482,1.3489,1.3458,1.3482,1.3482
25-Sep-24,1.3421,1.3468,1.3419,1.3421,1.3421
24-Sep-24,1.3529,1.3531,1.3465,1.3529,1.3529
23-Sep-24,1.3564,1.3582,1.3489,1.3564,1.3564
20-Sep-24,1.3563,1.3589,1.3543,1.3563,1.3563
19-Sep-24,1.3611,1.3647,1.3533,1.3611,1.3611
18-Sep-24,1.3592,1.3607,1.3576,1.3592,1.3592
17-Sep-24,1.3586,1.3615,1.3578,1.3586,1.3586
16-Sep-24,1.3578,1.3607,1.3565,1.3578,1.3578
13-Sep-24,1.3576,1.3594,1.3563,1.3576,1.3576
12-Sep-24,1.3578,1.3604,1.3564,1.3578,1.3578
