Date,Open,High,Low,Close,Adj Close
31-Oct-24,7.1148,7.1266,7.1138,7.1148,7.1148
30-Oct-24,7.1301,7.136,7.1206,7.1301,7.1301
29-Oct-24,7.1275,7.144,7.1277,7.1275,7.1275
28-Oct-24,7.1201,7.134,7.1227,7.1201,7.1201
25-Oct-24,7.1187,7.1262,7.1137,7.1187,7.1187
24-Oct-24,7.1253,7.1257,7.1098,7.1253,7.1253
23-Oct-24,7.1217,7.1326,7.1179,7.1217,7.1217
22-Oct-24,7.118,7.1245,7.1161,7.118,7.118
21-Oct-24,7.1008,7.1187,7.0987,7.1008,7.1008
18-Oct-24,7.123,7.1243,7.1,7.123,7.123
17-Oct-24,7.1184,7.1264,7.1153,7.1184,7.1184
16-Oct-24,7.1178,7.1214,7.108,7.1178,7.1178
15-Oct-24,7.0872,7.1205,7.0833,7.0872,7.0872
14-Oct-24,7.0652,7.0883,7.0652,7.0652,7.0652
11-Oct-24,7.0801,7.0863,7.0625,7.0801,7.0801
10-Oct-24,7.0801,7.0808,7.0617,7.0801,7.0801
9-Oct-24,7.0578,7.0811,7.0544,7.0578,7.0578
8-Oct-24,7.0191,7.087,7.0187,7.0191,7.0191
7-Oct-24,7.0175,7.0189,7.0169,7.0175,7.0175
4-Oct-24,7.0451,7.0493,7.0175,7.0451,7.0451
3-Oct-24,7.0377,7.0536,7.0175,7.0377,7.0377
2-Oct-24,7.0304,7.0405,7.0125,7.0304,7.0304
1-Oct-24,7.0175,7.0328,7.0172,7.0175,7.0175
30-Sep-24,7.0103,7.0175,7.0069,7.0103,7.0103
27-Sep-24,7.009,7.0181,7.0061,7.009,7.009
26-Sep-24,7.0323,7.034,7.0088,7.0323,7.0323
25-Sep-24,7.0302,7.0307,7.0119,7.0302,7.0302
24-Sep-24,7.0513,7.0618,7.0301,7.0513,7.0513
23-Sep-24,7.0509,7.0596,7.0439,7.0509,7.0509
20-Sep-24,7.067,7.0671,7.0423,7.067,7.067
19-Sep-24,7.081,7.108,7.0598,7.081,7.081
18-Sep-24,7.0925,7.0988,7.0782,7.0925,7.0925
17-Sep-24,7.0925,7.0927,7.0924,7.0925,7.0925
16-Sep-24,7.0927,7.0933,7.0925,7.0927,7.0927
13-Sep-24,7.1166,7.1171,7.0895,7.1166,7.1166
12-Sep-24,7.1197,7.1235,7.112,7.1197,7.1197
11-Sep-24,7.1208,7.1287,7.1041,7.1208,7.1208
10-Sep-24,7.1136,7.1243,7.1115,7.1136,7.1136
9-Sep-24,7.0879,7.1159,7.0878,7.0879,7.0879
6-Sep-24,7.0913,7.0947,7.0808,7.0913,7.0913
5-Sep-24,7.1119,7.112,7.0873,7.1119,7.1119
4-Sep-24,7.1204,7.1204,7.1069,7.1204,7.1204
3-Sep-24,7.1166,7.1237,7.1132,7.1166,7.1166
2-Sep-24,7.0921,7.1178,7.0921,7.0921,7.0921
30-Aug-24,7.0955,7.1006,7.0826,7.0955,7.0955
29-Aug-24,7.1243,7.1303,7.0911,7.1243,7.1243
28-Aug-24,7.1231,7.1341,7.1213,7.1231,7.1231
27-Aug-24,7.1181,7.1308,7.1137,7.1181,7.1181
26-Aug-24,7.124,7.1243,7.1153,7.124,7.124
23-Aug-24,7.1444,7.1456,7.12,7.1444,7.1444
22-Aug-24,7.1318,7.1445,7.1299,7.1318,7.1318
21-Aug-24,7.132,7.1375,7.1227,7.132,7.132
20-Aug-24,7.1405,7.1405,7.1405,7.1405,7.1405
19-Aug-24,7.164,7.1644,7.1316,7.164,7.164
16-Aug-24,7.1734,7.1768,7.1609,7.1734,7.1734
15-Aug-24,7.1373,7.1653,7.1365,7.1373,7.1373
