Date,Open,High,Low,Close,Adj Close
31-Oct-24,0.9209,0.9221,0.9184,0.9209,0.9209
30-Oct-24,0.9242,0.9251,0.9202,0.9242,0.9242
29-Oct-24,0.9245,0.9285,0.9237,0.9245,0.9245
28-Oct-24,0.9262,0.9274,0.9236,0.9262,0.9262
25-Oct-24,0.9239,0.9249,0.9223,0.9239,0.9239
24-Oct-24,0.9276,0.9284,0.9251,0.9276,0.9276
23-Oct-24,0.9262,0.9291,0.9252,0.9262,0.9262
22-Oct-24,0.9244,0.9258,0.9227,0.9244,0.9244
21-Oct-24,0.9201,0.9241,0.92,0.9201,0.9201
18-Oct-24,0.9234,0.9235,0.9205,0.9234,0.9234
17-Oct-24,0.9206,0.9247,0.92,0.9206,0.9206
16-Oct-24,0.9188,0.9201,0.9173,0.9188,0.9188
15-Oct-24,0.9167,0.9186,0.9159,0.9167,0.9167
14-Oct-24,0.9153,0.9169,0.9141,0.9153,0.9153
11-Oct-24,0.9146,0.9151,0.9129,0.9146,0.9146
10-Oct-24,0.9138,0.9162,0.9129,0.9138,0.9138
9-Oct-24,0.9111,0.914,0.9107,0.9111,0.9111
8-Oct-24,0.9111,0.9123,0.9093,0.9111,0.9111
7-Oct-24,0.9112,0.9128,0.9103,0.9112,0.9112
4-Oct-24,0.9062,0.9127,0.9058,0.9062,0.9062
3-Oct-24,0.9051,0.9083,0.9051,0.9051,0.9051
2-Oct-24,0.9038,0.9063,0.9024,0.9038,0.9038
1-Oct-24,0.8979,0.9041,0.8972,0.8979,0.8979
30-Sep-24,0.8953,0.898,0.8922,0.8953,0.8953
27-Sep-24,0.8947,0.8988,0.8929,0.8947,0.8947
26-Sep-24,0.8984,0.8987,0.8937,0.8984,0.8984
25-Sep-24,0.8936,0.8975,0.8919,0.8936,0.8936
24-Sep-24,0.9,0.9006,0.8958,0.9,0.9
23-Sep-24,0.896,0.9021,0.8954,0.896,0.896
20-Sep-24,0.8959,0.8979,0.8943,0.8959,0.8959
19-Sep-24,0.8997,0.9033,0.8944,0.8997,0.8997
18-Sep-24,0.899,0.9002,0.8976,0.899,0.899
17-Sep-24,0.8985,0.8998,0.8972,0.8985,0.8985
16-Sep-24,0.9018,0.902,0.898,0.9018,0.9018
13-Sep-24,0.9027,0.903,0.9007,0.9027,0.9027
12-Sep-24,0.9082,0.9086,0.9052,0.9082,0.9082
11-Sep-24,0.9074,0.9089,0.9046,0.9074,0.9074
10-Sep-24,0.906,0.9078,0.905,0.906,0.906
9-Sep-24,0.9019,0.9062,0.9016,0.9019,0.9019
