Date,Open,High,Low,Close,Adj Close
31-Oct-24,15695.5,15751.2,15672.5,15695.5,15695.5
30-Oct-24,15768,15768,15628.1,15768,15768
29-Oct-24,15747,15784.8,15717.8,15747,15747
28-Oct-24,15688.1,15742.5,15633,15688.1,15688.1
25-Oct-24,15621.5,15686.1,15581,15621.5,15621.5
24-Oct-24,15663,15664,15548.6,15663,15663
23-Oct-24,15586,15687.5,15545.7,15586,15586
22-Oct-24,15556,15575.7,15515,15556,15556
21-Oct-24,15467,15544.2,15421,15467,15467
18-Oct-24,15493,15525,15441,15493,15493
17-Oct-24,15583.9,15587,15482.2,15583.9,15583.9
16-Oct-24,15578.6,15580,15495.6,15578.6,15578.6
15-Oct-24,15573,15598.2,15509.8,15573,15573
14-Oct-24,15562,15612.5,15547.1,15562,15562
11-Oct-24,15670.9,15682,15535.6,15670.9,15670.9
10-Oct-24,15664.6,15719,15585.2,15664.6,15664.6
9-Oct-24,15682.4,15684,15567.7,15682.4,15682.4
8-Oct-24,15744,15744,15628,15744,15744
7-Oct-24,15650,15756.9,15579.7,15650,15650
4-Oct-24,15457,15719,15400.5,15457,15457
3-Oct-24,15324,15507.9,15294,15324,15324
2-Oct-24,15260.6,15289.9,15187.2,15260.6,15260.6
1-Oct-24,15170.6,15250.1,15148.8,15170.6,15170.6
30-Sep-24,15118,15197.3,14935.9,15118,15118
27-Sep-24,15070,15161.7,15019.3,15070,15070
26-Sep-24,15201.5,15204,14975.7,15201.5,15201.5
25-Sep-24,15121.1,15178.1,15008.3,15121.1,15121.1
24-Sep-24,15174.1,15204.7,15117.3,15174.1,15174.1
23-Sep-24,15154,15232.1,15147,15154,15154
20-Sep-24,15197.6,15227,15033.6,15197.6,15197.6
19-Sep-24,15300.2,15391,14894.5,15300.2,15300.2
18-Sep-24,15345,15367.6,15234.3,15345,15345
17-Sep-24,15385,15386,15298.5,15385,15385
16-Sep-24,15393,15401,15347,15393,15393
13-Sep-24,15418.7,15430,15337.9,15418.7,15418.7
12-Sep-24,15437,15463.3,15396.7,15437,15437
11-Sep-24,15489,15489.1,15372.5,15489,15489
10-Sep-24,15456.8,15489,15411.5,15456.8,15456.8
9-Sep-24,15405,15504.7,15316.5,15405,15405
6-Sep-24,15417,15439,15249.2,15417,15417
5-Sep-24,15444.4,15449,15340.3,15444.4,15444.4
4-Sep-24,15532.9,15550.1,15421.5,15532.9,15532.9
3-Sep-24,15520.1,15585.5,15441.8,15520.1,15520.1
2-Sep-24,15525,15556.3,15506.5,15525,15525
30-Aug-24,15444.8,15527.5,15383.8,15444.8,15444.8
29-Aug-24,15440,15466.1,15257.6,15440,15440
28-Aug-24,15467.1,15520.4,15367.8,15467.1,15467.1
27-Aug-24,15462.6,15552.9,15443,15462.6,15462.6
26-Aug-24,15377.2,15471,15287.6,15377.2,15377.2
23-Aug-24,15728.5,15744,15417.8,15728.5,15728.5
22-Aug-24,15484,15713.4,15461.7,15484,15484
21-Aug-24,15442,15521.1,15417,15442,15442
20-Aug-24,15523,15546,15401,15523,15523
19-Aug-24,15683,15683,15535.3,15683,15683
16-Aug-24,15755,15766,14966,15755,15755
15-Aug-24,15619.5,15788,15555.3,15619.5,15619.5
14-Aug-24,15749,15747.9,15460.3,15749,15749
13-Aug-24,15949.1,15948,15734.6,15949.1,15949.1
12-Aug-24,15918,15992.3,15907.5,15918,15918
9-Aug-24,15979,15981.1,15883,15979,15979
8-Aug-24,16023,16023.1,15751.8,16023,16023
7-Aug-24,16152.3,16168,15987,16152.3,16152.3
6-Aug-24,16208,16216.2,16135.7,16208,16208
5-Aug-24,16012,16221.8,16012,16012,16012
2-Aug-24,16281,16284,15814.7,16281,16281
1-Aug-24,16255,16270,16210,16255,16255
31-Jul-24,16328.5,16330,16247,16328.5,16328.5
30-Jul-24,16301.7,16335.1,16286.7,16301.7,16301.7
29-Jul-24,16283,16294.6,16261.6,16283,16283
26-Jul-24,16337.8,16337.8,16244,16337.8,16337.8
