Date,Open,High,Low,Close,Adj Close
31-Oct-24,153.204,153.556,151.922,153.204,153.204
30-Oct-24,153.274,153.472,152.8,153.274,153.274
29-Oct-24,153.179,153.84,152.768,153.179,153.179
28-Oct-24,152.952,153.868,152.421,152.952,152.952
25-Oct-24,151.783,152.14,151.494,151.783,151.783
24-Oct-24,152.769,152.768,151.784,152.769,152.769
23-Oct-24,151.138,153.165,151.152,151.138,151.138
22-Oct-24,150.605,151.129,150.518,150.605,150.605
21-Oct-24,149.6,150.487,149.096,149.6,149.6
18-Oct-24,150.1,150.139,149.515,150.1,150.1
17-Oct-24,149.576,150.138,149.257,149.576,149.576
16-Oct-24,149.099,149.735,148.93,149.099,149.099
15-Oct-24,149.67,149.74,148.853,149.67,149.67
14-Oct-24,149.334,149.949,149.146,149.334,149.334
11-Oct-24,148.704,149.263,148.399,148.704,148.704
10-Oct-24,149.16,149.53,148.418,149.16,149.16
9-Oct-24,148.159,149.258,148.025,148.159,148.159
8-Oct-24,148.146,148.351,147.388,148.146,148.146
7-Oct-24,148.82,148.788,147.863,148.82,148.82
4-Oct-24,146.84,148.738,145.942,146.84,146.84
3-Oct-24,146.582,147.21,146.333,146.582,146.582
2-Oct-24,143.736,146.252,143.532,143.736,143.736
1-Oct-24,143.71,144.496,143.023,143.71,143.71
30-Sep-24,142.783,143.356,141.647,142.783,142.783
27-Sep-24,145.076,146.462,142.454,145.076,145.076
26-Sep-24,144.683,145.188,144.117,144.683,144.683
25-Sep-24,142.963,144.588,142.936,142.963,142.963
24-Sep-24,143.638,144.665,143.412,143.638,143.638
23-Sep-24,144.004,144.439,143.196,144.004,144.004
20-Sep-24,142.858,144.476,141.763,142.858,142.858
19-Sep-24,142.71,143.935,142.065,142.71,142.71
18-Sep-24,142.015,142.051,141.244,142.015,142.015
17-Sep-24,140.79,141.85,140.323,140.79,140.79
16-Sep-24,140.79,140.899,139.578,140.79,140.79
13-Sep-24,141.499,141.527,140.362,141.499,141.499
12-Sep-24,142.59,143.011,141.913,142.59,142.59
11-Sep-24,142.234,142.468,140.718,142.234,142.234
10-Sep-24,143.177,143.675,142.262,143.177,143.177
9-Sep-24,142.486,143.786,142.445,142.486,142.486
6-Sep-24,143.393,143.848,141.765,143.393,143.393
5-Sep-24,143.324,144.204,142.854,143.324,143.324
4-Sep-24,145.353,145.538,144.027,145.353,145.353
3-Sep-24,146.722,147.188,145.168,146.722,146.722
2-Sep-24,146.381,147.119,145.796,146.381,146.381
30-Aug-24,144.89,145.962,144.702,144.89,144.89
29-Aug-24,144.433,145.525,144.283,144.433,144.433
