Date,Open,High,Low,Close,Adj Close
31-Oct-24,1378.57,1381.39,1371.97,1378.57,1378.57
30-Oct-24,1383.18,1384.42,1373.4,1383.18,1383.18
29-Oct-24,1381.97,1389.35,1376.56,1381.97,1381.97
28-Oct-24,1387.66,1388.71,1382.14,1387.66,1387.66
25-Oct-24,1376.32,1390.49,1376.36,1376.32,1376.32
24-Oct-24,1377.34,1382.11,1377,1377.34,1377.34
23-Oct-24,1376.63,1385.56,1376.69,1376.63,1376.63
22-Oct-24,1376.5,1382.68,1376.45,1376.5,1376.5
21-Oct-24,1369.01,1381.16,1366.07,1369.01,1369.01
18-Oct-24,1370.05,1372.89,1367.4,1370.05,1370.05
17-Oct-24,1364.2,1372.99,1363.43,1364.2,1364.2
16-Oct-24,1363.18,1366.89,1359.07,1363.18,1363.18
15-Oct-24,1357.27,1365.17,1356.54,1357.27,1357.27
14-Oct-24,1348.33,1360.4,1348.33,1348.33,1348.33
11-Oct-24,1349.74,1351.77,1344.85,1349.74,1349.74
10-Oct-24,1343.02,1353.63,1341.91,1343.02,1343.02
9-Oct-24,1341.31,1347.28,1337.28,1341.31,1341.31
8-Oct-24,1342.37,1351.1,1341.45,1342.37,1342.37
7-Oct-24,1345.88,1349.63,1342.69,1345.88,1345.88
4-Oct-24,1334.41,1350.41,1320.16,1334.41,1334.41
3-Oct-24,1324.03,1337.63,1322.32,1324.03,1324.03
2-Oct-24,1324.84,1325.45,1317.19,1324.84,1324.84
1-Oct-24,1315.33,1326.53,1314.24,1315.33,1315.33
30-Sep-24,1309.3,1315.1,1302.8,1309.3,1309.3
27-Sep-24,1313.3,1322.22,1305.87,1313.3,1313.3
26-Sep-24,1335.05,1335.57,1313.15,1335.05,1335.05
25-Sep-24,1324.89,1335.84,1323.5,1324.89,1324.89
24-Sep-24,1333.62,1336.61,1328.96,1333.62,1333.62
23-Sep-24,1331.5,1339.66,1331.49,1331.5,1331.5
20-Sep-24,1327.61,1337.23,1327,1327.61,1327.61
19-Sep-24,1322.26,1335.95,1321.39,1322.26,1322.26
18-Sep-24,1322.93,1327.27,1320.27,1322.93,1322.93
17-Sep-24,1319.11,1324.88,1313.93,1319.11,1319.11
16-Sep-24,1329.51,1329.61,1315.34,1329.51,1329.51
13-Sep-24,1335.69,1336.3,1324.09,1335.69,1335.69
12-Sep-24,1339.18,1342.55,1337.29,1339.18,1339.18
11-Sep-24,1343.34,1344.57,1335.45,1343.34,1343.34
10-Sep-24,1341.27,1345.47,1339.82,1341.27,1341.27
9-Sep-24,1337.77,1347.6,1336.85,1337.77,1337.77
6-Sep-24,1332.79,1336.22,1322.91,1332.79,1332.79
5-Sep-24,1331.01,1337.9,1331.15,1331.01,1331.01
4-Sep-24,1340.41,1343.71,1332.52,1340.41,1340.41
3-Sep-24,1337.55,1344.18,1336.81,1337.55,1337.55
2-Sep-24,1336.58,1341.14,1335.52,1336.58,1336.58
30-Aug-24,1332.88,1336.13,1316.69,1332.88,1332.88
29-Aug-24,1336.69,1338.16,1326.71,1336.69,1336.69
28-Aug-24,1326.36,1339.48,1326.36,1326.36,1326.36
27-Aug-24,1326.64,1334.85,1326.64,1326.64,1326.64
26-Aug-24,1323.88,1328.7,1317.1,1323.88,1323.88
23-Aug-24,1339.54,1342.6,1323.27,1339.54,1339.54
22-Aug-24,1333.66,1343.7,1330.27,1333.66,1333.66
21-Aug-24,1327.58,1339.64,1324.4,1327.58,1327.58
20-Aug-24,1330.88,1335.62,1313.41,1330.88,1330.88
19-Aug-24,1348.98,1349.51,1330.09,1348.98,1348.98
16-Aug-24,1363.51,1363.88,1353.54,1363.51,1363.51
15-Aug-24,1355.71,1366.14,1341.45,1355.71,1355.71
14-Aug-24,1362.17,1364.31,1334.56,1362.17,1362.17
13-Aug-24,1369.54,1372.19,1360.1,1369.54,1369.54
12-Aug-24,1363.84,1372.09,1362.98,1363.84,1363.84
9-Aug-24,1373.76,1377.06,1360.65,1373.76,1373.76
8-Aug-24,1375.33,1379.53,1372.13,1375.33,1375.33
7-Aug-24,1370.31,1378.95,1372.18,1370.31,1370.31
6-Aug-24,1367.4,1379.66,1364.08,1367.4,1367.4
5-Aug-24,1357.17,1374.33,1353.98,1357.17,1357.17
2-Aug-24,1368.97,1376.97,1350.99,1368.97,1368.97
1-Aug-24,1367.92,1369.37,1360.86,1367.92,1367.92
31-Jul-24,1383.5,1384.2,1368.39,1383.5,1383.5
30-Jul-24,1381.36,1386.17,1382.05,1381.36,1381.36
29-Jul-24,1382.09,1385.11,1379.26,1382.09,1382.09
26-Jul-24,1381.43,1387.04,1382.29,1381.43,1381.43
25-Jul-24,1382.65,1388.06,1376.6,1382.65,1382.65
24-Jul-24,1384.57,1387.46,1377.87,1384.57,1384.57
23-Jul-24,1387.1,1387.58,1381.66,1387.1,1387.1
22-Jul-24,1388.81,1389.99,1386,1388.81,1388.81
19-Jul-24,1385.24,1389.64,1383.98,1385.24,1385.24
18-Jul-24,1378.65,1383.86,1374.97,1378.65,1378.65
17-Jul-24,1382.64,1384.09,1375.08,1382.64,1382.64
16-Jul-24,1383.69,1387.14,1381.05,1383.69,1383.69
15-Jul-24,1374.11,1383.67,1374.01,1374.11,1374.11
12-Jul-24,1371.27,1379.45,1368.77,1371.27,1371.27
11-Jul-24,1382.99,1382.99,1361.62,1382.99,1382.99
10-Jul-24,1382.42,1387.76,1382.42,1382.42,1382.42
9-Jul-24,1382.75,1385.91,1380.42,1382.75,1382.75
8-Jul-24,1376.57,1384.91,1376.21,1376.57,1376.57
5-Jul-24,1380.25,1383.37,1371.51,1380.25,1380.25
4-Jul-24,1385.77,1386.71,1378.53,1385.77,1385.77
3-Jul-24,1383.42,1391.87,1381.33,1383.42,1383.42
2-Jul-24,1383.42,1390.22,1382.62,1383.42,1383.42
1-Jul-24,1380.29,1384.68,1376.83,1380.29,1380.29
28-Jun-24,1386.95,1388.27,1370.85,1386.95,1386.95
27-Jun-24,1393.38,1394.21,1383.13,1393.38,1393.38
26-Jun-24,1390.89,1394.51,1387.76,1390.89,1390.89
25-Jun-24,1386.11,1391.94,1383.76,1386.11,1386.11
24-Jun-24,1388.39,1391.06,1383.96,1388.39,1388.39
21-Jun-24,1391.82,1392.43,1385.75,1391.82,1391.82
20-Jun-24,1381.15,1391.08,1381.15,1381.15,1381.15
19-Jun-24,1378.61,1382.63,1377.63,1378.61,1378.61
18-Jun-24,1379.06,1385.25,1377.98,1379.06,1379.06
17-Jun-24,1382.28,1383.08,1377.35,1382.28,1382.28
14-Jun-24,1373.74,1386.86,1374.67,1373.74,1373.74
13-Jun-24,1370.41,1377.09,1366.26,1370.41,1370.41
12-Jun-24,1377.36,1380.17,1364.08,1377.36,1377.36
11-Jun-24,1373.96,1380.73,1373.87,1373.96,1373.96
10-Jun-24,1379.05,1381.37,1373.64,1379.05,1379.05
7-Jun-24,1365.25,1378.6,1354.34,1365.25,1365.25
6-Jun-24,1368.74,1369.01,1355.4,1368.74,1368.74
5-Jun-24,1373.72,1376.05,1367.45,1373.72,1373.72
4-Jun-24,1370.79,1378.44,1368.51,1370.79,1370.79
3-Jun-24,1382.1,1382.11,1369.97,1382.1,1382.1
31-May-24,1375.62,1387.49,1375.36,1375.62,1375.62
30-May-24,1370.55,1380.93,1369.74,1370.55,1370.55
29-May-24,1362.76,1370.27,1362.73,1362.76,1362.76
28-May-24,1360.93,1362.81,1354.85,1360.93,1360.93
27-May-24,1365.71,1366.92,1360.05,1365.71,1365.71
24-May-24,1367.62,1371.43,1363.63,1367.62,1367.62
23-May-24,1365.81,1367.13,1358.12,1365.81,1365.81
22-May-24,1363.42,1367.84,1359.95,1363.42,1363.42
21-May-24,1360.16,1367.32,1360.16,1360.16,1360.16
20-May-24,1353.39,1361.7,1353.38,1353.39,1353.39
17-May-24,1346.04,1359.39,1346.04,1346.04,1346.04
16-May-24,1353.6,1353.94,1342.09,1353.6,1353.6
15-May-24,1362.55,1365.55,1342.83,1362.55,1362.55
14-May-24,1363.79,1370.39,1362.6,1363.79,1363.79
13-May-24,1370.11,1372.91,1364.63,1370.11,1370.11
10-May-24,1365.4,1370.33,1363,1365.4,1365.4
9-May-24,1361.94,1371.83,1361.94,1361.94,1361.94
8-May-24,1357.73,1366.6,1356.27,1357.73,1357.73
7-May-24,1352.17,1360.85,1352.51,1352.17,1352.17
6-May-24,1355.05,1360.79,1352.35,1355.05,1355.05
3-May-24,1364.64,1370.34,1344.51,1364.64,1364.64
2-May-24,1375,1381.96,1368.99,1375,1375
1-May-24,1385.46,1387.65,1362.53,1385.46,1385.46
30-Apr-24,1374.64,1384.76,1372.79,1374.64,1374.64
29-Apr-24,1377.09,1383.96,1373.53,1377.09,1377.09
26-Apr-24,1371.7,1378.65,1370.34,1371.7,1371.7
25-Apr-24,1376.97,1379.09,1370.56,1376.97,1376.97
24-Apr-24,1370.48,1377.43,1366.79,1370.48,1370.48
23-Apr-24,1378.84,1379.61,1371.21,1378.84,1378.84
22-Apr-24,1373.93,1382.93,1373.41,1373.93,1373.93
19-Apr-24,1379.4,1392.62,1374.57,1379.4,1379.4
18-Apr-24,1379.54,1381.35,1370.36,1379.54,1379.54
17-Apr-24,1387.34,1390.79,1378.33,1387.34,1387.34
16-Apr-24,1387.67,1399.96,1387.15,1387.67,1387.67
15-Apr-24,1379.61,1389.01,1379.6,1379.61,1379.61
12-Apr-24,1367.84,1385.89,1366.96,1367.84,1367.84
11-Apr-24,1363.76,1370.83,1357.88,1363.76,1363.76
10-Apr-24,1348.54,1364.46,1326.93,1348.54,1348.54
9-Apr-24,1354.22,1356.52,1350.23,1354.22,1354.22
8-Apr-24,1350.27,1356.77,1350.27,1350.27,1350.27
5-Apr-24,1351.36,1355.19,1343,1351.36,1351.36
4-Apr-24,1344.84,1348.39,1343.31,1344.84,1344.84
3-Apr-24,1350.73,1352.89,1346.32,1350.73,1350.73
2-Apr-24,1355.53,1355.92,1347.53,1355.53,1355.53
1-Apr-24,1345.31,1356.01,1342.88,1345.31,1345.31
29-Mar-24,1349.8,1349.8,1340.7,1349.8,1349.8
28-Mar-24,1349.8,1352.76,1342,1349.8,1349.8
27-Mar-24,1343.06,1353.04,1341.33,1343.06,1343.06
26-Mar-24,1339.13,1344.21,1333.8,1339.13,1339.13
25-Mar-24,1343.6,1343.61,1332.41,1343.6,1343.6
22-Mar-24,1334.68,1346.75,1328.98,1334.68,1334.68
21-Mar-24,1330.11,1334.64,1321.53,1330.11,1330.11
20-Mar-24,1337.02,1341.48,1336.04,1337.02,1337.02
