Date,Open,High,Low,Close,Adj Close
31-Oct-24,20.1639,20.1817,20.0207,20.1639,20.1639
30-Oct-24,20.0538,20.218,19.9934,20.0538,20.0538
29-Oct-24,20.0287,20.0687,19.9532,20.0287,20.0287
28-Oct-24,19.9466,20.0898,19.9362,19.9466,19.9466
25-Oct-24,19.8142,19.9231,19.7625,19.8142,19.8142
24-Oct-24,19.8325,19.8933,19.7469,19.8325,19.8325
23-Oct-24,19.9362,20.093,19.9081,19.9362,19.9362
22-Oct-24,19.9608,19.9651,19.7691,19.9608,19.9608
21-Oct-24,19.8686,20.0603,19.8594,19.8686,19.8686
18-Oct-24,19.8168,19.8454,19.6407,19.8168,19.8168
17-Oct-24,19.8987,20.0242,19.8223,19.8987,19.8987
16-Oct-24,19.6951,19.9323,19.6631,19.6951,19.6951
15-Oct-24,19.4259,19.6675,19.3682,19.4259,19.4259
14-Oct-24,19.2995,19.3661,19.2264,19.2995,19.2995
11-Oct-24,19.4384,19.4872,19.3759,19.4384,19.4384
10-Oct-24,19.4674,19.6103,19.4292,19.4674,19.4674
9-Oct-24,19.3454,19.4427,19.3059,19.3454,19.3454
8-Oct-24,19.2897,19.4423,19.2224,19.2897,19.2897
7-Oct-24,19.2767,19.4224,19.1869,19.2767,19.2767
4-Oct-24,19.3355,19.3899,19.111,19.3355,19.3355
3-Oct-24,19.4082,19.565,19.3916,19.4082,19.4082
2-Oct-24,19.6264,19.6567,19.3388,19.6264,19.6264
1-Oct-24,19.6636,19.7799,19.6109,19.6636,19.6636
30-Sep-24,19.6305,19.7349,19.5449,19.6305,19.6305
27-Sep-24,19.6159,19.6604,19.5212,19.6159,19.6159
26-Sep-24,19.6366,19.6511,19.4645,19.6366,19.6366
25-Sep-24,19.3082,19.6333,19.2987,19.3082,19.3082
24-Sep-24,19.4154,19.4375,19.2391,19.4154,19.4154
23-Sep-24,19.3766,19.4971,19.3032,19.3766,19.3766
20-Sep-24,19.3,19.4825,19.2582,19.3,19.3
19-Sep-24,19.2433,19.3929,19.1346,19.2433,19.2433
18-Sep-24,19.1155,19.2861,19.0547,19.1155,19.1155
17-Sep-24,19.2056,19.3995,19.2006,19.2056,19.2056
16-Sep-24,19.1522,19.3837,19.1459,19.1522,19.1522
13-Sep-24,19.5208,19.5643,19.2197,19.5208,19.5208
12-Sep-24,19.7959,19.837,19.6008,19.7959,19.7959
11-Sep-24,20.0894,20.1415,19.769,20.0894,20.0894
10-Sep-24,19.8914,20.1298,19.8707,19.8914,19.8914
9-Sep-24,19.9402,20.0097,19.809,19.9402,19.9402
6-Sep-24,19.8814,20.0749,19.7492,19.8814,19.8814
5-Sep-24,19.9487,20.1461,19.8894,19.9487,19.9487
