Date,Open,High,Low,Close,Adj Close
31-Oct-24,97.0244,97.3861,96.9994,97.0191,97.0191
30-Oct-24,97.4963,97.5027,96.645,97.4954,97.4954
29-Oct-24,97.2477,98.0008,96.2494,97.2446,97.2446
28-Oct-24,97.2416,98.0027,96.9932,97.2434,97.2434
25-Oct-24,96.2454,97.3526,96.2223,96.2446,96.2446
24-Oct-24,95.9544,97.1544,95.8264,95.9508,95.9508
23-Oct-24,95.7446,96.8749,95.7233,95.7428,95.7428
22-Oct-24,96.7981,97.1004,95.7436,96.7946,96.7946
21-Oct-24,94.9537,97.5607,94.9446,94.9533,94.9533
18-Oct-24,97.3954,97.4062,95.2397,97.395,97.395
17-Oct-24,97.4977,97.708,96.9454,97.4968,97.4968
16-Oct-24,96.9959,97.6705,96.7,96.995,96.995
15-Oct-24,95.5972,99.1205,94.472,95.5906,95.5906
14-Oct-24,95.8999,96.4512,95.3209,95.8824,95.8824
11-Oct-24,96.5937,96.9543,95.7841,96.5954,96.5954
10-Oct-24,96.995,97.6138,96.5786,97.0003,97.0003
9-Oct-24,96.749,100.1029,96.4796,96.7446,96.7446
8-Oct-24,96.1964,96.807,96.0709,96.1964,96.1964
7-Oct-24,94.7958,96.5038,94.7306,94.7967,94.7967
4-Oct-24,94.4946,96.0148,94.4766,94.4925,94.4925
3-Oct-24,95.6469,95.655,94.7348,95.6468,95.6468
2-Oct-24,95.8456,95.8516,94.3831,95.8469,95.8469
1-Oct-24,92.9944,94.5079,92.6918,92.9994,92.9994
30-Sep-24,94.2426,94.347,91.9873,94.2287,94.2287
27-Sep-24,92.6114,93.3835,92.327,92.606,92.606
26-Sep-24,92.4956,92.8264,91.7209,92.4965,92.4965
25-Sep-24,92.7935,92.826,91.2353,92.7972,92.7972
24-Sep-24,91.4706,93.5252,91.4438,91.4693,91.4693
23-Sep-24,91.7624,93.4179,91.7029,91.7493,91.7493
20-Sep-24,92.171,93.1252,92.1524,92.1702,92.1702
19-Sep-24,93.6236,93.6926,92.0935,93.6227,93.6227
18-Sep-24,91.4968,92.553,90.9283,91.4961,91.4961
17-Sep-24,91.4066,91.6107,90.3728,91.3964,91.3964
16-Sep-24,89.7326,91.5042,89.6029,89.7362,89.7362
13-Sep-24,89.1916,91.5096,89.1762,89.1964,89.1964
12-Sep-24,91.5713,91.6907,91.0122,91.5688,91.5688
11-Sep-24,90.9956,92.2184,90.4894,90.9989,90.9989
10-Sep-24,90.5463,91.6292,89.9829,90.5402,90.5402
9-Sep-24,89.1577,91.2834,89.1143,89.1544,89.1544
6-Sep-24,88.2432,90.4976,88.2289,88.2484,88.2484
5-Sep-24,87.502,90.6226,87.481,87.4996,87.4996
4-Sep-24,87.8706,89.5016,87.8562,87.8725,87.8725
3-Sep-24,89.7903,90.1464,87.0703,89.7956,89.7956
2-Sep-24,90.6733,91.648,89.2681,90.6774,90.6774
