Date,Open,High,Low,Close,Adj Close
31-Oct-24,3.7511,3.7515,3.7508,3.7511,3.7511
30-Oct-24,3.751,3.7513,3.7508,3.751,3.751
29-Oct-24,3.7507,3.7549,3.7506,3.7507,3.7507
28-Oct-24,3.7512,3.755,3.7506,3.7512,3.7512
25-Oct-24,3.7515,3.7519,3.7511,3.7515,3.7515
24-Oct-24,3.7506,3.755,3.7505,3.7506,3.7506
23-Oct-24,3.751,3.7547,3.7499,3.751,3.751
22-Oct-24,3.7517,3.7556,3.7508,3.7517,3.7517
21-Oct-24,3.7515,3.7555,3.7503,3.7515,3.7515
18-Oct-24,3.7514,3.7517,3.751,3.7514,3.7514
17-Oct-24,3.7514,3.7555,3.7505,3.7514,3.7514
16-Oct-24,3.7495,3.7516,3.7495,3.7495,3.7495
15-Oct-24,3.7501,3.7506,3.7494,3.7501,3.7501
14-Oct-24,3.7494,3.7548,3.7486,3.7494,3.7494
11-Oct-24,3.7504,3.755,3.7502,3.7504,3.7504
10-Oct-24,3.7504,3.7545,3.7496,3.7504,3.7504
9-Oct-24,3.75,3.7505,3.7496,3.75,3.75
8-Oct-24,3.7514,3.7517,3.7498,3.7514,3.7514
7-Oct-24,3.7518,3.757,3.7502,3.7518,3.7518
4-Oct-24,3.7502,3.756,3.75,3.7502,3.7502
3-Oct-24,3.7483,3.7527,3.7482,3.7483,3.7483
2-Oct-24,3.7474,3.7515,3.7472,3.7474,3.7474
1-Oct-24,3.7469,3.7514,3.7466,3.7469,3.7469
30-Sep-24,3.7467,3.7508,3.7466,3.7467,3.7467
27-Sep-24,3.7465,3.7472,3.7462,3.7465,3.7465
26-Sep-24,3.7475,3.7507,3.7461,3.7475,3.7475
25-Sep-24,3.7472,3.7478,3.747,3.7472,3.7472
24-Sep-24,3.7475,3.7476,3.747,3.7475,3.7475
23-Sep-24,3.748,3.7519,3.7471,3.748,3.748
20-Sep-24,3.7481,3.7482,3.7478,3.7481,3.7481
19-Sep-24,3.7485,3.7486,3.7477,3.7485,3.7485
18-Sep-24,3.7489,3.7495,3.7483,3.7489,3.7489
17-Sep-24,3.7487,3.7492,3.7484,3.7487,3.7487
16-Sep-24,3.7526,3.7527,3.7479,3.7526,3.7526
13-Sep-24,3.7484,3.7488,3.748,3.7484,3.7484
12-Sep-24,3.7482,3.7484,3.748,3.7482,3.7482
11-Sep-24,3.7476,3.7515,3.7474,3.7476,3.7476
10-Sep-24,3.7484,3.7526,3.7467,3.7484,3.7484
9-Sep-24,3.7493,3.7538,3.7466,3.7493,3.7493
6-Sep-24,3.7492,3.7502,3.7484,3.7492,3.7492
5-Sep-24,3.7489,3.7496,3.7487,3.7489,3.7489
4-Sep-24,3.748,3.7493,3.748,3.748,3.748
3-Sep-24,3.748,3.7527,3.7479,3.748,3.748
2-Sep-24,3.7478,3.7522,3.7478,3.7478,3.7478
30-Aug-24,3.7478,3.7486,3.7478,3.7478,3.7478
29-Aug-24,3.748,3.752,3.7475,3.748,3.748
28-Aug-24,3.7477,3.7483,3.7477,3.7477,3.7477
27-Aug-24,3.7477,3.7518,3.7475,3.7477,3.7477
26-Aug-24,3.7516,3.752,3.7469,3.7516,3.7516
23-Aug-24,3.7476,3.7481,3.7472,3.7476,3.7476
22-Aug-24,3.7474,3.7517,3.7471,3.7474,3.7474
21-Aug-24,3.7477,3.7479,3.7475,3.7477,3.7477
20-Aug-24,3.7478,3.7481,3.7467,3.7478,3.7478
19-Aug-24,3.7481,3.7526,3.7476,3.7481,3.7481
16-Aug-24,3.7481,3.7524,3.748,3.7481,3.7481
15-Aug-24,3.7484,3.752,3.7464,3.7484,3.7484
14-Aug-24,3.7496,3.7499,3.74,3.7496,3.7496
13-Aug-24,3.7491,3.7538,3.7489,3.7491,3.7491
12-Aug-24,3.749,3.7539,3.7473,3.749,3.749
9-Aug-24,3.7482,3.7537,3.7456,3.7482,3.7482
8-Aug-24,3.7493,3.7532,3.7445,3.7493,3.7493
7-Aug-24,3.75,3.7523,3.7488,3.75,3.75
6-Aug-24,3.7495,3.7536,3.7493,3.7495,3.7495
5-Aug-24,3.7493,3.7534,3.7464,3.7493,3.7493
2-Aug-24,3.7479,3.7538,3.7478,3.7479,3.7479
1-Aug-24,3.7472,3.7482,3.7468,3.7472,3.7472
31-Jul-24,3.7468,3.7475,3.7467,3.7468,3.7468
30-Jul-24,3.7469,3.7478,3.7464,3.7469,3.7469
29-Jul-24,3.746,3.751,3.7468,3.746,3.746
26-Jul-24,3.747,3.7478,3.7467,3.747,3.747
25-Jul-24,3.7467,3.7484,3.7464,3.7467,3.7467
24-Jul-24,3.7466,3.747,3.7459,3.7466,3.7466
23-Jul-24,3.7466,3.7467,3.7462,3.7466,3.7466
22-Jul-24,3.7503,3.7503,3.746,3.7503,3.7503
19-Jul-24,3.7463,3.7464,3.7455,3.7463,3.7463
