Date,Open,High,Low,Close,Adj Close
31-Oct-24,34.2832,34.2881,34.2196,34.2832,34.2832
30-Oct-24,34.2748,34.2984,34.09,34.2748,34.2748
29-Oct-24,34.2877,34.2967,34.2447,34.2877,34.2877
28-Oct-24,34.2833,34.3066,34.2566,34.2833,34.2833
25-Oct-24,34.2877,34.2986,34.2375,34.2877,34.2877
24-Oct-24,34.2684,34.2841,34.2076,34.2684,34.2684
23-Oct-24,34.2531,34.2985,34.2219,34.2531,34.2531
22-Oct-24,34.2457,34.2605,34.1884,34.2457,34.2457
21-Oct-24,34.2761,34.2832,34.2156,34.2761,34.2761
18-Oct-24,34.1922,34.2948,34.1535,34.1922,34.1922
17-Oct-24,34.1646,34.2284,34.0991,34.1646,34.1646
16-Oct-24,34.1948,34.2459,34.1613,34.1948,34.1948
15-Oct-24,34.2522,34.2703,34.1872,34.2522,34.2522
14-Oct-24,34.2762,34.2965,34.2422,34.2762,34.2762
11-Oct-24,34.2523,34.2955,34.2515,34.2523,34.2523
10-Oct-24,34.2562,34.2784,34.1613,34.2562,34.2562
9-Oct-24,34.2635,34.2753,34.2066,34.2635,34.2635
8-Oct-24,34.2457,34.2809,34.2364,34.2457,34.2457
7-Oct-24,34.2262,34.2767,34.222,34.2262,34.2262
4-Oct-24,34.2268,34.2588,34.2063,34.2268,34.2268
3-Oct-24,34.2306,34.2414,34.1324,34.2306,34.2306
2-Oct-24,34.1862,34.2289,34.0974,34.1862,34.1862
1-Oct-24,34.204,34.2196,34.0639,34.204,34.204
30-Sep-24,34.1491,34.2001,34.1345,34.1491,34.1491
27-Sep-24,34.1754,34.1907,34.1336,34.1754,34.1754
26-Sep-24,34.1607,34.1715,34.1143,34.1607,34.1607
25-Sep-24,34.1123,34.1548,34.0943,34.1123,34.1123
24-Sep-24,34.1497,34.1618,34.1014,34.1497,34.1497
23-Sep-24,34.0558,34.1545,33.9901,34.0558,34.0558
20-Sep-24,34.08,34.1174,34.063,34.08,34.08
19-Sep-24,34.0708,34.1149,33.9828,34.0708,34.0708
18-Sep-24,34.0691,34.1145,34.0162,34.0691,34.0691
17-Sep-24,33.9795,34.1078,33.9725,33.9795,33.9795
16-Sep-24,33.9552,34.0298,33.892,33.9552,33.9552
13-Sep-24,33.9746,33.9821,33.8874,33.9746,33.9746
12-Sep-24,33.9992,34.0071,33.8981,33.9992,33.9992
11-Sep-24,34.0444,34.0818,33.9123,34.0444,34.0444
10-Sep-24,34.0957,34.1027,34.026,34.0957,34.0957
9-Sep-24,33.9965,34.0799,33.945,33.9965,33.9965
6-Sep-24,33.985,34.0566,33.9295,33.985,33.985
5-Sep-24,34.0367,34.0477,33.9277,34.0367,34.0367
4-Sep-24,33.9976,34.0883,33.977,33.9976,33.9976
3-Sep-24,33.9134,34.0204,33.8969,33.9134,33.9134
2-Sep-24,34.0708,34.0829,33.8726,34.0708,34.0708
30-Aug-24,34.0773,34.0884,34.0334,34.0773,34.0773
29-Aug-24,34.1394,34.1881,34.04,34.1394,34.1394
28-Aug-24,34.0172,35.664,33.9778,34.0172,34.0172
27-Aug-24,34.0253,34.0346,33.9833,34.0253,34.0253
26-Aug-24,34.0224,34.0225,33.9559,34.0224,34.0224
23-Aug-24,33.9575,34.0056,33.9065,33.9575,33.9575
22-Aug-24,33.925,33.9548,33.8858,33.925,33.925
21-Aug-24,33.8986,33.9561,33.8759,33.8986,33.8986
20-Aug-24,33.7588,33.8937,33.7449,33.7588,33.7588
19-Aug-24,33.6881,33.752,33.6605,33.6881,33.6881
16-Aug-24,33.6382,33.7124,33.6524,33.6382,33.6382
15-Aug-24,33.5922,33.6655,33.5841,33.5922,33.5922
14-Aug-24,33.5095,33.6297,33.4435,33.5095,33.5095
13-Aug-24,33.4538,33.5724,33.4325,33.4538,33.4538
12-Aug-24,33.5231,33.5855,33.4941,33.5231,33.5231
9-Aug-24,33.5326,33.5942,33.5082,33.5326,33.5326
8-Aug-24,33.5123,33.5457,33.4572,33.5123,33.5123
7-Aug-24,33.6192,33.6196,33.4194,33.6192,33.6192
6-Aug-24,33.3942,33.6102,33.2654,33.3942,33.3942
5-Aug-24,33.2451,33.4165,33.2034,33.2451,33.2451
2-Aug-24,33.1593,33.7238,33.1182,33.1593,33.1593
1-Aug-24,33.176,33.1785,33.0479,33.176,33.176
31-Jul-24,33.0985,33.1655,33.0867,33.0985,33.0985
30-Jul-24,33.0555,33.0939,33.0337,33.0555,33.0555
29-Jul-24,33.024,33.0464,32.9061,33.024,33.024
26-Jul-24,33.1165,33.1399,32.9403,33.1165,33.1165
25-Jul-24,32.8563,33.1059,32.8011,32.8563,32.8563
24-Jul-24,32.8409,32.8749,32.8085,32.8409,32.8409
23-Jul-24,32.9262,32.9601,32.7842,32.9262,32.9262
22-Jul-24,32.9978,33.0957,32.8842,32.9978,32.9978
19-Jul-24,33.0881,33.1516,32.997,33.0881,33.0881
18-Jul-24,33.0796,33.115,33.0505,33.0796,33.0796
17-Jul-24,33.0405,33.0965,33.0225,33.0405,33.0405
16-Jul-24,33.0175,33.0956,32.9537,33.0175,33.0175
15-Jul-24,33.0848,33.0953,32.7687,33.0848,33.0848
12-Jul-24,32.949,33.0744,32.9473,32.949,32.949
11-Jul-24,32.8798,32.9599,32.806,32.8798,32.8798
10-Jul-24,32.9038,33.0212,32.847,32.9038,32.9038
9-Jul-24,32.7173,32.9198,32.6712,32.7173,32.7173
8-Jul-24,32.6746,32.7389,32.6014,32.6746,32.6746
5-Jul-24,32.638,32.756,32.6049,32.638,32.638
4-Jul-24,32.534,32.5839,32.4974,32.534,32.534
3-Jul-24,32.5436,32.6205,32.4954,32.5436,32.5436
2-Jul-24,32.6482,32.7342,32.5404,32.6482,32.6482
1-Jul-24,32.7705,32.793,32.6109,32.7705,32.7705
28-Jun-24,32.8878,33.0506,32.7087,32.8878,32.8878
27-Jun-24,32.8385,32.9375,32.805,32.8385,32.8385
26-Jun-24,32.9446,33.005,32.8228,32.9446,32.9446
25-Jun-24,32.921,33.0025,32.9208,32.921,32.921
24-Jun-24,32.8263,32.9158,32.6949,32.8263,32.8263
21-Jun-24,32.8295,32.879,32.7745,32.8295,32.8295
20-Jun-24,32.5133,32.8595,32.4505,32.5133,32.5133
19-Jun-24,32.5511,32.6641,32.4367,32.5511,32.5511
18-Jun-24,32.8194,32.8357,32.5628,32.8194,32.8194
17-Jun-24,32.6573,32.8634,32.6242,32.6573,32.6573
14-Jun-24,32.4901,32.7343,32.4787,32.4901,32.4901
13-Jun-24,32.3287,32.4043,32.2321,32.3287,32.3287
12-Jun-24,32.3649,32.3812,32.2656,32.3649,32.3649
11-Jun-24,32.3828,32.4112,32.3273,32.3828,32.3828
10-Jun-24,32.4061,32.537,32.1442,32.4061,32.4061
7-Jun-24,32.2888,32.3906,32.1854,32.2888,32.2888
6-Jun-24,32.2744,32.3233,32.1564,32.2744,32.2744
5-Jun-24,32.6338,32.6608,32.274,32.6338,32.6338
4-Jun-24,32.1786,32.6195,32.1474,32.1786,32.1786
3-Jun-24,32.2358,32.2543,32.1626,32.2358,32.2358
31-May-24,32.2438,32.3111,32.1736,32.2438,32.2438
30-May-24,32.2601,32.3517,32.1977,32.2601,32.2601
29-May-24,32.2409,32.275,32.1928,32.2409,32.2409
28-May-24,32.108,32.2423,31.9818,32.108,32.108
27-May-24,32.22,32.2416,32.0659,32.22,32.22
24-May-24,32.222,32.2748,32.1962,32.222,32.222
23-May-24,32.151,32.2285,32.1416,32.151,32.151
22-May-24,32.1909,32.2217,32.1479,32.1909,32.1909
21-May-24,32.2121,32.2318,32.1689,32.2121,32.2121
20-May-24,32.2326,32.2859,31.9504,32.2326,32.2326
17-May-24,32.2629,32.2953,32.1971,32.2629,32.2629
16-May-24,32.1605,32.2505,32.0413,32.1605,32.1605
15-May-24,32.2812,32.3168,32.21,32.2812,32.2812
14-May-24,32.2517,32.2914,32.1979,32.2517,32.2517
13-May-24,32.1812,32.3486,32.1313,32.1812,32.1812
10-May-24,32.2831,32.2995,32.1725,32.2831,32.2831
9-May-24,32.3485,32.3764,32.1406,32.3485,32.3485
8-May-24,32.2562,32.3508,32.2374,32.2562,32.2562
7-May-24,32.2826,32.307,32.1974,32.2826,32.2826
6-May-24,32.3024,32.3631,32.2018,32.3024,32.3024
3-May-24,32.4033,32.4353,32.2911,32.4033,32.4033
2-May-24,32.273,32.421,32.2394,32.273,32.273
1-May-24,32.4033,32.5343,32.3367,32.4033,32.4033
30-Apr-24,32.3699,32.4634,32.2671,32.3699,32.3699
29-Apr-24,32.5312,32.5314,31.9254,32.5312,32.5312
26-Apr-24,32.5353,32.5968,32.4192,32.5353,32.5353
25-Apr-24,32.5667,32.5827,32.4557,32.5667,32.5667
24-Apr-24,32.5105,32.5781,32.4839,32.5105,32.5105
23-Apr-24,32.5646,32.6526,32.4222,32.5646,32.5646
22-Apr-24,32.6037,32.623,32.4702,32.6033,32.6033
19-Apr-24,32.5633,33.7358,32.4818,32.5633,32.5633
18-Apr-24,32.4712,32.5371,32.3858,32.4712,32.4712
17-Apr-24,32.5114,32.567,32.4806,32.5114,32.5114
16-Apr-24,32.407,32.5044,32.3892,32.407,32.407
15-Apr-24,32.3969,32.4278,32.2631,32.3969,32.3969
12-Apr-24,32.4182,33.6485,32.1325,32.4182,32.4182
11-Apr-24,32.286,32.3149,32.2331,32.286,32.286
10-Apr-24,32.2243,32.2936,32.2232,32.2243,32.2243
9-Apr-24,32.1565,32.2969,32.0849,32.1565,32.1565
8-Apr-24,32.0076,32.1976,31.8848,32.0076,32.0076
5-Apr-24,31.945,32.0408,31.8603,31.945,31.945
4-Apr-24,31.9453,31.9553,31.8601,31.9453,31.9453
3-Apr-24,32.0521,32.0779,31.9155,32.0521,32.0521
2-Apr-24,32.2624,32.329,31.9705,32.2624,32.2624
