order,Target 1,attribute a,attribute b,Target 2,attribute a,attribute b,Target 3,attribute a,attribute b,Target 4,attribute a,attribute b,Target 5,attribute a,attribute b,Target 6,attribute a,attribute b,Target 7,attribute a,attribute b,Target 8,attribute a,attribute b,Target 9,attribute a,attribute b,Target 10,attribute a,attribute b
1,4.311710168,2.37850687,1.013786181,4.471795978,1.878454344,1.793888965,4.567752607,1.852493217,2.474261307,4.027248802,2.434163069,1.389375803,4.450648461,2.356031234,2.401325668,4.245902785,2.135719815,2.507986547,4.279075434,1.212445665,1.792068572,3.979780704,1.439720804,1.688861262,4.474883011,2.43078704,2.40179529,4.132703712,2.503526461,1.790944886
2,4.176358252,2.028721038,2.346350558,4.462349148,2.443589266,2.650067319,4.194132081,1.776459845,2.451417864,4.313227772,2.280057651,2.620120296,4.029480512,2.687483267,2.312069639,4.513226122,1.870155637,2.136532588,4.211617266,1.75378267,2.084267648,4.404818755,2.490041693,2.570604217,4.258478216,1.49058197,2.0235155,4.089395736,1.873269441,2.511673027
3,4.186382463,2.819054834,2.075100105,4.086506023,2.153168903,2.465669741,4.397319085,2.586302627,2.596859378,4.026925977,2.724901601,2.723008279,4.508909462,2.305241806,2.199675452,4.05627297,2.246701047,2.537706032,4.536137379,2.671343361,2.735302125,4.521146751,2.372825301,2.451742748,4.056239966,2.106805496,2.035108714,4.462314533,2.293992402,2.485626502
4,4.517646767,2.802911963,2.845323366,4.200023877,2.173667342,2.535930768,4.609358901,2.847089433,2.161931751,4.421396313,2.922502092,2.380213531,4.19346745,2.300578978,2.836585993,4.522551308,2.197892514,2.591271525,4.423039012,2.247770322,2.303695292,4.324045716,2.442646638,2.211312085,4.476953046,2.474284491,2.806151806,4.250601677,2.818028792,2.203746682
5,4.394621518,1.983102485,2.770760853,4.094726777,3.04400205,2.852324667,4.13927083,2.66782049,2.777014404,4.660488524,2.267995522,3.033620546,4.618534896,2.471045336,2.65225249,4.183869518,2.687526085,3.008509018,4.607550159,2.143437773,3.060395458,4.148256262,2.759152356,2.583817392,4.651803029,2.544453998,3.033573344,4.645045679,2.738248049,2.824907589
6,4.739237839,2.291906785,2.667955647,4.172464801,2.82535097,2.807930887,4.430386953,2.558632082,2.87988292,4.637663167,3.162636702,2.607577664,4.672602058,2.627992535,2.939457039,4.175352171,2.432893801,3.089349164,4.470686299,2.710596979,2.613193683,4.388400699,2.775282601,2.760066807,4.39789819,2.348695395,2.760212168,4.678935066,3.07763634,2.975927288
7,4.333130478,2.517004151,3.086034546,4.256328667,3.100654341,3.05343347,4.321786307,2.652921949,2.257258334,4.11889515,2.593646093,3.103885152,4.355132953,2.84279428,3.225244396,4.55724607,2.855671108,2.889181933,4.476154808,3.161670392,2.796916854,4.529694433,2.848047538,2.891972394,4.553433745,3.108792431,2.883302114,4.495884025,3.056884824,2.330552889
8,4.395633845,3.003613753,3.081075502,4.515092184,3.355151917,2.990654499,4.313631392,3.269226774,3.085268861,4.107414591,3.150046599,2.767008515,4.434144324,2.655359947,2.690603321,4.197365557,3.077060819,2.870085715,4.282700185,3.081450292,2.866990428,4.715150584,2.596098771,3.26457514,4.746267545,3.235351301,3.093433907,4.701417792,2.752118566,3.208093932
9,4.257115744,2.719256339,2.961583788,4.731829984,2.987912402,3.130650256,4.450237377,3.139126512,2.67217134,4.623567108,3.049453809,3.187651201,4.755465542,3.042077908,2.917060383,4.245712487,2.922058983,3.392605244,4.463304626,3.156927201,3.062363192,4.471532009,3.218254147,3.195105522,4.517287922,3.39590645,2.691890237,4.660774623,3.12212361,2.649581507
10,4.345652049,2.779716177,3.382011152,4.516368706,2.727370157,2.948111705,4.439919514,3.282679684,3.161985139,4.279859483,3.175500369,3.080678161,4.395807813,3.225681005,3.346784289,4.705404944,3.267111369,3.119659539,4.642335207,3.492461422,3.273756716,4.485120517,3.361258526,3.06390599,4.6043448,3.268542194,2.731601381,4.736436556,3.117943625,3.374048974
