order,Target 1,attribute a,attribute b,Target 2,attribute a,attribute b,Target 3,attribute a,attribute b,Target 4,attribute a,attribute b,Target 5,attribute a,attribute b,Target 6,attribute a,attribute b,Target 7,attribute a,attribute b,Target 8,attribute a,attribute b,Target 9,attribute a,attribute b,Target 10,attribute a,attribute b,Target 11,attribute a,attribute b,Target 12,attribute a,attribute b,Target 13,attribute a,attribute b,Target 14,attribute a,attribute b,Target 15,attribute a,attribute b,Target 16,attribute a,attribute b,Target 17,attribute a,attribute b,Target 18,attribute a,attribute b,Target 19,attribute a,attribute b,Target 20,attribute a,attribute b
1,4.616221852,1.462684624,1.149636378,4.520851519,0.804196996,2.121868848,3.98501764,0.880095248,1.507135994,4.055432861,0.948148911,0.964065205,4.565552511,1.504645894,2.250861416,4.439878196,2.151541748,1.931972622,4.435102314,2.403468566,2.484529295,4.59492328,2.233530502,2.232143123,4.57317488,2.394145309,1.157340578,4.567318193,2.241688607,2.415935445,4.517911809,2.170106662,2.477282239,4.241283346,2.149726013,2.203291705,4.004165339,2.300263874,1.982481905,4.496886119,2.266971265,1.842806375,4.43484858,1.942372831,2.267154463,4.376220841,1.98759732,1.680164912,4.462047458,2.284855461,2.343039436,4.348486284,1.97713243,2.209602685,4.190116619,2.057791785,2.444164253,4.514912804,1.926219857,1.984061625
2,4.422733094,1.761412246,1.864819727,4.184972821,1.900174137,1.289643406,4.483898907,2.409149654,1.323600033,4.457443935,2.277754942,1.835299817,4.304240919,2.060120812,2.360330261,4.495637752,2.420900005,2.349368539,4.595761711,1.736988706,2.445864055,4.491719557,1.923077832,2.65924654,4.619931546,1.530890876,2.174257395,4.534744691,1.983094318,1.969018578,4.286138841,1.548465652,2.042104893,4.105664128,1.613536016,2.188033912,4.322630837,2.575428429,1.531919401,4.385633252,2.007191636,2.336018847,4.376004964,2.431736581,1.622878708,4.513516874,2.573894056,2.376397663,4.416778158,2.403831052,2.595129488,4.619477213,1.758180299,2.444202751,4.512156238,2.643027483,2.591647184,4.378955607,2.567929568,2.272150933
3,4.302903063,1.762037998,2.606247738,4.090600599,2.622084067,1.909050968,4.378765672,2.623361149,2.146869393,4.455569802,2.635204175,2.212281935,4.394486226,2.770121665,2.562896515,4.583530679,2.261888643,2.609189868,4.152881368,1.823822807,2.057653512,4.390353815,2.05581747,2.46132169,4.31266994,2.017077966,2.832763672,4.652125999,2.231078096,2.574373926,4.322633687,2.105145891,2.354422686,4.566038701,2.368112872,1.723326954,4.563848885,2.573149265,2.711423008,4.503517927,2.624891493,2.70639696,4.068729131,2.524051747,2.055751955,4.38469868,2.474036155,2.348355861,4.321175878,2.36901172,2.373921375,4.191072894,2.480395416,1.569732121,4.452062421,2.653721983,2.323264834,4.527808416,2.675905288,2.75289712
4,4.570140199,2.249815319,2.767383742,4.181916965,2.589341173,2.121682721,4.091329015,2.595746546,2.448133866,4.37850683,2.403352435,1.89664084,4.112946728,2.775051282,2.183296834,4.37119268,2.359857657,1.944780127,4.337123262,1.993265753,2.374156392,4.674637615,2.626920401,2.781682732,4.580311152,1.789822356,2.100571677,4.600616146,2.665551358,2.778151763,4.262855912,2.756824258,2.783182874,4.425319578,2.870389755,2.071284856,4.231403852,2.884746654,2.667000386,4.05015086,2.776781653,2.817748945,4.309762687,2.680782247,2.706168643,4.681212574,2.199388937,2.43446579,4.668727495,2.855157632,1.858951993,4.561529169,2.296956141,2.670467776,4.060955854,2.7092043,2.405021218,4.372851212,2.574350207,2.428422502
5,4.623066587,2.424062936,2.44581811,4.576916658,2.904086096,2.607511676,4.219619654,2.859846905,2.556486132,4.575458018,2.980860649,2.702518737,4.243821796,2.200645369,2.107184344,4.184615115,2.488074976,2.709267686,4.627442103,2.791421098,2.520673999,4.161580425,2.319923202,2.503547469,4.259594665,2.90661936,2.528476435,4.645918156,2.780245656,2.771207011,4.19753245,2.400534353,3.074548337,4.113776282,2.484441206,2.495392167,4.682468584,2.762938541,2.410803102,4.371293756,2.870763183,2.733684613,4.518130844,2.510583928,2.708582873,4.236175465,2.92440451,2.623516439,4.405264861,2.658770005,2.3363125,4.38368289,2.488665773,2.604878203,4.371917402,2.238609897,2.880179827,4.650285462,2.573729662,2.92443189
6,4.512512968,2.810284081,2.851458964,4.505204898,3.03115308,2.723119841,4.638405958,2.799098705,3.140140254,4.099212187,2.502162579,2.926724537,4.344783982,2.837768558,2.71028692,4.575539427,2.45556606,3.188479898,4.457643515,3.0485235,2.802315451,4.565064468,2.773774801,2.97008556,4.266568603,2.664704972,2.360380796,4.247282759,2.658404214,2.454830257,4.2541692,2.874655355,2.518251429,4.268479881,3.062069171,2.702027754,4.436448944,2.53117015,3.074458471,4.387743375,2.287667903,2.589752397,4.165437282,2.864841486,2.890263413,4.131675947,3.119306527,2.718314749,4.372882169,2.694269112,2.600239115,4.690067054,2.714279255,2.762560316,4.398024994,3.05004342,2.610410851,4.218250259,2.925257556,2.989697293
7,4.654384709,2.648228346,2.804734121,4.201228118,3.11112658,2.540509165,4.676608514,3.133592843,3.20216198,4.438320291,3.054660959,2.998657064,4.689752716,2.850510273,2.844432549,4.359789112,2.820416806,3.021359044,4.231246145,3.017194886,2.913434737,4.460057848,2.890228048,2.96794788,4.293007297,2.99241317,2.872291864,4.512757593,2.835033704,2.982620949,4.715460034,3.052642324,3.035953466,4.433179114,2.841223408,2.814397916,4.280933869,3.073649325,3.06294985,4.672710685,3.086068498,2.926275089,4.108902693,2.620824757,2.739733788,4.219035026,3.06745395,2.477253381,4.670577417,2.849659815,3.026248515,4.626110348,2.861106235,2.997662749,4.417567028,2.957342524,2.868099309,4.652109302,3.01560534,2.73977344
8,4.167634192,3.004192776,2.981139309,4.233776868,2.989784762,3.010185523,4.682544711,2.790596574,3.027015733,4.545625051,3.141488585,3.308789409,4.412884752,3.074225068,3.07483659,4.605424339,3.112705028,2.848736308,4.567411621,2.514744417,2.604655055,4.285059012,3.089748939,2.951443897,4.399500748,3.18127939,3.077838099,4.217951495,2.462353861,3.09263988,4.307082081,3.01898527,3.109702658,4.600716386,3.072721987,2.416867861,4.529328562,2.96360902,2.972253116,4.65484477,2.698148221,3.124441678,4.455934594,2.95433572,3.205371557,4.704633669,3.201829352,3.034688405,4.46172212,2.631892368,3.202844532,4.72661577,2.831672698,2.618874054,4.432358766,3.064041714,2.921492871,4.417414631,3.153958317,3.231566835
9,4.727577712,3.385891168,3.098419035,4.741999668,3.245990508,2.904936747,4.343506615,3.01431073,3.242312562,4.595754879,2.706731379,2.795497857,4.237974884,3.052561369,2.895416618,4.710152889,3.272234887,3.179357445,4.49634734,3.32331707,3.133773506,4.32357578,3.259504297,3.145027903,4.251427685,3.235755222,2.943682434,4.535048898,3.240919322,3.046514368,4.243206235,3.29644395,3.153499783,4.589878,2.836553031,2.858068763,4.342543416,3.163981797,3.366071897,4.612623216,2.642534887,2.703602342,4.560872231,3.208387039,2.750849354,4.332777944,2.793218183,2.927882879,4.48674957,2.978814214,3.101607492,4.428223268,3.121659739,3.093682152,4.691722954,3.230696618,3.402232745,4.257465116,2.995667227,2.74614957
10,4.468917548,3.16026021,3.107802344,4.216532275,3.001118851,3.151308669,4.377499148,2.956487408,3.25231808,4.369128799,3.429639902,3.05556879,4.24645402,3.034928142,3.231098861,4.608622798,3.427423047,3.105430059,4.33821879,3.274666041,3.337244641,4.631564908,3.222344594,3.060039317,4.562060775,3.434995023,2.987496173,4.613444309,3.381529045,3.319070695,4.435119893,3.106524596,3.198661978,4.49318058,3.379098451,2.929922643,4.668071709,3.181224506,2.679224525,4.451612496,3.12698375,3.234485095,4.471022322,3.138897509,3.07172831,4.623200795,2.713250345,3.17799028,4.313558602,3.156377866,3.093811068,4.70007334,2.979120152,3.411580413,4.782078981,3.310493212,3.259576427,4.572215253,3.218776319,2.992776686
11,4.246383805,3.360778848,3.244027102,4.701344061,3.400358697,3.026017132,4.830398865,3.305249155,3.293718269,4.683293243,3.23776601,3.016107405,4.770867437,3.511324682,3.267032016,4.312706722,3.047531691,2.798252158,4.63026027,3.389738337,2.968982912,4.635138716,3.203362373,3.263331157,4.342824213,3.243993287,3.365427221,4.449492231,3.503887048,2.836524323,4.55985382,3.494184185,3.056796377,4.645084005,3.328733911,3.137814078,4.721501571,3.352644477,3.22631342,4.40470382,3.312686081,3.052611004,4.481579378,2.868641195,3.224835197,4.420480718,3.26058411,3.50991826,4.588961848,3.406226302,3.358843625,4.569905372,3.337530197,3.094835837,4.786247525,2.914570643,3.229214726,4.77889426,3.269662988,3.123136026
12,4.815818195,3.089781217,3.371527315,4.715445572,3.375206897,3.229562224,4.369469051,3.467690003,3.159760197,4.411100742,3.16881577,3.217611748,4.357623401,3.225580041,2.858433104,4.480628271,3.288906334,3.181872139,4.371307727,3.246617137,2.957756788,4.726906906,3.357832321,3.130875328,4.704725857,3.381364644,3.384209918,4.620438785,3.477198633,3.343629133,4.653628012,3.0007345,3.536953228,4.279453042,3.078080051,3.478944164,4.344954844,3.274461988,2.885595518,4.287278374,3.284771866,3.46774724,4.648815827,3.474355061,3.42625673,4.399674863,3.34272749,3.316955843,4.57250512,2.839177958,3.457295275,4.693386978,3.4257891,3.333319765,4.544665705,3.495287577,3.349200181,4.708478352,3.237541128,3.243345772
13,4.327333815,3.304108003,3.614936607,4.714178727,3.595609351,3.006380751,4.470914191,3.329296271,3.40498663,4.703394752,3.257305029,3.211410295,4.789432694,3.275383374,3.165190746,4.750807851,3.322539912,3.658187826,4.226449341,3.2286118,3.304773044,4.611055925,3.493735856,3.306210861,4.766151313,3.516965614,3.33409414,4.715829856,3.221443026,3.716792625,4.510787516,3.151444048,3.290100139,4.778255406,3.453858355,3.215952171,4.521442285,3.50874398,3.204446833,4.781961308,3.309425194,3.534151043,4.529003046,3.424796376,3.494317165,4.539429974,3.415388762,3.454458797,4.669253736,3.11819889,3.026919505,4.519471265,3.416577631,3.468770689,4.271843654,3.316382159,3.343866322,4.706790615,3.253161548,3.346627112
14,4.738901963,3.477475432,3.571156992,4.393338213,3.14062367,3.488408008,4.752249052,3.393230169,3.626858338,4.484591159,3.662861168,3.298773596,4.761319465,3.036301316,3.333882312,4.711814091,3.274599915,3.613957243,4.632281583,3.251179944,3.598866579,4.808141032,3.38028626,3.140312421,4.460426295,3.506401226,2.89664869,4.688135315,3.130645682,3.701208597,4.644841448,3.292485884,3.31022608,4.470123903,3.303777695,3.459325299,4.591329505,3.432688008,3.638855665,4.636046532,3.598094055,3.698117072,4.383528902,3.563809075,3.27227453,4.621212533,3.562942872,3.70040408,4.497902828,3.539451511,3.498307188,4.412038519,3.367573751,3.289491168,4.70834837,3.224051032,3.69620469,4.570689592,3.294275837,3.18243761
15,4.435633822,3.292942011,3.263181383,4.735764751,3.498578451,3.694091811,4.785450608,3.322691807,3.426111146,4.732178508,3.517300258,3.539342387,4.878408815,3.772824745,3.349186783,4.327423114,3.344739393,3.476017618,4.536644323,3.706612175,3.442083337,4.624560041,3.557260983,3.788378644,4.677801101,3.758099645,3.29968679,4.427993507,3.685894542,3.291885107,4.838649687,3.473142753,3.247912021,4.661471529,3.414676601,3.076491091,4.881804638,3.224954878,3.303770192,4.666653707,3.303874101,3.312434297,4.694104343,3.540267407,3.347972727,4.603187365,3.458034944,3.667105574,4.848489867,3.702688157,3.396505151,4.354286172,3.395624037,3.555818928,4.622932156,3.271961672,3.548055855,4.671230942,3.26354826,3.468602474
16,4.762481514,3.409461067,3.550108541,4.702834774,3.336812884,3.226378017,4.874583331,3.698239942,3.334348175,4.737211153,3.591030261,3.763526023,4.718018649,3.599793598,3.204526137,4.802762233,3.317947945,3.672898883,4.531454936,3.6134316,3.851830802,4.59320013,3.565847276,3.284323493,4.66979565,3.416126262,3.685233632,4.841343011,3.618203224,3.519046942,4.804682895,3.62301568,3.553071164,4.309732055,3.486536059,3.160509962,4.621949651,3.606263438,3.690050276,4.53700199,3.304800986,3.446812246,4.825681994,3.31899196,3.422132927,4.873391526,3.57607327,3.353772047,4.834804286,3.70365138,3.454164251,4.737500721,3.76648017,3.854970793,4.490598248,3.429046298,3.447151234,4.522076162,3.455672924,3.388892519
17,4.508005206,3.709475356,3.646402488,4.751671983,3.772578892,3.346564357,4.707743022,3.37820559,3.181895656,4.84915759,3.349777538,3.805356494,4.598490539,3.51713922,3.707462333,4.415883629,3.553192459,3.89400221,4.813378888,3.556458247,3.766366457,4.553465659,3.550330233,3.77649562,4.809162758,3.669761584,3.890998978,4.914663472,3.777724655,3.588847747,4.466823208,3.398769013,3.306688898,4.510738508,3.740024826,3.76774496,4.70979885,3.646880798,3.510077556,4.461940461,3.718311822,3.106046212,4.74919373,3.738887524,3.715707771,4.783856773,3.52755794,3.597994522,4.649795495,3.277907519,3.341369851,4.841017948,3.762646197,3.430288135,4.634497242,3.518508785,3.274968062,4.467703929,3.217241307,3.536923361
18,4.903371393,3.614626523,3.31391747,4.776883504,3.815056939,3.447807475,4.608340327,3.636969349,3.610913078,4.548118141,3.643323936,3.654591945,4.720753737,3.754568348,3.826271504,4.274246118,3.382049916,3.335858749,4.619955285,3.36743385,3.577339279,4.741555893,3.854853264,3.226006558,4.708110777,3.781446136,3.601385459,4.685486622,3.581251234,3.425981557,4.761121092,3.712299639,3.445305258,4.664188014,3.698180729,3.402780301,4.299776538,3.602824944,3.619193878,4.499323623,3.888530575,3.839360174,4.623213082,3.27049752,3.693335449,4.858499398,3.2437797,3.825445887,4.657168602,3.621804624,3.535098473,4.493793112,3.602822196,3.873095714,4.611522466,3.853575723,3.348062023,4.413578629,3.512243996,3.545250757
19,4.731986841,3.640611174,3.80796336,4.891793433,3.919215478,3.599623628,4.631328205,3.442202472,3.761787822,4.585292889,3.35806473,3.43296506,4.668978488,3.793438779,3.358272134,4.650743306,3.674870237,3.697778866,4.701675544,3.799783023,3.748959414,4.818280708,3.602359898,3.926883761,4.57700361,3.863270785,3.873685106,4.461273629,3.573480107,3.771988432,4.525409242,3.399845914,3.902101503,4.536765286,3.442262598,3.483337528,4.90842841,3.505156264,3.599591758,4.706504464,3.794021443,3.47571352,4.825278107,3.599654826,3.760071322,4.608147157,3.605295103,3.387610929,4.963471721,3.871927087,3.293687895,4.452170838,3.568634107,3.279246572,4.855835426,3.663241077,3.519558818,4.558447778,3.857694425,3.449871321
20,4.764836936,3.455840448,3.73729852,4.927837097,3.888226266,3.804897169,4.62278883,3.346208184,3.717903873,4.79373833,3.654290091,3.684055338,4.739549883,3.938675035,3.790060195,4.630649729,3.608778835,3.916871723,4.441952478,3.488441724,3.594895371,4.765963879,3.584286204,3.439345658,4.738009309,3.863578882,3.916245705,4.528530371,3.599927349,3.668701269,4.692711751,3.335244366,3.673568576,4.455740769,3.916491021,3.97448865,4.840528931,3.639994755,3.785990471,4.598641549,3.692575847,3.933683745,4.527318411,3.318446901,3.859654165,4.662789736,3.436391247,3.710387474,4.429340783,3.792907347,3.767248205,4.603237492,4.019496936,3.750306238,4.956343812,3.464526705,3.728252766,4.769674413,3.870853176,3.690106949
21,4.684133527,3.576991818,4.054261376,4.822009585,3.720796639,3.463646528,4.85949162,3.783437415,4.004807409,4.619314145,3.642362612,3.71336284,4.536853956,3.929128514,3.779068178,4.475787384,3.902873852,3.827288372,4.751595275,3.880553731,3.668582113,4.632105015,3.632236708,3.71548441,4.975522377,3.373104366,3.821089917,4.81528448,3.53599697,3.86049989,4.675281775,3.77550044,3.920195385,4.780751237,3.783908976,3.464150139,4.578859425,3.871464213,3.341815949,4.859513853,3.608717709,3.697117158,4.799841767,3.702064059,4.028972263,4.821303465,3.626901704,3.496148362,4.4098517,3.975646873,4.010358596,4.659950331,4.023875027,3.402189473,4.457391293,3.44514563,4.017036781,4.614811487,3.53558214,3.694121761
22,4.554306324,4.040775966,3.949669111,4.690516638,3.469569178,3.5972456,4.875327319,3.884027146,3.984750128,4.732791735,3.831282887,4.052715487,4.739640422,3.916414786,3.80467587,4.968753153,3.832213761,3.626700979,4.824898033,3.675302322,3.838024853,4.80092351,4.048937417,3.709162244,4.586326514,3.954269808,4.125314763,4.879148638,4.062484397,3.871819883,4.609891331,3.661799884,3.565961193,4.646388786,3.880111123,3.826051062,4.72628557,3.519084955,3.668093904,4.620714868,3.913955484,3.96808355,4.749818784,3.698099229,4.026134665,4.92490858,3.714168186,3.631852911,4.803664031,4.038482246,3.972116893,4.98316755,4.074617521,3.856553904,4.595165619,3.657259457,3.761006217,4.551865042,3.819546774,3.578784693
23,4.602756569,3.578755294,3.921248898,4.900852569,3.652034248,4.013409484,4.778218823,3.965614602,3.525427323,4.897592908,4.103465025,3.799534152,4.789371099,3.97154051,3.554954743,4.865376404,3.847143942,4.077035034,4.849227989,3.948768531,3.585172994,4.917992146,3.813567903,3.719048044,4.775551519,3.875566018,3.569944274,4.391408553,3.773523716,3.429554337,4.760978461,3.923201196,3.479963667,4.712135448,3.970498344,3.567774973,4.833297473,3.8055333,4.02840571,4.533505514,4.02089141,3.759970526,4.523276124,3.873801965,4.01953059,4.876072188,3.728751194,3.74997033,4.872448636,3.902029716,3.729971989,4.649465875,3.653540011,4.026095669,4.871397888,4.116932289,3.819294684,4.782431662,4.120648765,4.017214613
