order,Target 1,attribute a,attribute b,Target 2,attribute a,attribute b,Target 3,attribute a,attribute b,Target 4,attribute a,attribute b,Target 5,attribute a,attribute b
1,4.178177354,2.345913666,2.238950045,4.401392545,2.414840339,2.067401527,4.445530755,2.279477404,1.98159177,4.321852196,2.462471359,2.127968809,4.396931028,1.803691031,1.413632871
2,4.389534105,1.853681614,2.621873773,4.039837018,2.296910664,2.369548978,4.047917656,2.46218809,1.697390525,4.578413459,2.380481515,1.488449332,4.43341772,2.451423213,2.572123567
3,4.090569539,2.095186,2.274835237,4.260284716,2.208137233,2.367959176,4.595178952,2.265439713,2.273351928,4.488665472,1.986637012,2.242112435,4.447250635,2.720787882,2.45805237
4,4.673335917,2.530176952,2.449932479,4.239848702,2.63438225,2.728037218,4.361272033,2.466701707,2.634524591,4.502840974,2.732394423,2.701154375,4.476923045,2.73809144,2.363346081
5,4.635802733,2.922329661,2.801193448,4.448477466,2.396526228,2.512431715,4.590603251,2.995639551,2.689958641,4.141790698,2.796335318,2.20542599,4.447339947,2.377792694,2.469073222
6,4.390501872,2.723223929,2.278763289,4.592331907,2.891921438,2.736497853,4.323042177,2.4039774,2.582976585,4.582650172,2.980000155,2.879552982,4.679028577,3.033765471,2.599502292
7,4.527933332,3.183214644,2.308370189,4.672600309,2.653798623,2.924817752,4.348323299,2.503822182,2.6440402,4.670451189,2.98148806,2.995018875,4.645158963,2.715499662,2.704419728
8,4.531972801,3.055939753,3.062460378,4.395717388,3.301310739,3.237851729,4.358856108,2.601886385,2.986462023,4.15706918,2.890950008,2.899524713,4.247918663,3.141587785,3.357223139
9,4.32642703,2.97405794,3.084209253,4.490586506,3.350238277,2.905646906,4.491865216,3.167181832,3.050455951,4.621022347,2.780982953,3.403482546,4.492422294,3.339190281,2.928834901
10,4.402422346,3.084389569,3.106375369,4.461164905,2.964334656,3.033695552,4.561684663,3.244114104,3.252285394,4.472003074,3.200706136,2.88407535,4.251952797,2.936147747,3.32702517
11,4.448036705,3.031046669,3.065549399,4.383929618,3.11886288,3.333414376,4.625204837,3.245024047,3.307832826,4.815824833,3.265491599,3.262983349,4.536518037,3.190874433,2.848298353
12,4.352267226,3.237473604,3.333520494,4.467632548,3.416453855,3.29445233,4.752590959,2.961676363,3.174737311,4.475494672,3.269989787,3.268658916,4.75040233,3.487979709,3.258242812
13,4.394728391,3.416161054,3.497121233,4.284848318,3.488369017,3.528558247,4.591452257,3.570358518,3.459509444,4.368046575,3.382842537,3.023185773,4.283028912,3.345747934,2.87702135
14,4.519315392,3.411068118,3.346621561,4.824810267,3.625419987,3.079829341,4.695584302,3.524120114,3.575623971,4.325015167,3.525113765,3.625605412,4.675167681,3.527280079,3.371289928
15,4.507532173,3.613846201,3.185144595,4.585294,3.19969944,3.72601696,4.388660312,3.188006598,3.424530313,4.779928397,3.729113739,3.443147541,4.723648548,3.53387489,3.519161745
16,4.673279059,3.619432597,3.343896722,4.482202798,3.708190315,3.251985278,4.635507789,3.646227996,3.488884948,4.597544082,3.55465885,3.590041437,4.607808761,3.448603845,3.809341254
17,4.538304024,3.74034093,3.606287908,4.547769778,3.557291022,3.55650797,4.724204921,3.73553619,3.48909889,4.463681843,3.80569025,3.371226348,4.646508609,3.737902831,3.609654386
18,4.911867467,3.73120761,3.567051198,4.770998016,3.470034629,3.793643062,4.503790201,3.471891351,3.424945283,4.61800789,3.611544662,3.631624114,4.668283281,3.832864905,3.495583259
19,4.61917999,3.477670617,3.79065642,4.62994134,3.652035705,3.923231277,4.858839376,3.478282475,3.617501185,4.723496504,3.646176274,3.757720192,4.572561996,3.67615111,3.507948789
20,4.873120461,3.882326218,3.65521545,4.735345188,3.532503877,3.750142907,4.786553327,3.925223218,3.797114537,4.769539723,3.695290777,3.834546295,4.842637491,3.861125267,4.009093901
21,4.840771185,4.039911654,3.586771298,4.640528696,3.876183338,3.84972965,4.830932146,3.571250422,3.659968101,4.609954976,3.891618424,3.436782141,4.90683152,3.278311111,3.631268623
22,4.722955543,3.638927997,3.608931427,4.711831023,3.806643314,3.840634833,4.809136483,3.677721166,4.121922251,4.635575752,3.487001394,3.946558138,4.605566121,4.087406494,3.809428573
